key,value
session,17MAY03XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,7840
n_params,70
nuisance_mode,baseline_intercept_linear
intercept_s,-2.5545928452348196e-04
delta_gamma,1.4319680594299395e+01
delta_gamma_sigma,6.1438640892778251e-01
gamma_est,1.5319680594299395e+01
gamma_sigma,6.1438640892778251e-01
beta_est,8.1598402971496977e+00
beta_sigma,3.0719320446389126e-01
delta_beta,7.1598402971496977e+00
chi2,1.6754492926731744e+09
dof,7770
rmse_s,9.3232827770243233e-09
weighted_rmse_s,7.7667665935020837e-09
corr_template_residual,-1.8699146453779642e-02
