threshold_ns,n_sessions,n_valid,beta_weighted_mean,beta_weighted_sigma,chi2,dof,chi2_dof,status,sessions
1.0000000000000000e+01,4,4,1.3789757985336264e+00,4.3176012510879665e-02,1.5906806371309014e+02,3.0000000000000000e+00,5.3022687904363380e+01,reject,17MAY01XA;18MAY01XA;22MAY09XA;20MAY06XA
1.2000000000000000e+01,2,2,1.3181507919978337e+00,4.3471383106150487e-02,5.8455230665997497e+00,1.0000000000000000e+00,5.8455230665997497e+00,reject,17MAY01XA;18MAY01XA
1.5000000000000000e+01,2,2,1.3181507919978337e+00,4.3471383106150487e-02,5.8455230665997497e+00,1.0000000000000000e+00,5.8455230665997497e+00,reject,17MAY01XA;18MAY01XA
2.0000000000000000e+01,2,2,1.3181507919978337e+00,4.3471383106150487e-02,5.8455230665997497e+00,1.0000000000000000e+00,5.8455230665997497e+00,reject,17MAY01XA;18MAY01XA
