key,value
session,18APR11XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,1947
n_params,12
nuisance_mode,baseline_intercept_linear
intercept_s,-8.6270564559993592e-06
delta_gamma,4.1806875644740018e+01
delta_gamma_sigma,2.9928831852968258e+00
gamma_est,4.2806875644740018e+01
gamma_sigma,2.9928831852968258e+00
beta_est,2.1903437822370009e+01
beta_sigma,1.4964415926484129e+00
delta_beta,2.0903437822370009e+01
chi2,6.6198127787835598e+09
dof,1935
rmse_s,2.9298789743463776e-08
weighted_rmse_s,3.2758770460587878e-08
corr_template_residual,8.8081001582528726e-02
