key,value
session,18MAY22XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,4822
n_params,68
nuisance_mode,baseline_intercept_linear
intercept_s,-9.5901595965486890e-06
delta_gamma,1.5489710022607721e+01
delta_gamma_sigma,8.3888301934352438e-01
gamma_est,1.6489710022607721e+01
gamma_sigma,8.3888301934352438e-01
beta_est,8.7448550113038603e+00
beta_sigma,4.1944150967176219e-01
delta_beta,7.7448550113038603e+00
chi2,6.7814374052363520e+09
dof,4754
rmse_s,1.8170079503829996e-08
weighted_rmse_s,1.2026971641588563e-08
corr_template_residual,2.6142122201418570e-02
