source,n_sessions,total_points,beta_weighted_mean,beta_weighted_sigma,delta_beta_weighted_mean,chi2_dof,status
1546+027,1,317,nan,nan,nan,nan,watch
0602+673,1,309,nan,nan,nan,nan,watch
0613+570,1,304,nan,nan,nan,nan,watch
0003-066,1,299,nan,nan,nan,nan,watch
2113+293,1,261,nan,nan,nan,nan,watch
1749+096,1,252,nan,nan,nan,nan,watch
1128+385,1,244,nan,nan,nan,nan,watch
1324+224,1,189,nan,nan,nan,nan,watch
1936-155,1,167,nan,nan,nan,nan,watch
1616+063,1,162,nan,nan,nan,nan,watch
0119+115,1,159,nan,nan,nan,nan,watch
1144+402,1,159,nan,nan,nan,nan,watch
0420-014,1,155,nan,nan,nan,nan,watch
1417+385,1,141,nan,nan,nan,nan,watch
0019+058,1,137,nan,nan,nan,nan,watch
0718+793,1,135,nan,nan,nan,nan,watch
1705+018,1,129,nan,nan,nan,nan,watch
1144-379,1,123,nan,nan,nan,nan,watch
1014+615,1,118,nan,nan,nan,nan,watch
0808+019,1,111,nan,nan,nan,nan,watch
2209+236,1,108,nan,nan,nan,nan,watch
1015+359,1,105,nan,nan,nan,nan,watch
2355-106,1,101,nan,nan,nan,nan,watch
1053+704,1,99,nan,nan,nan,nan,watch
0402-362,1,85,nan,nan,nan,nan,watch
1617+229,1,85,nan,nan,nan,nan,watch
1124-186,1,82,nan,nan,nan,nan,watch
0306+102,1,78,nan,nan,nan,nan,watch
1213-172,1,75,nan,nan,nan,nan,watch
1300+580,1,75,nan,nan,nan,nan,watch
1428+422,1,75,nan,nan,nan,nan,watch
1958-179,1,75,nan,nan,nan,nan,watch
1040+244,1,71,nan,nan,nan,nan,watch
1849+670,1,67,nan,nan,nan,nan,watch
1508+572,1,66,nan,nan,nan,nan,watch
0805+410,1,57,nan,nan,nan,nan,watch
1039+811,1,57,nan,nan,nan,nan,watch
0104-408,1,56,nan,nan,nan,nan,watch
0641+392,1,54,nan,nan,nan,nan,watch
0342+147,1,48,nan,nan,nan,nan,watch
1330+476,1,48,nan,nan,nan,nan,watch
1519-273,1,47,nan,nan,nan,nan,watch
1759-396,1,44,nan,nan,nan,nan,watch
0307+380,1,42,nan,nan,nan,nan,watch
0854-108,1,42,nan,nan,nan,nan,watch
1215+303,1,42,nan,nan,nan,nan,watch
0656+082,1,40,nan,nan,nan,nan,watch
1038+52A,1,40,nan,nan,nan,nan,watch
2101+600,1,40,nan,nan,nan,nan,watch
1244-255,1,39,nan,nan,nan,nan,watch
1104+728,1,36,nan,nan,nan,nan,watch
0834-201,1,35,nan,nan,nan,nan,watch
0454+844,1,34,nan,nan,nan,nan,watch
0723+219,1,31,nan,nan,nan,nan,watch
0826-373,1,30,nan,nan,nan,nan,watch
1125+366,1,25,nan,nan,nan,nan,watch
1846+322,1,25,nan,nan,nan,nan,watch
2204-540,1,25,nan,nan,nan,nan,watch
1908-201,1,24,nan,nan,nan,nan,watch
0410+110,1,23,nan,nan,nan,nan,watch
0537-286,1,23,nan,nan,nan,nan,watch
1921-293,1,23,nan,nan,nan,nan,watch
0308-611,1,22,nan,nan,nan,nan,watch
0530-727,1,22,nan,nan,nan,nan,watch
0729+259,1,22,nan,nan,nan,nan,watch
1639+230,1,22,nan,nan,nan,nan,watch
0537-441,1,21,nan,nan,nan,nan,watch
1636+473,1,20,nan,nan,nan,nan,watch
