key,value
session,18APR09XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,3018
n_params,68
nuisance_mode,baseline_intercept_linear
intercept_s,2.3686758856511768e-05
delta_gamma,1.9955770404527581e+01
delta_gamma_sigma,2.8789034068790333e+00
gamma_est,2.0955770404527581e+01
gamma_sigma,2.8789034068790333e+00
beta_est,1.0977885202263790e+01
beta_sigma,1.4394517034395167e+00
delta_beta,9.9778852022637903e+00
chi2,2.1025009181814255e+10
dof,2950
rmse_s,1.9055076055445908e-08
weighted_rmse_s,1.7286693641246590e-08
corr_template_residual,8.8237962221286631e-02
