scenario_id,threshold_ns,year_window,year_start,year_end,min_sessions,n_sessions,fit_ok,beta_weighted_mean,beta_weighted_sigma,chi2,dof,chi2_dof,subset_consistency_status,abs_z_vs_llr,cross_consistency_status,scenario_status,sessions,reason
thr15|ge2021|min2,15.0,ge2021,2021,2099,2,0,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr15|ge2021|min3,15.0,ge2021,2021,2099,3,0,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr20|le2020|min2,20.0,le2020,2000,2020,2,2,True,1.3907263363380622,0.05005640935290951,0.22161147291813102,1.0,0.22161147291813102,pass,7.790815339371524,reject,reject,"17MAY01XA,18MAY01XA",
thr20|le2020|min3,20.0,le2020,2000,2020,3,2,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr20|all|min2,20.0,all,2000,2099,2,2,True,1.3907263363380622,0.05005640935290951,0.22161147291813102,1.0,0.22161147291813102,pass,7.790815339371524,reject,reject,"17MAY01XA,18MAY01XA",
thr20|all|min3,20.0,all,2000,2099,3,2,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr20|2017_2018|min2,20.0,2017_2018,2017,2018,2,2,True,1.3907263363380622,0.05005640935290951,0.22161147291813102,1.0,0.22161147291813102,pass,7.790815339371524,reject,reject,"17MAY01XA,18MAY01XA",
thr20|2017_2018|min3,20.0,2017_2018,2017,2018,3,2,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr20|ge2020|min2,20.0,ge2020,2020,2099,2,0,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr20|ge2020|min3,20.0,ge2020,2020,2099,3,0,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr20|2021_2022|min2,20.0,2021_2022,2021,2022,2,0,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr20|2021_2022|min3,20.0,2021_2022,2021,2022,3,0,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr20|ge2021|min2,20.0,ge2021,2021,2099,2,0,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr20|ge2021|min3,20.0,ge2021,2021,2099,3,0,False,,,,,,reject,,reject,reject,,insufficient_sessions
