key,value
session,17MAY01XA_baseline_intercept
n_points,1029
n_params,22
nuisance_mode,baseline_intercept
intercept_s,-2.1175522717783814e-04
delta_gamma,2.0489347490889109e-01
delta_gamma_sigma,7.9734043896488735e-02
gamma_est,1.2048934749088911e+00
gamma_sigma,7.9734043896488735e-02
beta_est,1.1024467374544455e+00
beta_sigma,3.9867021948244367e-02
delta_beta,1.0244673745444555e-01
chi2,1.0577767070888548e+09
dof,1007
rmse_s,1.5438582837541347e-08
weighted_rmse_s,1.4435715013816631e-08
corr_template_residual,-2.3684982842174607e-01
