key,value
session,17MAY30XA_none
n_points,325
n_params,2
nuisance_mode,none
intercept_s,1.7832580218047658e-06
delta_gamma,-3.6650526733661187e+04
delta_gamma_sigma,1.4548676354153735e+04
gamma_est,-3.6649526733661187e+04
gamma_sigma,1.4548676354153735e+04
beta_est,-1.8324263366830593e+04
beta_sigma,7.2743381770768674e+03
delta_beta,-1.8325263366830593e+04
chi2,1.3121608375085766e+16
dof,323
rmse_s,8.3065775088172035e-05
weighted_rmse_s,2.8465292172994016e-05
corr_template_residual,-9.0273913495883068e-02
