key,value
session,17MAY30XA_baseline_intercept_linear
n_points,325
n_params,102
nuisance_mode,baseline_intercept_linear
intercept_s,-5.3800811272290642e-06
delta_gamma,3.3731257545372607e+01
delta_gamma_sigma,8.6888542929561410e+01
gamma_est,3.4731257545372607e+01
gamma_sigma,8.6888542929561410e+01
beta_est,1.7865628772686303e+01
beta_sigma,4.3444271464780705e+01
delta_beta,1.6865628772686303e+01
chi2,2.1972403885745621e+09
dof,223
rmse_s,7.2242405873790648e-09
weighted_rmse_s,1.1648255728585127e-08
corr_template_residual,-9.0273913495883068e-02
