key,value
session,17MAY30XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,7405
n_params,122
nuisance_mode,baseline_intercept_linear
intercept_s,1.2344839077159359e-05
delta_gamma,3.1140115578660442e+01
delta_gamma_sigma,1.4459843610154750e+00
gamma_est,3.2140115578660442e+01
gamma_sigma,1.4459843610154750e+00
beta_est,1.6570057789330221e+01
beta_sigma,7.2299218050773750e-01
delta_beta,1.5570057789330221e+01
chi2,2.6318597442664471e+10
dof,7283
rmse_s,1.9249210423192249e-08
weighted_rmse_s,1.2884077561632139e-08
corr_template_residual,-6.1490373032116977e-02
