mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,3794,2,-6.1294948286096740e+05,1.2261671040616536e+06,-6.1295048286096740e+05,-1.2258999657219348e+06,2.4523342081233072e+06,1.9244062008885348e+22,3792,3.9966527929565697e-02,1.9244062008885348e+22,-1.9244055386726102e+22
baseline_intercept,3794,102,-6.7935017782242294e+03,8.8305380367581733e+02,-6.7945017782242294e+03,-1.3588003556448459e+04,1.7661076073516347e+03,6.6221592448347140e+15,3692,2.3444871517057429e-05,6.6221592448349180e+15,0.0000000000000000e+00
baseline_intercept_linear,3794,202,8.4700851101210279e+00,4.4211448787057844e-01,7.4700851101210279e+00,1.5940170220242056e+01,8.8422897574115689e-01,1.3621727115058806e+09,3592,1.0633203728232877e-08,1.3621731155058806e+09,6.6221578826618020e+15
