key,value
session,18MAY21XA_baseline_intercept_linear
n_points,61
n_params,24
nuisance_mode,baseline_intercept_linear
intercept_s,-1.9196554256280100e-05
delta_gamma,-1.2512458486779719e+01
delta_gamma_sigma,0.0000000000000000e+00
gamma_est,-1.1512458486779719e+01
gamma_sigma,0.0000000000000000e+00
beta_est,-5.2562292433898596e+00
beta_sigma,0.0000000000000000e+00
delta_beta,-6.2562292433898596e+00
chi2,2.6873664045487437e+05
dof,37
rmse_s,3.8534628867233692e-09
weighted_rmse_s,3.1129859959284065e-09
corr_template_residual,-7.6045400329136170e-01
