key,value
session,18MAY16XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,1091
n_params,6
nuisance_mode,baseline_intercept_linear
intercept_s,-1.8786195809044430e-05
delta_gamma,8.0422089797537467e+01
delta_gamma_sigma,4.8465869134024597e+00
gamma_est,8.1422089797537467e+01
gamma_sigma,4.8465869134024597e+00
beta_est,4.1211044898768733e+01
beta_sigma,2.4232934567012299e+00
delta_beta,4.0211044898768733e+01
chi2,9.2781294634749413e+08
dof,1085
rmse_s,2.6873283172709164e-08
weighted_rmse_s,2.3908109581997367e-08
corr_template_residual,1.0253359232229008e-01
