mode,quartile,n_sessions,n_points_total,beta_weighted_mean,beta_weighted_sigma,chi2,dof,chi2_dof,status
raw,Q1,4,284,2.4296178873814590e+01,1.4116329928855738e-03,2.5507801853892943e+02,3.0000000000000000e+00,8.5026006179643147e+01,reject
raw,Q2,4,266,4.7638281830766367e+01,1.3546420096273966e-03,2.1984660472427258e+01,2.0000000000000000e+00,1.0992330236213629e+01,reject
raw,Q3,4,247,6.8400751953673250e+01,5.6508946396733794e-03,6.3089048400605868e+01,2.0000000000000000e+00,3.1544524200302934e+01,reject
raw,Q4,4,248,1.5013387374124611e+02,5.9932229364059002e-03,8.2285974358823705e+02,3.0000000000000000e+00,2.7428658119607900e+02,reject
quality_gated,Q1,3,228,1.1989505849703049e+01,1.9293061270355119e+00,2.1438880746001510e+02,2.0000000000000000e+00,1.0719440373000755e+02,reject
quality_gated,Q2,2,185,1.0407978918184322e+02,1.2044539280667156e+01,2.5444593843827218e-02,1.0000000000000000e+00,2.5444593843827218e-02,pass
quality_gated,Q3,2,207,1.1148517457140231e+01,7.8288851927096514e+00,9.6098042703652453e+00,1.0000000000000000e+00,9.6098042703652453e+00,reject
quality_gated,Q4,3,236,2.1598637631058754e+01,5.4436414447721289e+00,2.6533274661312538e+02,2.0000000000000000e+00,1.3266637330656269e+02,reject
