key,value
session,18JUN04XA_ALLSKY_NONE
n_points,2728
n_params,2
nuisance_mode,none
intercept_s,4.6848587837323146e-05
delta_gamma,-6.4541705626325282e+04
delta_gamma_sigma,7.2027200321283299e+03
gamma_est,-6.4540705626325282e+04
gamma_sigma,7.2027200321283299e+03
beta_est,-3.2269852813162641e+04
beta_sigma,3.6013600160641649e+03
delta_beta,-3.2270852813162641e+04
chi2,3.5034484888212531e+17
dof,2726
rmse_s,1.1174105029964145e-04
weighted_rmse_s,1.2098214571410860e-04
corr_template_residual,2.4920840957824903e-03
