dataset_id,display_name,statistic,item_id,item_label,delta_stat,delta_over_sigma,source,method
delft_hensen2016_srep30289,Delft (Hensen 2016),CHSH_S,dark_count,dark count,0.03679351617699108,0.2,proxy_default,fallback 0.2*sigma_stat
delft_hensen2016_srep30289,Delft (Hensen 2016),CHSH_S,accidental_correction,accidental correction,0.03679351617699108,0.2,proxy_default,fallback 0.2*sigma_stat
delft_hensen2016_srep30289,Delft (Hensen 2016),CHSH_S,event_ready_definition,event-ready definition,0.025908264015617632,0.14083059575490878,direct,difference between frozen statistic and event-ready baseline
delft_hensen2016_srep30289,Delft (Hensen 2016),CHSH_S,trial_definition,trial definition,0.027595137132743305,0.15,proxy_default,fallback 0.15*sigma_stat
delft_hensen2016_srep30289,Delft (Hensen 2016),CHSH_S,setting_switch_timing,setting switch timing,0.03679351617699108,0.2,proxy_default,fallback 0.2*sigma_stat
delft_hensen2016_srep30289,Delft (Hensen 2016),CHSH_S,polarization_correction,polarization correction,0.05519027426548661,0.3,proxy_default,fallback 0.3*sigma_stat
delft_hensen2016_srep30289,Delft (Hensen 2016),CHSH_S,transmission_loss,transmission loss,0.045991895221238845,0.25,proxy_default,fallback 0.25*sigma_stat
delft_hensen2016_srep30289,Delft (Hensen 2016),CHSH_S,clock_sync,clock synchronization,0.027595137132743305,0.15,proxy_default,fallback 0.15*sigma_stat
delft_hensen2016_srep30289,Delft (Hensen 2016),CHSH_S,dead_time,dead time,0.03679351617699108,0.2,proxy_default,fallback 0.2*sigma_stat
delft_hensen2016_srep30289,Delft (Hensen 2016),CHSH_S,electronic_noise,electronic noise,0.014584678423472192,0.07927852479939256,proxy_indicator,sigma_stat * relative bootstrap noise
delft_hensen2016_srep30289,Delft (Hensen 2016),CHSH_S,environmental_variation,environmental variation,0.03370048571271005,0.18318708954369925,proxy_indicator,sigma_stat * relative spread across sweep
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,coincidence_window,coincidence window,0.003506711345143672,385.33643210135585,direct,delta_window from sweep summary
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,offset,offset,5.601373388832483e-07,0.06155092404481209,direct,delta_offset from sweep summary
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,threshold,threshold,2.834127119310309e-05,3.114292351975679,proxy_indicator,local window slope * median step
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,detector_efficiency_drift,detector efficiency drift,4.1438627868865964e-07,0.0455350082814142,proxy_indicator,sigma_stat * coefficient of variation of setting counts
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,dark_count,dark count,9.106522959576572e-06,1.0006740563211505,proxy_indicator,sigma_stat * accidental fraction
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,accidental_correction,accidental correction,0.0007089691802832767,77.9053727300694,direct,raw vs accidental-subtracted at frozen point
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,event_ready_definition,event-ready definition,1.8200777569982245e-06,0.2,proxy_default,fallback 0.2*sigma_stat
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,trial_definition,trial definition,0.0007056027315694602,77.53544911544662,direct,difference between frozen statistic and trial-based statistic
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,setting_switch_timing,setting switch timing,2.7301166354973364e-05,3.0,proxy_indicator,scaled by delay z-signature
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,polarization_correction,polarization correction,9.79650400461397e-07,0.10764929099261035,proxy_indicator,sigma_stat * setting-count imbalance
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,transmission_loss,transmission loss,2.2750971962477805e-06,0.25,proxy_default,fallback 0.25*sigma_stat
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,clock_sync,clock synchronization,3.742787898615915e-07,0.04112778021955209,proxy_indicator,sigma_stat * KS delay proxy
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,dead_time,dead time,3.745615499012072e-07,0.04115885142390349,proxy_indicator,sigma_stat * pair-density proxy
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,electronic_noise,electronic noise,1.1846507713067164e-07,0.013017584185639516,proxy_indicator,sigma_stat * relative bootstrap noise
nist_03_43_afterfixingModeLocking_s3600,NIST,CH_J,environmental_variation,environmental variation,6.625230625314134e-06,0.7280162179709114,proxy_indicator,sigma_stat * relative spread across sweep
