topic,file_count,total_size_bytes
cassini,8,7613773
cosmology,38,20580059
eht,13,1239915
gps,6,2253550
gw,84,8557985
llr,16,848975
mercury,3,840186
pulsar,2,136710
quantum,677,116488162
summary,6,185396
theory,13,620383
viking,2,187830
weak_field,6,235695
xrism,5,223608
