pair,bottleneck_rank,n_rows,n_reject_event_rows,n_tensor_fail,tensor_fail_rate,scalar_overlap_rate,mean_reject_tensor_mismatch_share,median_tensor_mismatch,median_scalar_mismatch,median_abs_corr,median_abs_lag_over_tolerance,median_obs_ratio_iqr_rel
H1-V1,1,3,3,3,1,0.3333333,0.9097003,0.1748267,7.295688,0.1059332,7.5,0.7011839
L1-V1,2,2,2,2,1,0,0.6240411,0.7379131,5.9315843,0.0890621,6.2142857,0.5522872
H1-L1,3,4,4,0,0,0.75,0.0057043,0.0005300134,0.042917,0.2991899,4.625,0.7642385
