pair,bottleneck_rank,n_rows,n_reject_event_rows,n_tensor_fail,tensor_fail_rate,scalar_overlap_rate,mean_reject_tensor_mismatch_share,median_tensor_mismatch,median_scalar_mismatch,median_abs_corr,median_abs_lag_over_tolerance,median_obs_ratio_iqr_rel
H1-V1,1,3,3,3,1,0.3333333,0.8833649,0.9938707,7.295688,0.1059332,7.5,0.7011839
L1-V1,2,1,1,1,1,0,0.3290731,0.661948,9.5159535,0.0531194,1.4285713,0.6942256
H1-L1,3,3,3,0,0,1,0.006944,0.0004534884,0.0207609,0.5302713,4.875,0.7771502
