pair,bottleneck_rank,n_rows,n_reject_event_rows,n_tensor_fail,tensor_fail_rate,scalar_overlap_rate,mean_reject_tensor_mismatch_share,median_tensor_mismatch,median_scalar_mismatch,median_abs_corr,median_abs_lag_over_tolerance,median_obs_ratio_iqr_rel
H1-V1,1,3,3,3,1,0.6666667,0.7584043,0.0290511,0.3930713,0.1059332,7.5,0.7011839
L1-V1,2,2,2,1,0.5,0.5,0.3519733,0.0291397,1.0477511,0.0731692,6.7142857,0.6904214
H1-L1,3,2,2,0,0,1,0.0104203,0.0003186349,0.0203858,0.5916277,5.5793066,0.6877107
