pair,bottleneck_rank,n_rows,n_reject_event_rows,n_tensor_fail,tensor_fail_rate,scalar_overlap_rate,mean_reject_tensor_mismatch_share,median_tensor_mismatch,median_scalar_mismatch,median_abs_corr,median_abs_lag_over_tolerance,median_obs_ratio_iqr_rel
H1-V1,1,3,3,3,1,0,0.9162592,0.6637221,10.6929545,0.0729121,7.5,0.7011839
L1-V1,2,3,3,3,1,0.6666667,0.3998351,0.0011669,0.2445366,0.0819371,8,0.4496599
H1-L1,3,3,3,0,0,1,0.017239,0.0001544223,0.0213023,0.5302713,4.875,0.7771502
