case_id,label,cluster_family,offset_obs_kpc,offset_sigma_kpc,source_mode,target_source_mode,required_action,note
el_gordo_main_template,El Gordo main-like transfer,el_gordo,,,template_pending_primary,primary_map_registered,register_offset_obs_and_sigma_from_primary_dataset,replace rho/v/T and observed offsets when El Gordo primary map registration is available
el_gordo_sub_template,El Gordo sub-like transfer,el_gordo,,,template_pending_primary,primary_map_registered,register_offset_obs_and_sigma_from_primary_dataset,replace rho/v/T and observed offsets when El Gordo primary map registration is available
