cluster_id,label,row_present,lens_map_ref,xray_map_ref,source_mode,missing_fields,mode_primary_ok,ready,status,required_action
bullet_main,Bullet main halo,True,Clowe2006_ApJL_648_L109_doi:10.1086/508162,Markevitch2002_ApJL_567_L27_doi:10.1086/339619,primary_map_registered,,True,True,ready,ready
bullet_sub,Bullet sub-halo,True,Clowe2006_ApJL_648_L109_doi:10.1086/508162,Markevitch2002_ApJL_567_L27_doi:10.1086/339619,primary_map_registered,,True,True,ready,ready
