branch,z,a_eff,H_eff_km_s_Mpc,dlnH_dln_a_eff,C_gravity,Gamma_eff_over_H_eff,f_pred,sigma8_pred,f_sigma8_pred,f_sigma8_obs,f_sigma8_sigma,z_score
delay,0.61,0.6211180124223603,97.3,-1.1512348938935095,6.026170021664121e-07,2.792217847403136e-09,1.1512354145537451,0.3696212014285929,0.42552101705449946,0.436,0.034,-0.30820538075001574
delay,0.51,0.6622516556291391,90.4,-1.1470606317656642,4.971581922682685e-07,2.7501586616266298e-09,1.150938489521091,0.397936122711975,0.458,0.458,0.038,0.0
delay,0.38,0.7246376811594204,81.5,-1.1470606317656642,3.7949059028555406e-07,2.099249997506742e-09,1.150556900589912,0.4413722324253506,0.5078238677457616,0.497,0.045,0.24053039435025791
instant,0.61,0.6211180124223603,97.3,-1.1512348938935095,6.026170021664121e-07,0.0,1.1512354173459616,0.36962120046023983,0.42552101697175954,0.436,0.034,-0.308205383183543
instant,0.51,0.6622516556291391,90.4,-1.1470606317656642,4.971581922682685e-07,0.0,1.1509384923294432,0.3979361217409893,0.458,0.458,0.038,0.0
instant,0.38,0.7246376811594204,81.5,-1.1470606317656642,3.7949059028555406e-07,0.0,1.1505569033576382,0.4413722314593705,0.507823867855944,0.497,0.045,0.24053039679875612
