galaxy,radius_kpc,vobs_km_s,evobs_km_s,sigma_used_km_s,vbar_bestfit_baryon_km_s,vpred_baryon_km_s,vbar_bestfit_pmodel_km_s,vpred_pmodel_km_s,resid_baryon_km_s,resid_pmodel_km_s,pull_baryon_sigma,pull_pmodel_sigma,gbar_bestfit_pmodel_m_s2,gpred_pmodel_m_s2
DDO064,0.89,22.5,4.62,4.62,14.81664482938023,14.816644829380232,11.296137569983818,26.112842527381293,7.683355170619768,-3.612842527381293,1.6630638897445384,-0.7820005470522279,4.6464299462459026e-12,2.4829487052322716e-11
DDO064,1.09,26.5,4.62,4.62,16.66828467479482,16.66828467479482,13.04287061961438,29.581855063314414,9.831715325205181,-3.081855063314414,2.1280769102175716,-0.6670681955226004,5.057889410389915e-12,2.6017991450610123e-11
DDO064,1.29,35.3,4.62,4.62,19.207789149196735,19.207789149196735,15.76923980412499,34.12317020409042,16.092210850803262,1.1768297959095761,3.4831625218188877,0.2547250640496918,6.24714030098926e-12,2.9252196980581803e-11
DDO064,1.48,40.5,4.62,4.62,22.398184390704525,22.398184390704525,19.160804367249305,39.2305990141362,18.101815609295475,1.269400985863797,3.9181419067739123,0.274762118152337,8.039244049323412e-12,3.370059885360469e-11
DDO064,1.68,44.2,4.89,4.89,24.65821437168555,24.65821437168555,21.489480589348826,43.0307167849857,19.541785628314454,1.1692832150143033,3.996275179614408,0.2391172218843156,8.908242073644453e-12,3.5718838973207596e-11
DDO064,1.88,46.3,4.62,4.62,26.242875299783744,26.242875299783744,23.150893373690785,45.99462514856108,20.057124700216253,0.30537485143891985,4.34136898273079,0.0660984526924069,9.23904569330732e-12,3.6467481643735893e-11
DDO064,2.08,46.4,4.62,4.62,26.993536263335336,26.993536263335336,24.13973902095878,48.139739197920065,19.406463736664662,-1.7397391979200663,4.200533276334342,-0.3765669259567243,9.0792768894233e-12,3.610718124989368e-11
DDO064,2.27,46.3,4.62,4.62,27.166211108654807,27.166211108654807,24.43517681540283,49.39759435916635,19.13378889134519,-3.097594359166351,4.1415127470444135,-0.6704749695165262,8.524218424310297e-12,3.483655465121244e-11
DDO064,2.37,46.4,6.73,6.73,27.377002648208222,27.377002648208222,24.717755440168915,50.18714309707318,19.022997351791776,-3.7871430970731836,2.826596931915568,-0.5627255716304879,8.35447513346906e-12,3.444181717824888e-11
DDO064,2.98,46.9,8.65,8.65,27.74746752408226,27.74746752408226,25.523485537833583,53.72098762547244,19.152532475917738,-6.820987625472441,2.2141656041523397,-0.788553482713577,7.084564443471979e-12,3.138493021212339e-11
DDO154,0.49,13.8,1.6,3.0,12.507259252130337,12.507259252130337,9.788620638271766,21.114758807524346,1.2927407478696633,-7.3147588075243455,0.4309135826232211,-2.4382529358414486,6.337184771631507e-12,2.948666287676316e-11
DDO154,0.99,21.6,0.8,3.0,15.957817833275323,15.957817833275323,13.03729074616348,28.946009484294258,5.6421821667246785,-7.346009484294257,1.880727388908226,-2.4486698280980854,5.564023581486702e-12,2.7427843345440248e-11
DDO154,1.48,28.9,0.7,3.0,16.60714454685091,16.60714454685091,14.447015262676231,33.52103730503822,12.292855453149087,-4.621037305038222,4.0976184843830294,-1.540345768346074,4.570292570070895e-12,2.4604958570476593e-11
DDO154,1.97,34.3,0.5,3.0,17.39550815584299,17.39550815584299,15.790347177943872,37.54394492521126,16.904491844157008,-3.2439449252112595,5.634830614719003,-1.0813149750704198,4.101725439307032e-12,2.3187986393378345e-11
DDO154,2.47,38.2,0.4,3.0,17.76421560328516,17.76421560328516,16.556400454205015,40.558564523278626,20.435784396714844,-2.3585645232786234,6.811928132238282,-0.7861881744262078,3.596535455446766e-12,2.1583290344016372e-11
DDO154,2.96,42.0,0.2,3.0,18.474611335559946,18.474611335559946,17.54277697515419,43.61956728362048,23.525388664440054,-1.6195672836204835,7.841796221480018,-0.5398557612068279,3.3694144031280974e-12,2.083149552050626e-11
DDO154,3.46,44.6,0.2,3.0,19.380750398268898,19.380750398268898,18.643785184344942,46.72278699901478,25.219249601731104,-2.122786999014778,8.406416533910368,-0.7075956663382593,3.2556786879298586e-12,2.0447058371047185e-11
DDO154,3.95,46.3,0.2,3.0,19.429838547965343,19.429838547965343,18.79812400214447,48.38026880616173,26.870161452034655,-2.080268806161733,8.956720484011552,-0.6934229353872444,2.8992213846451007e-12,1.9203876890552458e-11
DDO154,4.44,47.4,0.3,3.0,18.854862874070445,18.854862874070445,18.282456454207676,48.96595477263747,28.545137125929553,-1.5659547726374683,9.515045708643184,-0.5219849242124894,2.4396952465427206e-12,1.7500680607278575e-11
DDO154,4.94,48.2,0.6,3.0,18.20023829514328,18.20023829514328,17.670875303730714,49.29022495644616,29.999761704856724,-1.090224956446157,9.999920568285575,-0.36340831881538566,2.0485125565840794e-12,1.5938377407398367e-11
DDO154,5.43,47.4,0.7,3.0,17.474746063963277,17.474746063963277,16.976623633691123,49.3291361510274,29.92525393603672,-1.9291361510274,9.975084645345573,-0.6430453836758,1.7200943383034633e-12,1.4523010306560526e-11
DDO154,5.92,45.5,1.3,3.0,16.77635073548476,16.77635073548476,16.302481528896145,49.272901956526226,28.72364926451524,-3.7729019565262263,9.574549754838413,-1.2576339855087422,1.454906826723153e-12,1.3290582944933408e-11
DDO161,0.6,16.0,3.53,3.53,13.982489549432888,13.982489549432888,11.493771095684826,24.153740894095364,2.017510450567112,-8.153740894095364,0.5715327055430913,-2.3098416130581767,7.13548161957512e-12,3.1511350088253263e-11
DDO161,0.73,16.6,4.83,4.83,16.000321746764968,16.000321746764968,13.233553415466305,27.29308531066666,0.5996782532350338,-10.69308531066666,0.124156988247419,-2.2138892982746707,7.774626674145872e-12,3.3069822207736856e-11
DDO161,0.85,18.6,2.5,3.0,17.48349295764436,17.48349295764436,14.574064841354312,29.792106483089785,1.116507042355643,-11.192106483089784,0.37216901411854764,-3.730702161029928,8.09826387695378e-12,3.384020242134615e-11
DDO161,0.98,20.0,7.58,7.58,19.527109463512513,19.527109463512513,16.283837508400776,32.71824405762454,0.4728905364874869,-12.718244057624538,0.06238661431233337,-1.6778686091852952,8.768734065006095e-12,3.540000752797639e-11
DDO161,1.07,21.4,4.03,4.03,20.798772704176557,20.798772704176557,17.3941537879829,34.61848606575637,0.6012272958234419,-13.218486065756373,0.14918791459638756,-3.28002135626709,9.163730072839184e-12,3.629792675106298e-11
DDO161,1.54,28.9,2.74,3.0,26.55162488436442,26.55162488436442,22.440306236769583,43.29286928843997,2.34837511563558,-14.392869288439968,0.78279170521186,-4.797623096146656,1.0597081943348739e-11,3.944223118163325e-11
DDO161,2.02,32.9,2.65,3.0,30.576684189100686,30.576684189100682,26.201737652300846,50.13629392613896,2.3233158108993166,-17.236293926138963,0.7744386036331056,-5.745431308712988,1.1014334791312719e-11,4.0327615236381094e-11
DDO161,2.49,35.2,2.88,3.0,33.03391514792032,33.03391514792032,28.704538839702682,55.23812864621673,2.1660848520796847,-20.038128646216727,0.7220282840265616,-6.679376215405576,1.0723862963720054e-11,3.971257261892793e-11
DDO161,2.96,37.6,3.05,3.05,34.320362672908914,34.320362672908914,30.12107657438558,58.91886540846282,3.2796373270910877,-21.31886540846282,1.0752909269151107,-6.989791937200925,9.933418297654504e-12,3.800725406137613e-11
DDO161,3.43,40.6,3.68,3.68,34.77369586339651,34.77369586339651,30.853817980924173,61.6537350347144,5.82630413660349,-21.0537350347144,1.5832348197292092,-5.721123650737608,8.994419950572417e-12,3.591485505396436e-11
DDO161,3.9,42.7,3.25,3.25,35.27540919677615,35.27540919677615,31.530214937421533,64.17550160561531,7.42459080322385,-21.475501605615307,2.284489477915031,-6.607846647881633,8.26111580777454e-12,3.422341876974838e-11
DDO161,4.37,45.5,2.99,3.0,35.46317351845432,35.46317351845432,31.904992023192857,66.22572586864187,10.036826481545681,-20.725725868641874,3.3456088271818936,-6.908575289547291,7.548928267248596e-12,3.252531205632572e-11
DDO161,4.86,48.9,1.96,3.0,35.51499683232423,35.51499683232423,32.19687873070929,68.13355240797316,13.38500316767577,-19.233552407973157,4.46166772255859,-6.411184135991053,6.912588892654974e-12,3.095531671833158e-11
DDO161,5.34,51.5,1.53,3.0,35.45901907836707,35.45901907836707,32.425415864719454,69.83790076022355,16.04098092163293,-18.337900760223548,5.3469936405443095,-6.1126335867411825,6.380861339699868e-12,2.959992092368853e-11
DDO161,5.81,53.0,1.86,3.0,35.28059543148329,35.28059543148329,32.53104938362733,71.28360552415337,17.71940456851671,-18.283605524153373,5.90646818950557,-6.094535174717791,5.9029549427824364e-12,2.8343445221749006e-11
DDO161,6.28,55.0,1.48,3.0,35.339377810029426,35.339377810029426,32.78438323348481,72.84042083758726,19.660622189970574,-17.84042083758726,6.553540729990192,-5.94680694586242,5.546561676361637e-12,2.7380079423942062e-11
DDO161,6.75,57.6,0.99,3.0,35.419377097854216,35.419377097854216,33.05703304895949,74.36318995280946,22.180622902145785,-16.763189952809462,7.393540967381928,-5.587729984269821,5.2465452863503145e-12,2.6549827562826683e-11
DDO161,7.22,59.7,1.19,3.0,35.653041048415496,35.653041048415496,33.47992795691174,76.0237381157789,24.046958951584507,-16.323738115778895,8.015652983861502,-5.441246038592965,5.031312432304026e-12,2.5942432633088267e-11
DDO161,7.69,60.5,1.26,3.0,36.06800521237624,36.06800521237624,34.073816927371084,77.85776456754193,24.431994787623758,-17.357764567541935,8.143998262541253,-5.785921522513978,4.8928813712966765e-12,2.554623926202559e-11
DDO161,8.16,61.8,1.33,3.0,36.52995187513939,36.52995187513939,34.698298863200776,79.69515576534538,25.270048124860608,-17.89515576534538,8.423349374953537,-5.965051921781793,4.781626643611853e-12,2.5224533525660853e-11
DDO161,8.64,62.9,1.35,3.0,36.77306685605649,36.77306685605649,35.07389465115045,81.20575582357857,26.12693314394351,-18.305755823578572,8.708977714647837,-6.101918607859524,4.6142773882373945e-12,2.4734853252574354e-11
DDO161,9.11,63.0,2.09,3.0,37.06721845512555,37.06721845512555,35.48511299122492,82.70854176146166,25.93278154487445,-19.70854176146166,8.64426051495815,-6.56951392048722,4.4794373068753736e-12,2.4335025488191865e-11
DDO161,9.58,64.5,2.38,3.0,36.99029040167163,36.99029040167163,35.498903419683266,83.67088275681115,27.50970959832837,-19.170882756811153,9.16990319944279,-6.390294252270384,4.2629851622232804e-12,2.3682778199916497e-11
DDO161,10.05,65.6,1.08,3.0,36.80031488995712,36.80031488995712,35.385293781456724,84.43452252942727,28.799685110042873,-18.834522529427275,9.599895036680957,-6.278174176475758,4.0376531094251314e-12,2.2989180844259945e-11
DDO161,10.52,67.5,3.22,3.22,36.0979709402066,36.0979709402066,34.728857539516035,84.44797168746229,31.4020290597934,-16.947971687462285,9.752182937824037,-5.263345244553505,3.715478122632429e-12,2.1969094694990365e-11
DDO161,10.99,66.8,2.37,3.0,35.276763683762155,35.276763683762155,33.9452072611142,84.2415391137267,31.523236316237842,-17.441539113726705,10.507745438745948,-5.813846371242235,3.3978851213993605e-12,2.0926873457620323e-11
DDO161,11.46,66.8,0.95,3.0,34.327370041994186,34.327370041994186,33.02474669092861,83.79542801141112,32.47262995800581,-16.99542801141112,10.824209986001938,-5.665142670470374,3.0842091937532816e-12,1.985662729880804e-11
DDO161,11.94,66.6,0.96,3.0,33.39023878321327,33.39023878321327,32.111612946097864,83.31856442575385,33.209761216786724,-16.718564425753854,11.069920405595575,-5.572854808584618,2.798783912379897e-12,1.884207312464948e-11
DDO161,12.41,66.8,0.99,3.0,32.465545798584685,32.465545798584685,31.205919694827134,82.7800423776252,34.33445420141531,-15.980042377625196,11.444818067138437,-5.326680792541732,2.5430309533964113e-12,1.7894887072112067e-11
DDO161,12.9,66.3,0.74,3.0,31.68106254531246,31.68106254531246,30.44420936730005,82.42602476667611,34.61893745468754,-16.12602476667611,11.53964581822918,-5.375341588892037,2.3284619445667537e-12,1.7068228761036136e-11
DDO161,13.37,66.1,1.31,3.0,30.773412452960102,30.773412452960102,29.548733881504972,81.79788901738594,35.32658754703989,-15.697889017385947,11.77552918234663,-5.232629672461982,2.1163904883619532e-12,1.6218184593958275e-11
DDO168,0.41,15.0,4.1,4.1,13.145835690438245,13.145835690438245,12.05776247900082,22.865567031389343,1.8541643095617548,-7.865567031389343,0.4522351974540866,-1.9184309832656936,1.1492090762162315e-11,4.132658789023446e-11
DDO168,0.82,23.4,1.3,3.0,21.85281364035304,21.85281364035304,20.333106599828763,35.83523964968162,1.5471863596469575,-12.43523964968162,0.5157287865489858,-4.145079883227207,1.6339662334951122e-11,5.075235846576467e-11
DDO168,1.24,29.2,1.5,3.0,24.864059885706517,24.864059885706517,22.954229109251305,41.908102170053176,4.335940114293482,-12.708102170053177,1.4453133714311608,-4.236034056684392,1.3770610476976996e-11,4.590117021440465e-11
DDO168,1.64,36.2,1.1,3.0,25.463293070614412,25.463293070614412,23.368937802133843,44.91033613996916,10.73670692938559,-8.710336139969158,3.578902309795197,-2.9034453799897193,1.079154316206423e-11,3.98564136918617e-11
DDO168,2.06,44.0,1.1,3.0,27.425458501180977,27.425458501180977,25.25959093097115,49.29917822028869,16.574541498819023,-5.299178220288688,5.524847166273008,-1.7663927400962294,1.003771499709066e-11,3.8235044005886654e-11
DDO168,2.47,52.1,1.2,3.0,28.013149519466744,28.013149519466744,25.859779310736588,51.951815011576144,24.086850480533258,0.14818498842385708,8.028950160177752,0.049394996141285695,8.774090912779348e-12,3.5412285037132737e-11
DDO168,2.89,52.9,1.7,3.0,28.24965475895236,28.24965475895236,26.12621201016328,54.06675758411663,24.65034524104764,-1.166757584116631,8.21678174701588,-0.3889191947055437,7.654282828836671e-12,3.278025011476073e-11
DDO168,3.3,54.8,2.2,3.0,28.193508720980436,28.193508720980436,26.012987025714676,55.52714418319351,26.60649127901956,-0.7271441831935164,8.868830426339853,-0.2423813943978388,6.645320989787075e-12,3.027932507934857e-11
DDO168,3.71,55.0,2.5,3.0,28.176324529647225,28.176324529647225,26.002288822332545,56.970795957098105,26.823675470352775,-1.9707959570981046,8.941225156784258,-0.6569319856993682,5.906071509915196e-12,2.8351766241627764e-11
DDO168,4.12,52.0,2.7,3.0,27.730955374815345,27.730955374815345,25.72576774364567,57.9721021921548,24.269044625184655,-5.9721021921548,8.089681541728218,-1.9907007307182667,5.20581736354809e-12,2.6435670917365817e-11
DDO170,1.87,27.7,3.0,3.0,19.65619327336806,19.65619327336806,15.93786353310882,37.29394171526928,8.043806726631939,-9.593941715269278,2.6812689088773127,-3.197980571756426,4.402182631835183e-12,2.4103739426234634e-11
DDO170,3.36,42.4,1.5,3.0,24.367265952502752,24.367265952502752,20.922204711741063,49.421259149913844,18.032734047497247,-7.0212591499138455,6.010911349165749,-2.3404197166379483,4.222066521158737e-12,2.3557965944295424e-11
DDO170,4.86,52.5,1.0,3.0,28.243503394586156,28.243503394586156,25.271605489165108,59.57863621167732,24.256496605413844,-7.0786362116773205,8.085498868471282,-2.35954540389244,4.258717693240927e-12,2.3669784340433835e-11
DDO170,6.35,55.6,1.0,3.0,30.839774091260782,30.839774091260782,28.356588405518742,67.41445708855707,24.76022590873922,-11.81445708855707,8.253408636246407,-3.9381523628523567,4.103776389051435e-12,2.3194328950072484e-11
DDO170,7.85,58.6,1.1,3.0,32.478051881232034,32.478051881232034,30.245631320903186,73.2737724439705,26.121948118767968,-14.673772443970499,8.707316039589323,-4.8912574813235,3.776635803760375e-12,2.216546777061857e-11
DDO170,9.34,59.0,1.2,3.0,32.35245916464466,32.35245916464466,30.421018621998837,76.4787095572174,26.647540835355343,-17.4787095572174,8.882513611785114,-5.8262365190724665,3.2110722870623864e-12,2.029474885316676e-11
DDO170,10.83,60.0,1.3,3.0,30.96416073462996,30.96416073462996,29.253004119235346,77.4752265597942,29.03583926537004,-17.475226559794194,9.67861308845668,-5.825075519931398,2.560719111528499e-12,1.7961669789580122e-11
DDO170,12.33,62.2,1.0,3.0,28.84080605669682,28.84080605669682,27.233656640267757,76.8486431879501,33.35919394330318,-14.6486431879501,11.119731314434395,-4.882881062650033,1.949388022840927e-12,1.5522396991399735e-11
ESO079-G014,0.41,33.2,11.6,11.6,28.154936512093215,28.154936512093215,21.388301709111918,32.28184484256407,5.045063487906788,0.9181551574359332,0.434919266198861,0.07915130667551148,3.6159149056600235e-11,8.237250809844266e-11
ESO079-G014,0.98,50.4,11.8,11.8,46.360139128350326,46.360139128350326,35.255616573816994,51.980102642672335,4.0398608716496724,-1.5801026426723368,0.34236109081776883,-0.13390700361629973,4.1103613922845237e-11,8.93506352609117e-11
ESO079-G014,1.78,53.9,9.75,9.75,60.575741959962805,60.57574195996281,46.12324006398509,68.74157130714731,-6.675741959962814,-14.841571307147312,-0.6846914830731091,-1.5222124417586986,3.873192377365653e-11,8.603365283527492e-11
ESO079-G014,2.69,67.6,5.1,5.1,73.67834875999867,73.67834875999867,56.121358821753404,83.9573786449311,-6.078348759998676,-16.357378644931103,-1.1918330901958187,-3.2073291460649225,3.794491027235515e-11,8.492096400538426e-11
ESO079-G014,3.36,81.7,5.06,5.06,80.2324588555031,80.2324588555031,61.10526829987737,92.29626205261964,1.4675411444969058,-10.596262052619636,0.290027894169349,-2.0941229353003235,3.6013678899476344e-11,8.216340005667329e-11
ESO079-G014,4.39,102.0,5.35,5.35,84.73439199050168,84.73439199050168,64.50859187736157,100.37819461441076,17.265608009498322,1.6218053855892407,3.2272164503735183,0.3031411935680824,3.071991845771207e-11,7.438128811306999e-11
ESO079-G014,5.65,116.0,6.44,6.44,89.92352598736328,89.92352598736328,68.43749970593606,109.25563294657981,26.076474012636723,6.744367053420191,4.049141927428062,1.0472619648167998,2.6865150401915364e-11,6.846816390805179e-11
ESO079-G014,6.34,132.0,9.1,9.1,93.81798086720902,93.81798086720902,71.41993485015229,114.67788278360257,38.182019132790984,17.32211721639743,4.1958262783286795,1.9035293644392781,2.6073485788148408e-11,6.72232537534683e-11
ESO079-G014,6.89,137.0,5.25,5.25,98.18758040607781,98.18758040607781,74.82171199591733,119.91081209564582,38.812419593922186,17.089187904354176,7.39284182741375,3.2550834103531763,2.6332101169581385e-11,6.763117322427912e-11
ESO079-G014,8.34,154.0,4.2,4.2,111.68001626969793,111.68001626969793,85.38934122008436,134.93163011044726,42.31998373030207,19.06836988955274,10.076186602452873,4.540088068941128,2.8332880513837985e-11,7.074747402157676e-11
