galaxy,n_points,chi2_baryon,chi2_dof_baryon,chi2_pmodel,chi2_dof_pmodel,delta_chi2_baryon_minus_pmodel,rms_resid_baryon_km_s,rms_resid_pmodel_km_s
CamB,9,19.165656254349006,2.129517361594334,235.96379172104324,26.218199080115916,-216.79813546669422,4.377859780115052,15.361112971430268
D512-2,4,43.62454898817465,10.906137247043663,8.759503642331918,2.1898759105829795,34.86504534584273,13.042628371706835,6.276503403001485
D564-8,6,69.68901642823418,11.614836071372364,30.728299987652893,5.121383331275482,38.960716440581294,10.22416376249673,6.789142065200826
D631-7,16,865.2428608532225,54.07767880332641,178.07414430054837,11.129634018784273,687.1687165526741,24.776300666066373,10.043216247119089
DDO064,14,123.39529467082585,8.813949619344703,4.348378435329331,0.3105984596663808,119.04691623549651,14.948299810108212,3.091433392591338
DDO154,12,692.7602518547974,57.730020987899785,19.77371602467082,1.6478096687225683,672.9865358301265,22.794082321758385,3.85101116831711
DDO161,31,1579.6896473041634,50.95773055819882,962.1600473821619,31.037420883295546,617.5295999220015,21.529379894065958,17.257111378314654
DDO168,10,401.9160523852347,40.19160523852347,54.963083371248594,5.4963083371248596,346.9529690139861,19.023253524803845,7.234718364446071
DDO170,8,548.8546807762541,68.60683509703176,152.42460674309586,19.053075842886983,396.43007403315823,24.848772924900853,13.094948743159817
ESO079-G014,15,1189.0567880563353,79.27045253708903,94.22382794096248,6.2815885293974985,1094.8329601153728,31.56441375400489,11.541729741744332
ESO116-G012,15,1726.2537890868016,115.08358593912011,126.12694882599023,8.408463255066016,1600.1268402608114,35.52786097643345,9.744951502179196
ESO444-G084,7,540.7169441772201,77.24527773960287,64.14610753811249,9.163729648301784,476.5708366391076,31.880365569556076,11.275647653059364
ESO563-G021,30,2122.7555420821245,70.75851806940415,1493.2524695673883,49.77508231891294,629.5030725147362,67.87855865024136,44.64018842656716
F561-1,6,3.1963408314541346,0.5327234719090225,232.23006721005007,38.70501120167501,-229.03372637859593,4.028190657935601,31.856194075791805
F563-1,17,462.35047334589524,27.197086667405603,51.178412157550554,3.0104948327970913,411.1720611883447,57.810207763397784,19.26885433380114
F563-V1,6,0.8850321263436239,0.147505354390604,196.2719022308059,32.711983705134315,-195.38687010446228,1.920321290764933,28.5971955378208
F563-V2,10,170.1705483868183,17.01705483868183,44.75575593896812,4.475575593896812,125.41479244785017,51.93206054440297,24.050493227806673
F565-V2,7,264.612277520843,37.801753931549,9.941175581919412,1.4201679402742016,254.67110193892358,38.17756252593736,7.772157795186452
F567-2,5,20.42340295083652,4.084680590167304,33.684137023045395,6.736827404609079,-13.260734072208876,11.8673908017604,20.090623462686796
F568-1,12,358.4276742082205,29.86897285068504,85.1613378559437,7.096778154661975,273.26633635227677,60.56883651051064,30.44741546417394
F568-3,18,290.9606817552915,16.164482319738415,31.777718553015635,1.7654288085008687,259.18296320227586,34.997728934767885,7.869723128854354
F568-V1,15,493.798655592213,32.9199103728142,143.00925172361497,9.533950114907665,350.789403868598,56.202514196988595,26.170191197872793
F571-8,13,1622.9559649007028,124.8427665308233,547.996683461069,42.153591035466846,1074.9592814396337,48.14179110418528,28.483518073994446
F571-V1,7,213.7091674473547,30.529881063907816,3.713017460120005,0.5304310657314293,209.9961499872347,34.36440391426333,5.472464300563816
F574-1,14,953.4738278984555,68.10527342131824,50.63767250026663,3.6169766071619023,902.8361553981889,37.72141249918662,8.92855929014242
F574-2,5,2.6544601851873826,0.5308920370374766,112.02063684005586,22.40412736801117,-109.36617665486847,6.537588209256286,39.475897888657244
F579-V1,14,209.5896306147274,14.970687901051958,47.56215157351506,3.3972965409653613,162.02747904121236,40.38351217031633,18.275074161754542
F583-1,25,919.1675293214603,36.76670117285841,86.60797379441914,3.4643189517767654,832.5595555270411,33.264714853001784,10.004396565887467
F583-4,12,230.91306152287197,19.242755126905998,14.159535919097042,1.1799613265914202,216.75352560377493,19.98416966805868,5.070322128274523
IC2574,34,852.1190478476165,25.0623249366946,470.34029796462227,13.833538175430066,381.7787498829942,19.421920133481198,12.794618219887727
IC4202,32,2862.2310580687663,89.44472056464895,1253.4250108690826,39.16953158965883,1608.8060471996837,41.794183147849445,26.240212815410935
KK98-251,15,105.76212248122667,7.050808165415111,174.43774915655877,11.629183277103918,-68.6756266753321,7.966007374383732,10.230476503757547
NGC0024,29,1496.8276742089274,51.614747386514736,293.17460101829215,10.109469000630764,1203.6530731906353,34.09071897104644,20.816882881109205
NGC0055,21,678.6709693671411,32.3176652079591,389.93966849167646,18.568555642460783,288.7313008754646,23.105894016690947,16.25956011837581
NGC0100,21,521.2687508188669,24.822321467565093,42.83506257659981,2.039764884599991,478.4336882422671,27.686784386247208,6.319884546467072
NGC0247,26,1225.0060483266923,47.11561724333432,33.17832205371529,1.2760893097582804,1191.827726272977,33.47360789868912,4.766461259634229
NGC0289,28,2202.8392935545066,78.67283191266095,274.83357955363545,9.81548498405841,1928.0057140008712,56.48155664317651,21.73519381808616
NGC0300,25,1408.9238195942403,56.356952783769614,39.21680457468124,1.5686721829872496,1369.707015019559,37.19828835856544,6.1049338779062
NGC0801,13,573.969327728351,44.15148674833469,909.1841444495308,69.93724188073314,-335.2148167211798,34.7006962913154,34.58666086792649
NGC0891,18,3611.503229249092,200.6390682916162,797.1641250373141,44.28689583540634,2814.339104211778,72.5228992553032,33.61126923929276
NGC1003,36,8469.014658348282,235.25040717634116,187.0576924309802,5.196047011971673,8281.956965917301,49.037405574803344,7.708917789009049
NGC1090,24,1651.7358041945122,68.82232517477134,640.0862194805932,26.670259145024716,1011.649584713919,27.496621010396755,18.15402680156819
NGC1705,14,931.0985800517843,66.50704143227031,205.1288035337253,14.652057395266093,725.969776518059,38.781140441483075,17.438625816994715
NGC2366,26,674.8427802177918,25.955491546838143,230.2066266349101,8.854101024419618,444.63615358288166,16.631585298230444,10.496840773367456
NGC2403,73,8669.496310895975,118.76022343693116,303.13060624456995,4.152474058144794,8366.365704651405,38.874533895557725,7.080541059404375
NGC2683,11,142.85688028102345,12.986989116456677,20.580592594100093,1.8709629631000084,122.27628768692335,34.446552638957456,13.833945527330776
NGC2841,50,19022.82282388462,380.4564564776924,4160.482667449464,83.20965334898929,14862.340156435155,85.57149345709287,53.416058735866024
NGC2903,34,5658.183786595946,166.4171701939984,468.2608633443268,13.772378333656672,5189.922923251619,58.587666706102034,25.560709500186302
NGC2915,30,1529.4537771832433,50.98179257277478,245.85378944384186,8.195126314794729,1283.5999877394015,49.2285235017207,21.283084023309463
NGC2955,24,2638.521424193507,109.93839267472946,259.5004970989204,10.812520712455017,2379.0209270945866,57.83339618993974,23.25845447672476
NGC2976,27,19.304515755088723,0.714982065003286,73.27430255224178,2.7138630574904363,-53.969786797153056,3.38598832697762,5.60558761793377
NGC2998,13,1556.1863105483485,119.70663927294989,136.8911418168267,10.530087832063591,1419.2951687315217,38.099605224017786,26.655581284461825
NGC3109,25,2222.012994826786,88.88051979307143,83.17129069088466,3.3268516276353863,2138.841704135901,30.224140127595934,5.7046636879298775
NGC3198,43,6822.220340654028,158.65628699195415,235.9587143102989,5.487411960704625,6586.261626343729,38.96835477863265,10.520807653227031
NGC3521,41,941.5938792362127,22.965704371614944,23.15875633871887,0.564847715578509,918.4351228974939,45.7514516338147,6.898040326842679
NGC3726,12,215.24202661124033,17.936835550936696,312.6386032593347,26.053216938277888,-97.39657664809434,34.92577275296784,25.968802645580148
NGC3741,21,1455.2521725933243,69.29772250444401,23.796070734404154,1.1331462254478168,1431.4561018589202,25.165832309587408,3.2182332653192236
NGC3769,12,287.64629726925784,23.970524772438154,55.076345187643355,4.589695432303613,232.56995208161447,39.31010627733103,15.24605485481543
NGC3877,13,198.65081192234658,15.280831686334352,188.50523952484824,14.500403040372941,10.145572397498341,25.635851394865124,23.970903122652015
NGC3893,10,155.68175879405004,15.568175879405004,9.840080917832063,0.9840080917832064,145.84167787621797,34.123917128110726,7.068874540318143
NGC3917,17,780.6128105676161,45.91840062162447,47.005952347054276,2.7650560204149572,733.6068582205618,28.547789839830276,6.577154700368992
NGC3949,7,145.90870167192602,20.844100238846575,23.253633543226016,3.321947649032288,122.65506812870001,27.634514212494857,11.422498590435612
NGC3953,8,28.625189025709336,3.578148628213667,18.673863382305473,2.334232922788184,9.951325643403862,11.796209979430037,10.261160514628841
NGC3972,10,231.30135658495635,23.130135658495636,18.749103749988063,1.8749103749988063,212.5522528349683,23.49590766417676,6.947044521230231
NGC3992,9,724.4312900063942,80.49236555626602,73.92677887602277,8.214086541780308,650.5045111303714,56.705791087612425,18.53934577691578
NGC4010,12,184.84015430146036,15.403346191788364,49.04670674333163,4.087225561944303,135.79344755812872,19.139928080427353,11.655143832512442
NGC4013,36,2114.4407384595456,58.7344649572096,312.00460342953295,8.66679453970925,1802.4361350300128,38.95854820449166,14.1936232954447
NGC4051,7,70.90673693339959,10.129533847628512,88.20118193592326,12.600168847989037,-17.294445002523673,24.90997201128276,25.362596088431143
NGC4068,6,15.39341784559661,2.5655696409327686,68.31615001908912,11.38602500318152,-52.92273217349251,6.31679844406601,11.035165328166428
NGC4085,7,171.06084028249003,24.437262897498577,103.92121146367147,14.845887351953067,67.13962881881857,30.132348499768813,23.347272200804213
NGC4088,12,491.8640016966643,40.988666808055356,461.33191729839984,38.44432644153332,30.53208439826443,45.465045173442,41.9614640190777
NGC4100,24,684.0442653277594,28.50184438865664,68.46477768541264,2.8526990702255266,615.5794876423467,32.49315166322213,9.723963395620817
NGC4138,7,30.67871152239614,4.38267307462802,7.367254694169874,1.0524649563099822,23.311456828226262,32.29969943923488,10.112666364839624
NGC4157,17,323.39387888777344,19.023169346339614,170.24064830375207,10.014155782573651,153.15323058402137,39.03795586350992,23.192686247826863
NGC4183,23,881.9555491278632,38.345893440341875,71.26383826642532,3.0984277507141447,810.6917108614379,34.85127082167702,9.387338127791558
NGC4214,14,380.2960085347288,27.164000609623486,80.70469912893091,5.764621366352208,299.5913094057979,34.5053125116485,15.589235016736882
NGC4217,19,2923.646043549015,153.87610755521132,1210.4620419566418,63.708528524033774,1713.184001592373,85.69166849676087,55.82480793671258
NGC4389,6,419.58235429484876,69.93039238247479,341.7550578727025,56.95917631211708,77.82729642214628,53.622525773169635,48.61438916135366
NGC4559,32,877.4841763972971,27.421380512415535,412.46997442322373,12.889686700725742,465.0142019740734,25.02084446954185,18.08752638520211
NGC5005,18,363.1970936147905,20.177616311932805,20.0384726591273,1.1132484810626277,343.1586209556632,67.22306529613995,15.202913974047501
NGC5033,22,5898.915946884565,268.1325430402075,184.42386982612294,8.382903173914679,5714.492077058441,65.38330546197315,16.12922670354772
NGC5055,28,6878.958637103771,245.67709418227756,2065.2860877733706,73.76021742047752,4813.6725493304,54.70818303967479,29.21710255804921
NGC5371,19,1648.5330310806933,86.76489637266806,3389.2220749389376,178.3801092073125,-1740.6890438582443,29.55598567502793,44.52657803783716
NGC5585,24,1599.1119349663645,66.62966395693185,170.331205054698,7.097133543945749,1428.7807299116666,24.811683940202748,8.260756889318108
NGC5907,19,3501.7195652970386,184.30102975247573,344.65479544302065,18.139726075948456,3157.064769854018,47.15647557723035,17.771147920182752
NGC5985,33,9143.961143113962,277.089731609514,5030.747692737343,152.44689977991948,4113.213450376619,82.50281164669008,68.73096329839649
NGC6015,44,4688.058509477508,106.546784306307,467.3053448393583,10.620576019076326,4220.753164638149,45.247959399254036,10.685877312233279
NGC6195,23,3123.5059986986626,135.80460863907228,741.5389043825757,32.2408219296772,2381.967094316087,62.43580159203185,36.34452042283882
NGC6503,31,5754.40014762855,185.6258112138242,41.842193086536014,1.349748164081807,5712.557954542014,42.98346388708036,4.187218576933348
NGC6674,15,8213.812010893318,547.5874673928879,283.0389526536186,18.86926351024124,7930.7730582397,79.93212861139043,25.464890819476803
NGC6789,4,60.38996061091632,15.09749015272908,25.01095743528323,6.252739358820808,35.37900317563309,22.79163673833026,15.614357158486428
NGC6946,58,2550.5537604057845,43.97506483458249,857.2039851408622,14.779379054152797,1693.3497752649223,30.960285640240375,17.869550013576458
NGC7331,36,5334.892438853611,148.19145663482252,1575.7807773988395,43.77168826107888,3759.111661454771,67.97105909450721,29.818331998729334
NGC7793,46,127.70931697373479,2.776289499429017,42.67390698450247,0.9276936300978799,85.0354099892323,12.33584805370092,6.002755951743253
NGC7814,18,1796.7079155116655,99.81710641731475,411.5253812697508,22.862521181652824,1385.1825342419147,58.662173001434354,20.88254601982804
PGC51017,6,8.564802927671542,1.4274671546119235,295.51793803922374,49.252989673203956,-286.95313511155217,4.380218820829295,21.058840287991103
UGC00128,22,9633.056403991486,437.86620018143117,253.90740637410593,11.541245744277543,9379.14899761738,66.12374412841615,10.687441479737444
UGC00191,9,516.0683500485528,57.34092778317253,29.130329991518455,3.2367033323909395,486.93802005703435,24.675422793808742,7.012732478556219
UGC00634,4,1059.098921537356,264.774730384339,3.919593124388939,0.9798982810972348,1055.1793284129672,49.47196830837198,3.177082984484901
UGC00731,12,1677.2845385513283,139.77371154594402,152.028721199346,12.669060099945499,1525.2558173519824,36.392989633498374,11.061004047717372
UGC00891,5,371.39819677957405,74.27963935591481,27.524313273236956,5.5048626546473916,343.8738835063371,25.85569094422412,7.038733116962634
UGC01230,11,176.81673363657708,16.074248512416098,36.6748314974439,3.334075590676718,140.14190213913318,44.77846312735381,18.861322036721194
UGC01281,25,449.3067914308301,17.972271657233204,26.43478967511155,1.057391587004462,422.87200175571854,18.836785555394638,4.375090830793777
UGC02023,5,5.780171486661164,1.1560342973322328,12.390112498568527,2.4780224997137053,-6.609941011907363,9.343404176250251,13.679568519899671
UGC02259,8,1401.6400211620635,175.20500264525793,166.67261841098235,20.834077301372794,1234.9674027510812,40.06322588837484,14.115407525245164
UGC02455,8,675.2294159657482,84.40367699571853,1013.8139722014497,126.72674652518121,-338.5845562357015,33.4412164659492,40.9765628226678
UGC02487,17,13482.917740746629,793.1128082792135,2988.639538687954,175.80232580517375,10494.278202058675,107.0972268798981,60.79141094822523
UGC02885,19,973.6313154547556,51.243753444987135,42.09843019571811,2.2157068524062162,931.5328852590375,71.58474240017011,14.885250593813385
UGC02916,43,12073.597611667874,280.78133980622965,2068.703772354699,48.109390054760446,10004.893839313176,60.85822191396668,30.351495673238528
UGC02953,115,24124.50824913822,209.77833260120192,4099.16489716579,35.64491214926774,20025.34335197243,70.75140175257388,28.671743812844795
UGC03205,48,3516.5660282626523,73.26179225547192,462.4915905589411,9.63524146997794,3054.0744377037113,35.09557304457245,19.75109796364364
UGC03546,30,1471.1948196602968,49.03982732200989,190.84156964448283,6.361385654816094,1280.353250015814,94.82496997695391,35.94074711540707
UGC03580,47,7463.297347182157,158.79356057834377,2606.1192776291928,55.44934633253602,4857.178069552964,44.30267216500463,27.224927604081028
UGC04278,25,837.5340834994529,33.50136333997811,72.17751816361906,2.8871007265447624,765.3565653358338,28.426010666418907,7.391744015415979
UGC04305,22,43.964980886341955,1.9984082221064525,1439.5020215926554,65.43191007239342,-1395.5370407063135,4.624556699281169,25.9370218139747
UGC04325,8,1143.353262707893,142.91915783848663,242.36780123115,30.29597515389375,900.985461476743,36.492421032086,16.815396474496044
