case_id,label,cluster_family,apply_primary_registration,primary_registration_csv_exists,source_mode_before,source_mode_after,offset_obs_before_kpc,offset_sigma_before_kpc,offset_obs_after_kpc,offset_sigma_after_kpc,primary_registration_status,required_action
el_gordo_main_template,El Gordo main-like transfer,el_gordo,True,True,template_pending_primary,template_pending_primary,,,,,pending_registration_values,register_offset_obs_and_sigma_from_primary_dataset
el_gordo_sub_template,El Gordo sub-like transfer,el_gordo,True,True,template_pending_primary,template_pending_primary,,,,,pending_registration_values,register_offset_obs_and_sigma_from_primary_dataset
