galaxy,distance_mpc,r_kpc,vobs_km_s,evobs_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,g_obs_m_s2,g_obs_sigma_m_s2,g_bar_m_s2
UGC01281,5.27,4.62,56.4,4.0,19.58,18.33,0.0,2.2313396728465254e-11,3.165020812548263e-12,3.867686648232328e-12
UGC01281,5.27,4.99,56.9,4.0,20.46,18.23,0.0,2.1026812495587117e-11,2.956318101312776e-12,3.797868924572468e-12
UGC02023,10.4,0.76,15.1,8.69,0.58,17.55,0.0,9.722764286660654e-12,1.1190837304778951e-11,6.581240259230436e-12
UGC02023,10.4,1.51,28.0,8.69,10.02,30.38,0.0,1.682629776771114e-11,1.04443234001007e-11,1.2058974075405682e-11
UGC02023,10.4,2.27,37.6,8.69,14.0,35.0,0.0,2.0183630520902493e-11,9.329561129076737e-12,1.1542599363505592e-11
UGC02023,10.4,3.03,47.9,8.69,14.92,36.8,0.0,2.4540186169947347e-11,8.904142706339978e-12,9.623150769921905e-12
UGC02023,10.4,3.78,58.8,8.69,19.48,36.55,0.0,2.964232790078446e-11,8.7616268523067e-12,8.980059234485833e-12
UGC02259,10.5,1.02,56.1,3.4,4.05,24.58,0.0,9.99942449758059e-11,1.2120514542521926e-11,1.0119196710202342e-11
UGC02259,10.5,2.04,71.1,3.0,7.98,36.06,0.0,8.030794054800025e-11,6.7770413964557164e-12,1.1340220674957858e-11
UGC02259,10.5,3.05,80.7,1.5,14.47,40.35,0.0,6.91985007039788e-11,2.5724349704081336e-12,1.087459056939152e-11
UGC02259,10.5,4.07,82.8,1.5,19.07,42.21,0.0,5.459032993548957e-11,1.9779105049090426e-12,9.989140398093409e-12
UGC02259,10.5,5.09,83.7,1.5,21.9,39.32,0.0,4.460490188657661e-11,1.5987420031031043e-12,7.975508169085927e-12
UGC02259,10.5,6.11,86.0,1.5,24.6,37.93,0.0,3.922881116977172e-11,1.3684469012711065e-12,7.025237493908871e-12
UGC02259,10.5,7.13,88.3,2.3,26.68,36.09,0.0,3.543898966911063e-11,1.846198782309274e-12,6.195508445016064e-12
UGC02259,10.5,8.14,90.0,3.0,25.72,33.53,0.0,3.22485408409083e-11,2.14990272272722e-12,4.871714804216725e-12
UGC02455,6.92,0.5,16.9,3.64,2.1,41.15,0.0,1.8511979457164104e-11,7.974391150778383e-12,5.5162681616830563e-11
UGC02455,6.92,1.0,23.9,3.64,6.14,64.58,0.0,1.8511655379235158e-11,5.63869670129004e-12,6.880134893983058e-11
UGC02455,6.92,1.51,28.2,3.64,11.02,77.99,0.0,1.7067531934686997e-11,4.40608625831636e-12,6.787738070135627e-11
UGC02455,6.92,2.01,33.0,3.64,15.45,76.28,0.0,1.7558251971168727e-11,3.873456798488131e-12,5.0756435463091765e-11
