galaxy,distance_mpc,r_kpc,vobs_km_s,evobs_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,g_obs_m_s2,g_obs_sigma_m_s2,g_bar_m_s2
CamB,3.36,0.16,1.99,1.5,1.86,3.75,0.0,8.021131290080394e-13,1.2092157723739287e-12,2.1249080880417142e-12
CamB,3.36,0.41,4.84,1.5,4.24,9.47,0.0,1.851639007873364e-12,1.1477101288471266e-12,4.965352083982454e-12
CamB,3.36,0.57,6.79,1.5,5.61,11.76,0.0,2.6212844287451225e-12,1.1581521776488023e-12,5.720879452723729e-12
CamB,3.36,0.73,8.87,1.5,6.77,13.72,0.0,3.4928009325710326e-12,1.1813306423577336e-12,6.2130666738937905e-12
CamB,3.36,0.9,10.9,1.5,7.77,14.8,0.0,4.278188748654278e-12,1.1774831418314527e-12,6.117615463818251e-12
CamB,3.36,1.06,12.9,1.5,8.44,15.24,0.0,5.087717750532423e-12,1.1831901745424237e-12,5.728303637175386e-12
CamB,3.36,1.22,14.7,1.5,8.64,15.11,0.0,5.7401639070166624e-12,1.1714620218401352e-12,5.015388854508865e-12
CamB,3.36,1.47,16.8,1.5,8.08,15.9,0.0,6.222296235733182e-12,1.1111243278094966e-12,4.2260511502353454e-12
CamB,3.36,1.79,20.1,1.5,6.91,14.91,0.0,7.314565590661553e-12,1.0917262075614259e-12,2.8769094791518548e-12
D512-2,15.2,0.96,22.9,2.71,4.08,14.85,0.0,1.770309444976583e-11,4.189990040075581e-12,4.284163372833899e-12
D512-2,15.2,1.92,33.5,2.71,6.24,21.2,0.0,1.894252373739031e-11,3.06473070616882e-12,4.45029213325316e-12
D512-2,15.2,2.88,37.2,4.19,7.45,20.56,0.0,1.5571944485780173e-11,3.5078735158827382e-12,3.0028892105403496e-12
D512-2,15.2,3.83,35.9,5.98,8.09,20.08,0.0,1.0905349232451155e-11,3.6330912763263455e-12,2.2596718596845798e-12
D564-8,8.79,0.51,8.54,1.53,3.47,6.36,0.0,4.634416055412562e-12,1.6605753079112928e-12,2.05031396704755e-12
D564-8,8.79,1.02,15.1,1.41,5.33,8.66,0.0,7.244412605747154e-12,1.3529300363050976e-12,2.094010474466892e-12
D564-8,8.79,1.53,19.8,1.8,6.34,9.09,0.0,8.30402034401156e-12,1.5098218807293748e-12,1.7265018667311038e-12
D564-8,8.79,2.04,21.9,1.82,6.86,8.75,0.0,7.619167426521628e-12,1.2663821658693481e-12,1.3557395059979322e-12
D564-8,8.79,2.56,24.0,1.89,7.05,8.17,0.0,7.291753401249822e-12,1.148451160696847e-12,1.0516955429304885e-12
D564-8,8.79,3.07,25.0,2.05,7.04,7.65,0.0,6.597677706523545e-12,1.0820191438698614e-12,8.320764163354391e-13
D631-7,7.72,0.45,8.41,1.58,8.4,9.99,0.0,5.093648036927778e-12,1.9139034241012817e-12,8.675209672120727e-12
D631-7,7.72,0.9,17.8,2.22,13.51,15.52,0.0,1.140898344519503e-11,2.845836320037412e-12,1.0909014020748939e-11
D631-7,7.72,1.35,26.0,2.35,16.7,20.76,0.0,1.6227902219736228e-11,2.9335054012600104e-12,1.1867945008743392e-11
D631-7,7.72,1.8,30.9,2.22,18.72,21.37,0.0,1.7190713740857636e-11,2.4701219744144954e-12,1.0420489048276934e-11
D631-7,7.72,2.25,34.7,1.82,19.9,19.92,0.0,1.7343066376120292e-11,1.8192726688495063e-12,8.561608835254895e-12
D631-7,7.72,2.69,38.8,1.81,20.61,18.76,0.0,1.8136798414502326e-11,1.6921445943427427e-12,7.237429989004344e-12
D631-7,7.72,3.14,42.5,1.57,20.73,17.36,0.0,1.864222162916842e-11,1.3773311980138552e-12,5.990463889767301e-12
D631-7,7.72,3.59,45.6,1.59,20.61,16.32,0.0,1.8770882516153302e-11,1.3090220702054277e-12,5.036688276669204e-12
D631-7,7.72,4.04,48.8,1.83,20.38,15.37,0.0,1.9103270868946507e-11,1.432745315170988e-12,4.2792954355642725e-12
D631-7,7.72,4.49,51.8,1.91,19.9,14.49,0.0,1.936701251805946e-11,1.4282237030692499e-12,3.616031577411352e-12
D631-7,7.72,4.94,54.8,2.19,19.43,13.72,0.0,1.9700789144479767e-11,1.574625117752215e-12,3.094118281920297e-12
D631-7,7.72,5.39,56.6,2.73,18.84,13.04,0.0,1.9261652876609262e-11,1.858102910005063e-12,2.6453320912270787e-12
D631-7,7.72,5.84,58.4,3.27,18.25,12.45,0.0,1.8926151050355092e-11,2.1194696552966146e-12,2.27833304451475e-12
D631-7,7.72,6.29,58.5,3.95,17.65,11.93,0.0,1.7632363948014276e-11,2.3811226528087655e-12,1.971697075265584e-12
D631-7,7.72,6.74,57.7,4.07,17.06,11.48,0.0,1.6008151454828233e-11,2.258342336954971e-12,1.7162609356663566e-12
D631-7,7.72,7.19,57.3,3.94,16.47,11.08,0.0,1.47989127026979e-11,2.035173335030706e-12,1.499340904083255e-12
DDO064,6.8,0.1,6.29,4.62,-1.13,1.96,0.0,1.282185158855058e-11,1.8835279599079072e-11,1.0363039933856245e-12
DDO064,6.8,0.3,13.9,4.62,-2.45,6.31,0.0,2.087169888378486e-11,1.3874424293969216e-11,2.7990124606037567e-12
DDO064,6.8,0.49,15.6,4.62,-0.64,9.67,0.0,1.6095429548554707e-11,9.533446732605482e-12,3.119352580537113e-12
DDO064,6.8,0.69,18.4,4.62,2.49,13.92,0.0,1.5901423713540355e-11,7.985280169190917e-12,4.841597445327253e-12
DDO064,6.8,0.89,22.5,4.62,1.87,15.16,0.0,1.8434208036867528e-11,7.570314767140265e-12,4.311682061003601e-12
DDO064,6.8,1.09,26.5,4.62,4.97,16.41,0.0,2.0879240880846838e-11,7.28015795241603e-12,4.737631319610531e-12
DDO064,6.8,1.29,35.3,4.62,9.29,17.34,0.0,3.1304671820028905e-11,8.194197382919747e-12,5.944993554533058e-12
DDO064,6.8,1.48,40.5,4.62,13.62,18.34,0.0,3.591681236156162e-11,8.1943542276748e-12,7.744634789223782e-12
DDO064,6.8,1.68,44.2,4.89,16.26,19.12,0.0,3.7686405065655297e-11,8.338756595975312e-12,8.626159705960872e-12
DDO064,6.8,1.88,46.3,4.62,18.16,19.54,0.0,3.695333061164357e-11,7.37470356050943e-12,8.975776092084e-12
DDO064,6.8,2.08,46.4,4.62,19.64,19.1,0.0,3.3544558552894904e-11,6.679993987688554e-12,8.851917525465186e-12
DDO064,6.8,2.27,46.3,4.62,20.17,18.77,0.0,3.060452050655943e-11,6.107684006060673e-12,8.323025763565968e-12
DDO064,6.8,2.37,46.4,6.73,20.59,18.61,0.0,2.94399501223719e-11,8.54012346222254e-12,8.165042914574582e-12
DDO064,6.8,2.98,46.9,8.65,22.17,17.21,0.0,2.3920974942465505e-11,8.823728496900923e-12,6.9557231955333596e-12
DDO154,4.04,0.49,13.8,1.6,3.74,12.31,0.0,1.2595387915954794e-11,2.920669661670677e-12,5.936290849604431e-12
DDO154,4.04,0.99,21.6,0.8,7.46,14.55,0.0,1.527290894225417e-11,1.131326588315124e-12,5.286819105719595e-12
DDO154,4.04,1.48,28.9,0.7,10.87,12.95,0.0,1.8288724799573165e-11,8.859589868305339e-13,4.423404248776829e-12
DDO154,4.04,1.97,34.3,0.5,13.32,11.54,0.0,1.9354032620499498e-11,5.642575108017347e-13,4.014095030530957e-12
DDO154,4.04,2.47,38.2,0.4,14.77,10.18,0.0,1.914605170173601e-11,4.0096443354420964e-13,3.542146834291233e-12
DDO154,4.04,2.96,42.0,0.2,16.2,9.16,0.0,1.9313292792499527e-11,1.8393612183332884e-13,3.3326685205945295e-12
DDO154,4.04,3.46,44.6,0.2,17.6,8.37,0.0,1.8631296333500446e-11,1.67096828103143e-13,3.2294314104035377e-12
DDO154,4.04,3.95,46.3,0.2,17.91,7.77,0.0,1.7587914316427825e-11,1.5194742390002442e-13,2.8794081953829544e-12
DDO154,4.04,4.44,47.4,0.3,17.48,7.29,0.0,1.639921909088293e-11,2.0758505178332822e-13,2.424179183602526e-12
DDO154,4.04,4.94,48.2,0.6,16.93,6.89,0.0,1.5241109466414423e-11,3.794467087074131e-13,2.0360553421301175e-12
DDO154,4.04,5.43,47.4,0.7,16.28,6.55,0.0,1.3409306217959525e-11,3.9605545791441637e-13,1.7098521627259026e-12
DDO154,4.04,5.92,45.5,1.3,15.64,6.26,0.0,1.1333147506709792e-11,6.476084289548452e-13,1.4463258562851105e-12
DDO161,7.5,0.6,16.0,3.53,6.82,12.59,0.0,1.3827324968295958e-11,6.1013071422605916e-12,6.793021774449005e-12
DDO161,7.5,0.73,16.6,4.83,8.12,14.22,0.0,1.2233275904099853e-11,7.118882242988227e-12,7.415551170106597e-12
DDO161,7.5,0.85,18.6,2.5,9.3,15.27,0.0,1.3190352976190266e-11,3.545793810803835e-12,7.742658274516285e-12
DDO161,7.5,0.98,20.0,7.58,10.41,17.04,0.0,1.3227670569160675e-11,1.0026574291423791e-11,8.384653305932658e-12
DDO161,7.5,1.07,21.4,4.03,11.27,18.03,0.0,1.3870535358821883e-11,5.224136214584318e-12,8.769892522142388e-12
DDO161,7.5,1.54,28.9,2.74,15.22,22.44,0.0,1.7576177080109275e-11,3.3327837508304094e-12,1.0173210234775976e-11
DDO161,7.5,2.02,32.9,2.65,18.74,24.92,0.0,1.7365603518254828e-11,2.79749843911096e-12,1.0615811092355809e-11
DDO161,7.5,2.49,35.2,2.88,21.52,25.85,0.0,1.6126325987121068e-11,2.6388533433470838e-12,1.037598157597054e-11
DDO161,7.5,2.96,37.6,3.05,23.28,26.01,0.0,1.5478662595421844e-11,2.5111660061721606e-12,9.63714095590142e-12
DDO161,7.5,3.43,40.6,3.68,24.59,25.36,0.0,1.5574259328129777e-11,2.8233140062816543e-12,8.751359765370244e-12
DDO161,7.5,3.9,42.7,3.25,25.62,25.01,0.0,1.5150975565771837e-11,2.30635459432124e-12,8.053207318582195e-12
DDO161,7.5,4.37,45.5,2.99,26.35,24.48,0.0,1.53529137848334e-11,2.0178115260066755e-12,7.371161393006305e-12
DDO161,7.5,4.86,48.9,1.96,27.08,23.7,0.0,1.5945234248379137e-11,1.2782273671502295e-12,6.762768866392586e-12
DDO161,7.5,5.34,51.5,1.53,27.81,22.69,0.0,1.609617391466071e-11,9.563940228905198e-13,6.255882300723217e-12
DDO161,7.5,5.81,53.0,1.86,28.4,21.59,0.0,1.5668414843458217e-11,1.09974534372952e-12,5.798953683387734e-12
DDO161,7.5,6.28,55.0,1.48,28.98,20.86,0.0,1.5610441641033766e-11,8.401255864992718e-13,5.456740567845898e-12
DDO161,7.5,6.75,57.6,0.99,29.57,20.11,0.0,1.5929078363476943e-11,5.4756206874452e-13,5.168879487352939e-12
DDO161,7.5,7.22,59.7,1.19,30.3,19.38,0.0,1.5997824179661726e-11,6.377692051523436e-13,4.963878296849268e-12
DDO161,7.5,7.69,60.5,1.26,31.18,18.7,0.0,1.5425308705056876e-11,6.425087262271625e-13,4.833933745303136e-12
DDO161,7.5,8.16,61.8,1.33,32.06,18.06,0.0,1.5168276830168503e-11,6.528740512661523e-13,4.729811729893685e-12
DDO161,7.5,8.64,62.9,1.35,32.64,17.47,0.0,1.4840106005266876e-11,6.37015679081408e-13,4.568486242133701e-12
DDO161,7.5,9.11,63.0,2.09,33.23,16.94,0.0,1.4119267837326769e-11,9.368022152385063e-13,4.4386036870420305e-12
DDO161,7.5,9.58,64.5,2.38,33.38,16.44,0.0,1.4073540750428937e-11,1.0386054879386317e-12,4.226413258867808e-12
DDO161,7.5,10.05,65.6,1.08,33.38,15.98,0.0,1.38768556846003e-11,4.569208579075708e-13,4.004715131488247e-12
DDO161,7.5,10.52,67.5,3.22,32.79,15.57,0.0,1.4035932164953317e-11,1.339131898404435e-12,3.685605666542481e-12
DDO161,7.5,10.99,66.8,2.37,32.06,15.18,0.0,1.3158448568271359e-11,9.336982966108718e-13,3.370704755629134e-12
DDO161,7.5,11.46,66.8,0.95,31.18,14.81,0.0,1.2618791428036844e-11,3.5891772025853297e-13,3.059398726377802e-12
DDO161,7.5,11.94,66.6,0.96,30.3,14.47,0.0,1.2039087927209253e-11,3.470728051087352e-13,2.776051675049069e-12
DDO161,7.5,12.41,66.8,0.99,29.42,14.16,0.0,1.1652808200266096e-11,3.4539760833124055e-13,2.5220867343505574e-12
DDO161,7.5,12.9,66.3,0.74,28.69,13.86,0.0,1.1042993112261785e-11,2.4651025348638677e-13,2.3091579940182098e-12
DDO161,7.5,13.37,66.1,1.31,27.81,13.59,0.0,1.0590609782522973e-11,4.19779086690018e-13,2.0984837308604776e-12
DDO168,4.25,0.41,15.0,4.1,10.41,8.28,0.0,1.778476439329225e-11,9.722337868333097e-12,1.1275327208174567e-11
DDO168,4.25,0.82,23.4,1.3,18.08,12.66,0.0,2.1640501313758008e-11,2.404500145973112e-12,1.6086287776373918e-11
DDO168,4.25,1.24,29.2,1.5,20.09,15.11,0.0,2.228401655928906e-11,2.2894537560913417e-12,1.3531930114006174e-11
DDO168,4.25,1.64,36.2,1.1,20.2,15.99,0.0,2.589540739060655e-11,1.5737540403131053e-12,1.058944492479519e-11
DDO168,4.25,2.06,44.0,1.1,22.0,16.89,0.0,3.0457032545457724e-11,1.5228516272728862e-12,9.858199674073901e-12
DDO168,4.25,2.47,52.1,1.2,22.63,17.03,0.0,3.561458992332258e-11,1.6405953131664913e-12,8.621881402459346e-12
DDO168,4.25,2.89,52.9,1.7,22.95,16.99,0.0,3.138072377638064e-11,2.0169085224894928e-12,7.5248041196645e-12
DDO168,4.25,3.3,54.8,2.2,22.74,17.19,0.0,2.9491484355675776e-11,2.3679294008206828e-12,6.529243699969914e-12
DDO168,4.25,3.71,55.0,2.5,22.74,17.16,0.0,2.6424143802073327e-11,2.402194891097575e-12,5.803182235744434e-12
DDO168,4.25,4.12,52.0,2.7,22.74,16.37,0.0,2.126958057926593e-11,2.208764137077616e-12,5.1215014424248374e-12
DDO170,15.4,1.87,27.7,3.0,8.68,18.19,0.0,1.3297420005335651e-11,2.880307582383174e-12,4.172814415310667e-12
DDO170,15.4,3.36,42.4,1.5,15.07,19.75,0.0,1.7339712426760424e-11,1.2268664452896527e-12,4.0715776554933934e-12
DDO170,15.4,4.86,52.5,1.0,20.59,19.94,0.0,1.837941958133957e-11,7.001683650034122e-13,4.1526645646575096e-12
DDO170,15.4,6.35,55.6,1.0,24.61,19.17,0.0,1.5777032227112966e-11,5.675191448601787e-13,4.028755890391864e-12
DDO170,15.4,7.85,58.6,1.1,26.94,18.71,0.0,1.4176696113096016e-11,5.322309120957548e-13,3.718827880944682e-12
DDO170,15.4,9.34,59.0,1.2,27.6,17.41,0.0,1.2078321955627233e-11,4.91321571076362e-13,3.1690034882211516e-12
DDO170,15.4,10.83,60.0,1.3,26.77,16.05,0.0,1.0772673538319219e-11,4.668158533271661e-13,2.5298850266934445e-12
DDO170,15.4,12.33,62.2,1.0,24.9,15.01,0.0,1.016874010233085e-11,3.269691351231785e-13,1.9257011486157932e-12
ESO079-G014,28.7,0.41,33.2,11.6,2.21,28.95,0.0,8.71247942438331e-11,6.08823863390641e-11,3.3509290301057276e-11
ESO079-G014,28.7,0.98,50.4,11.8,4.41,47.6,0.0,8.400099918239795e-11,3.933380120445618e-11,3.81065412359671e-11
ESO079-G014,28.7,1.78,53.9,9.75,6.75,62.09,0.0,5.289406966003744e-11,1.9136073439160113e-11,3.592433974313821e-11
ESO079-G014,28.7,2.69,67.6,5.1,8.55,75.48,0.0,5.505421399900105e-11,8.306996786831519e-12,3.5199413426628355e-11
ESO079-G014,28.7,3.36,81.7,5.06,9.18,82.21,0.0,6.438049187892649e-11,7.97467047508857e-12,3.3406208030509807e-11
ESO079-G014,28.7,4.39,102.0,5.35,9.29,86.87,0.0,7.680425450428059e-11,8.056916894076493e-12,2.849156248655517e-11
ESO079-G014,28.7,5.65,116.0,6.44,9.5,92.23,0.0,7.718217012170508e-11,8.569882337651393e-12,2.4913484764916385e-11
ESO079-G014,28.7,6.34,132.0,9.1,10.22,96.19,0.0,8.906520242788426e-11,1.2280202152935556e-11,2.418166480694145e-11
ESO079-G014,28.7,6.89,137.0,5.25,11.87,100.53,0.0,8.828183814743293e-11,6.766126281372597e-12,2.4430665707518865e-11
ESO079-G014,28.7,8.34,154.0,4.2,17.23,113.81,0.0,9.215626094539877e-11,5.026705142476296e-12,2.6319600222282476e-11
ESO079-G014,28.7,10.04,163.0,3.28,24.23,128.72,0.0,8.576122006100333e-11,3.4514945006146126e-12,2.8636068406110648e-11
ESO079-G014,28.7,11.65,170.0,2.41,30.75,133.41,0.0,8.039358065660271e-11,2.2793944633225005e-12,2.7385771566110398e-11
ESO079-G014,28.7,13.36,175.0,2.18,36.2,132.99,0.0,7.428807315810905e-11,1.850834279824888e-12,2.462994697839384e-11
ESO079-G014,28.7,15.06,177.0,2.23,39.42,128.51,0.0,6.741724725033368e-11,1.6987622753473908e-12,2.111315297259196e-11
ESO079-G014,28.7,16.67,178.0,2.03,40.49,124.23,0.0,6.159619136578e-11,1.404946836770038e-12,1.818877471119378e-11
ESO116-G012,13.0,0.25,20.9,3.4,-0.22,17.33,0.0,5.662419205688773e-11,1.8423182104633327e-11,1.9472267731536525e-11
ESO116-G012,13.0,0.83,40.0,3.29,-1.8,34.96,0.0,6.24728537724215e-11,1.0276784445563337e-11,2.3987264353020284e-11
ESO116-G012,13.0,1.38,51.5,2.96,-1.55,51.34,0.0,6.22851947132523e-11,7.159773838882595e-12,3.100581063831292e-11
ESO116-G012,13.0,1.85,67.9,3.45,5.01,61.73,0.0,8.076389861539025e-11,8.207229756203133e-12,3.381615761975597e-11
ESO116-G012,13.0,2.68,80.2,2.93,12.54,60.49,0.0,7.777918664506616e-11,5.6831176276818916e-12,2.4024956776773166e-11
ESO116-G012,13.0,3.19,83.3,3.08,16.68,63.17,0.0,7.049345142235928e-11,5.212961113586232e-12,2.3096361965932696e-11
ESO116-G012,13.0,3.68,91.4,2.83,20.19,65.14,0.0,7.356886019795285e-11,4.555795937860099e-12,2.2273716659326286e-11
ESO116-G012,13.0,4.13,102.0,5.4,22.31,66.32,0.0,8.163938917040963e-11,8.644170618043372e-12,2.1162424511843393e-11
ESO116-G012,13.0,5.23,105.0,4.21,25.63,64.52,0.0,6.831661886448207e-11,5.478342198466086e-12,1.6968002183011294e-11
ESO116-G012,13.0,6.05,109.0,2.1,27.28,60.09,0.0,6.364247725270827e-11,2.4522789400126123e-12,1.3657353415333244e-11
ESO116-G012,13.0,6.81,108.0,2.1,28.58,55.74,0.0,5.550726818220129e-11,2.1586159848633833e-12,1.1279864009005791e-11
ESO116-G012,13.0,7.56,109.0,2.1,30.7,53.61,0.0,5.0930818436360455e-11,1.962471903052421e-12,1.0200335880883027e-11
ESO116-G012,13.0,8.32,110.0,2.1,33.83,51.18,0.0,4.7131525723890406e-11,1.79956734582127e-12,9.559383929035046e-12
ESO116-G012,13.0,9.09,111.0,2.33,35.49,49.08,0.0,4.392699848761719e-11,1.8441424590296947e-12,8.784555811431236e-12
ESO116-G012,13.0,9.86,112.0,4.74,33.74,46.34,0.0,4.122954909410762e-11,3.4897868340369668e-12,7.27066992981973e-12
ESO444-G084,4.83,0.26,18.3,1.8,4.59,8.31,0.0,4.1742483701616284e-11,8.211636138022875e-12,6.929801980493937e-12
ESO444-G084,4.83,0.77,35.3,3.0,11.55,14.79,0.0,5.244548915303544e-11,8.914247448108008e-12,1.0217905631742541e-11
ESO444-G084,4.83,1.29,47.8,4.63,16.45,14.54,0.0,5.7400481796078004e-11,1.1119842289365739e-11,9.453737558806332e-12
ESO444-G084,4.83,1.81,52.8,1.26,19.03,13.66,0.0,4.9915879194942424e-11,2.3823487797586157e-12,8.154565229676605e-12
ESO444-G084,4.83,2.32,58.0,3.11,20.09,12.28,0.0,4.69912996969433e-11,5.039411795085988e-12,6.691193695399414e-12
ESO444-G084,4.83,3.39,63.1,1.35,17.39,9.97,0.0,3.806347854467428e-11,1.6287066889163319e-12,3.3661329191547007e-12
ESO444-G084,4.83,4.44,62.7,7.36,14.45,8.53,0.0,2.869469192072013e-11,6.736616667830945e-12,1.7896032128037686e-12
ESO563-G021,60.8,0.45,18.9,9.78,0.0,65.19,0.0,2.5725305999609373e-11,2.662365001864335e-11,1.5302729709426744e-10
ESO563-G021,60.8,1.34,58.3,10.5,0.0,120.17,0.0,8.22018829783549e-11,2.9609597642289074e-11,1.7462514634899127e-10
ESO563-G021,60.8,2.23,74.1,5.69,0.0,137.48,0.0,7.979597905952473e-11,1.2254767094431734e-11,1.3733892477864867e-10
ESO563-G021,60.8,3.12,119.0,4.27,0.0,146.18,0.0,1.4709190871096685e-10,1.0556007566316444e-11,1.1097899310015749e-10
ESO563-G021,60.8,4.01,141.0,3.76,0.0,157.86,0.0,1.6067314975921056e-10,8.569234653824563e-12,1.0069763793665612e-10
ESO563-G021,60.8,4.9,195.0,4.54,0.0,175.79,0.0,2.514910866961673e-10,1.1710456754877943e-11,1.0219077937053021e-10
ESO563-G021,60.8,5.79,227.0,4.2,0.0,199.19,0.0,2.8841816235885787e-10,1.067274257186963e-11,1.1103910653133546e-10
ESO563-G021,60.8,6.69,246.0,4.24,0.0,217.87,0.0,2.931524655904562e-10,1.0105418326044994e-11,1.1497097335620203e-10
ESO563-G021,60.8,7.58,268.0,5.56,0.0,228.65,0.0,3.0707880169531935e-10,1.2741478637507282e-11,1.1176161397962861e-10
ESO563-G021,60.8,8.47,283.0,2.96,0.0,241.76,0.0,3.064353866733291e-10,6.4102384774067425e-12,1.1181625504937724e-10
ESO563-G021,60.8,10.23,291.0,9.81,0.0,260.94,0.0,2.682623959036542e-10,1.8086969785669058e-11,1.0785123970464305e-10
ESO563-G021,60.8,12.06,310.0,4.74,0.04,275.04,0.0,2.5824120208590673e-10,7.89718256701418e-12,1.0163982025884682e-10
ESO563-G021,60.8,13.44,310.0,20.4,0.4,277.98,0.0,2.317253643717288e-10,3.0498047956021084e-11,9.316420665379618e-11
ESO563-G021,60.8,15.18,310.0,16.1,3.11,282.25,0.0,2.0516395896943576e-10,2.1310578963922043e-11,8.505914852602828e-11
ESO563-G021,60.8,16.83,314.0,13.5,15.18,283.33,0.0,1.8985613477246386e-10,1.6325209040944345e-11,7.773321428637279e-11
ESO563-G021,60.8,18.56,317.0,12.7,22.91,276.47,0.0,1.7546480065569763e-10,1.4059324721308265e-11,6.764899519290207e-11
ESO563-G021,60.8,20.3,319.0,10.4,33.06,272.19,0.0,1.624556360951468e-10,1.0592718591783867e-11,6.08830065240725e-11
ESO563-G021,60.8,21.94,318.0,10.8,33.62,273.0,0.0,1.4937126930983226e-10,1.0145973009724455e-11,5.671334864256491e-11
ESO563-G021,60.8,23.68,317.0,9.3,39.67,271.34,0.0,1.3752646537879003e-10,8.069376202036261e-12,5.2534574252343093e-11
ESO563-G021,60.8,25.41,317.0,7.23,44.98,261.62,0.0,1.281631916635084e-10,5.846182181243947e-12,4.62276091008393e-11
ESO563-G021,60.8,27.06,312.0,8.39,46.29,252.97,0.0,1.165818252593024e-10,6.270009704650944e-12,4.08866039283115e-11
ESO563-G021,60.8,28.8,312.0,8.37,43.21,243.84,0.0,1.0953833998321954e-10,5.8771532414073566e-12,3.5554135987920674e-11
ESO563-G021,60.8,30.53,311.0,11.5,45.08,233.85,0.0,1.0266996844230215e-10,7.592955865507876e-12,3.118187779400971e-11
ESO563-G021,60.8,32.18,310.0,14.5,52.43,224.75,0.0,9.678026405084011e-11,9.05363760475601e-12,2.8203426747033623e-11
ESO563-G021,60.8,33.91,313.0,15.9,59.7,216.21,0.0,9.362899032957094e-11,9.512466110160881e-12,2.5744146720621192e-11
ESO563-G021,60.8,35.65,320.0,8.83,61.56,208.83,0.0,9.308718071223085e-11,5.13724878555624e-12,2.3266902692196055e-11
ESO563-G021,60.8,37.3,321.0,7.88,63.33,202.65,0.0,8.952631066049246e-11,4.395435065449723e-12,2.132502292817622e-11
ESO563-G021,60.8,39.03,320.0,8.0,62.96,196.77,0.0,8.502582609251935e-11,4.251291304625968e-12,1.9365942195353174e-11
ESO563-G021,60.8,40.76,315.0,9.82,62.4,191.39,0.0,7.889262144139282e-11,4.918892333679222e-12,1.765797436352123e-11
ESO563-G021,60.8,42.41,312.0,9.07,62.21,186.89,0.0,7.438585690914226e-11,4.324870013884104e-12,1.630248777710653e-11
F561-1,66.4,1.61,23.4,10.0,5.21,28.61,0.0,1.1021870234336377e-11,9.42040190968921e-12,8.784527800144775e-12
F561-1,66.4,3.23,40.6,5.0,10.57,37.58,0.0,1.653860975092419e-11,4.073549199735022e-12,8.205824731541399e-12
F561-1,66.4,4.84,45.5,5.0,15.71,39.1,0.0,1.3862031661099582e-11,3.046600365076831e-12,6.7708791499538764e-12
F561-1,66.4,6.45,49.2,5.0,20.94,44.01,0.0,1.2162418572404045e-11,2.472036295204074e-12,7.069037250774377e-12
F561-1,66.4,8.06,50.4,5.0,25.97,48.52,0.0,1.0213520992400741e-11,2.0264922603969727e-12,7.444689635903959e-12
F561-1,66.4,9.66,50.4,5.0,29.26,49.44,0.0,8.521840496765009e-12,1.6908413684057558e-12,6.972387015197824e-12
F563-1,48.9,1.07,22.1,7.17,1.98,18.3,0.0,1.4792794511752546e-11,9.598582502195995e-12,5.190256441564013e-12
F563-1,48.9,1.78,42.7,10.66,4.03,24.51,0.0,3.3195957700286613e-11,1.657465616323444e-11,5.7644169077039644e-12
F563-1,48.9,2.49,60.6,7.69,6.25,27.45,0.0,4.7796418599935376e-11,1.2130510199125513e-11,5.4118899167317145e-12
F563-1,48.9,2.97,76.8,11.1,7.78,28.28,0.0,6.435991257970482e-11,1.8604037230070923e-11,5.023836413410052e-12
F563-1,48.9,3.04,81.6,17.5,8.01,28.2,0.0,7.0983300478693e-11,3.044626858767469e-11,4.922787448544566e-12
F563-1,48.9,3.19,87.0,8.93,8.49,28.16,0.0,7.689485404954357e-11,1.578554130258446e-11,4.760317711331929e-12
F563-1,48.9,6.95,90.0,24.8,17.83,29.57,0.0,3.777023344532282e-11,2.0815595320977907e-11,3.521031390664001e-12
F563-1,48.9,8.58,97.8,9.4,22.83,29.09,0.0,3.612766361171217e-11,6.9447860521491704e-12,3.5668324695885867e-12
F563-1,48.9,9.26,93.7,25.3,24.91,28.73,0.0,3.07268223755311e-11,1.659313993812032e-11,3.6160046600351833e-12
F563-1,48.9,9.89,103.0,23.8,26.69,28.7,0.0,3.476382960739663e-11,1.6065614459340578e-11,3.683809547068325e-12
F563-1,48.9,10.08,97.4,11.0,27.31,28.73,0.0,3.050049140072344e-11,6.88922803712439e-12,3.7247824424405386e-12
F563-1,48.9,11.84,106.5,9.48,30.86,27.77,0.0,3.1045379134882055e-11,5.5269520037311144e-12,3.662097156797387e-12
F563-1,48.9,14.56,112.0,11.0,30.44,25.73,0.0,2.7920560032136066e-11,5.484395720598156e-12,2.799200964448552e-12
F563-1,48.9,15.43,111.5,9.4,30.7,25.11,0.0,2.611158672792917e-11,4.402671125426622e-12,2.6416573883476715e-12
F563-1,48.9,17.93,111.0,24.3,33.36,23.48,0.0,2.2269738775930856e-11,9.750534274867024e-12,2.5097419020109694e-12
F563-1,48.9,19.02,112.5,7.75,34.35,22.95,0.0,2.1564728118838195e-11,2.9711403185954846e-12,2.459164920083441e-12
F563-1,48.9,20.1,106.0,10.7,35.34,22.07,0.0,1.811611746079447e-11,3.657404845858506e-12,2.406331909852996e-12
F563-V1,54.0,1.31,12.0,5.0,4.66,11.06,0.0,3.562383341068615e-12,2.9686527842238456e-12,2.0502852021602785e-12
F563-V1,54.0,2.63,21.7,5.0,9.66,16.85,0.0,5.80247361067094e-12,2.6739509726594194e-12,2.899164801390527e-12
F563-V1,54.0,3.93,28.6,5.0,13.79,23.41,0.0,6.745108976065936e-12,2.3584297119111665e-12,3.827732659370484e-12
