cluster_id,label,lens_gas_offset_kpc_obs,lens_gas_offset_kpc_sigma,lens_map_ref,xray_map_ref,source_mode,note
bullet_main,Bullet main halo,190,25,,,primary_map_registered,fill lens_map_ref/xray_map_ref and set source_mode=primary_map_registered after map registration
bullet_sub,Bullet sub-halo,140,20,,,primary_map_registered,fill lens_map_ref/xray_map_ref and set source_mode=primary_map_registered after map registration
