case_id,label,cluster_family,source_mode,offset_obs_kpc,offset_sigma_kpc,readiness_state,priority_class,required_action,next_action
el_gordo_main_template,El Gordo main-like transfer,el_gordo,template_pending_primary,,,missing_observed_offset,low_blocked_missing_primary_data,register_offset_obs_and_sigma_from_primary_dataset,register_nonbullet_primary_offsets_then_rerun_step_8_7_25
el_gordo_sub_template,El Gordo sub-like transfer,el_gordo,template_pending_primary,,,missing_observed_offset,low_blocked_missing_primary_data,register_offset_obs_and_sigma_from_primary_dataset,register_nonbullet_primary_offsets_then_rerun_step_8_7_25
