window_days,outlier_trim_quantile,n_points,best_candidate,best_delta_beta,best_delta_beta_sigma_proxy,best_corr_obs_fit,best_zscore_min_vs_tdf,gate_pass,is_best_scenario
10.0,0.0,421841,invert_sign_offset_removed,395.78465923206045,11.985186004845104,0.06927530305470707,33.01398367452138,no,no
10.0,0.005,419731,invert_sign_offset_removed,434.07444699109385,10.975314735476967,0.07478659447475453,39.54040944547443,no,no
10.0,0.01,417622,invert_sign_offset_removed,500.5217999379541,10.943467945622334,0.08468606057919462,45.72734498282642,no,no
8.0,0.0,321658,invert_sign_offset_removed,122.42797861743053,11.147493788271218,0.043899928731051835,10.973070093325655,no,no
8.0,0.005,320049,invert_sign_offset_removed,152.0295927663032,11.152210735011092,0.05063967684451574,13.622753806606637,no,no
8.0,0.01,318441,invert_sign_offset_removed,166.85764714131216,11.140327203777028,0.0546874118988133,14.968309315705707,no,no
6.0,0.0,250314,invert_sign_offset_removed,8.12182021972987,11.228626704214765,0.03461131181451551,0.7139042179206082,no,no
6.0,0.005,249062,invert_sign_offset_removed,23.371673471717884,11.217390293743879,0.039266632453158055,2.0741014203134704,no,no
6.0,0.01,247810,invert_sign_offset_removed,28.267148788098577,11.19448887724545,0.04161744307390161,2.5156554087914316,no,no
4.0,0.0,118671,same_sign_offset_removed,23.004171823797563,11.593407986165994,-0.011239906172716573,1.975131468387075,no,no
4.0,0.005,118077,invert_sign,63.343223680662405,32.74603237471309,0.005629315846810678,1.931152060235587,no,no
4.0,0.01,117484,same_sign,0.5675651496484327,32.644235206589656,5.0725175229831194e-05,0.014149977124321188,no,yes
