station_rx,downlink_band_id,uplink_band_id,arc_id,n_points,best_candidate,best_delta_beta,best_delta_beta_sigma_proxy,best_corr_obs_fit,best_zscore_min_vs_tdf,group_gate_pass
25,3,3,sce1_162,726,same_sign_offset_removed,5.4945077870156425,2.1848013317552253,-0.9965702190591278,2.466469332814023,no
25,3,3,sce1_163,27025,same_sign_offset_removed,2008.133141430138,96.89651740783823,-0.9900101969292148,20.723422512318987,no
25,3,3,sce1_164,35291,same_sign_offset_removed,22.53512389384973,96.43603559546249,-0.9944077073705889,0.23258394634520646,no
25,3,3,sce1_166,36562,invert_sign_offset_removed,27.363353312306337,71.48364141989317,0.9932704887040423,0.3813138546776331,yes
25,3,3,sce1_167,36594,invert_sign_offset_removed,105.04392746785733,59.08830130309348,0.9931854594098287,1.7759568685606297,yes
25,3,3,sce1_172,17678,same_sign_offset_removed,112.32304779777442,12.527803872048604,0.984893148490376,8.957461965602935,no
25,3,3,sce1_173,33587,invert_sign_offset_removed,84.0419661881905,18.983084023798035,0.9933983754463873,4.421636282652395,no
25,3,3,sce1_174,36205,invert_sign_offset_removed,301.84089163469383,30.575774464652042,0.9934650349286119,9.868440452080623,no
25,3,3,sce1_175,31201,same_sign_offset_removed,311.3112173643029,41.18386355578856,-0.9929676290606824,7.556492332311163,no
25,3,3,sce1_176,36226,invert_sign_offset_removed,393.43169669742326,54.98879086230249,0.9940319480272818,7.152840199895648,no
25,3,3,sce1_177,22261,same_sign_offset_removed,1209.2585689752507,51.31624611521961,-0.9857275648324446,23.562769393279186,no
25,3,3,sce1_178,36053,invert_sign_offset_removed,494.0816375894551,80.04280715152679,0.9941512960689489,6.171397500516104,no
25,3,3,sce1_180,36506,same_sign_offset_removed,1888.8017607605939,177.95681351755798,-0.41574972801527216,10.61322726321059,no
25,3,3,sce1_181,35926,invert_sign_offset_removed,451.3173486039283,117.57847418745828,0.9943898324637666,3.8375365775750963,no
