window,n,rmse,mae,corr,max_obs,min_obs,max_model,min_model
all (available points),421841,1.142022544210415e-06,9.460462556540608e-07,-0.0692753030547073,1.562499928124994e-05,-1.424912499996875e-08,1.584835347685242e-06,1.584317842282648e-06
-10 to +10 days,421841,1.142022544210415e-06,9.460462556540608e-07,-0.0692753030547073,1.562499928124994e-05,-1.424912499996875e-08,1.584835347685242e-06,1.584317842282648e-06
-3 to +3 days,87470,9.946557905480099e-07,8.734476981330338e-07,-0.0842161145460783,3.141764937505125e-06,-5.498687500031250e-09,1.584835347685242e-06,1.584591045987759e-06
