route_id,route_label,channel,n_rows,n_q_rows,n_logft_proxy_rows,max_abs_z_qbeta,p95_abs_z_qbeta,median_abs_z_qbeta,frac_abs_z_qbeta_le3,n_qbeta_gt3,max_abs_z_logft_proxy,p95_abs_z_logft_proxy,median_abs_z_logft_proxy,frac_abs_z_logft_proxy_le3,n_logft_proxy_gt3,hard_pass_qbeta,hard_pass_logft_proxy,watch_pass_qbeta,watch_pass_logft_proxy,hard_pass,watch_pass
A_transfer_surrogate,A: EW transfer surrogate,all,6265,6265,2927,3.503595603372804,0.2834675029919142,0.0007653606750282731,0.9993615323224262,4,2.739654034997918,0.05141686806855228,4.102366759767273e-06,1.0,0,True,True,False,True,True,False
A_transfer_surrogate,A: EW transfer surrogate,beta_minus,3145,3145,1459,3.503595603372804,0.2834675029919142,0.0007751360524890077,0.9993640699523052,2,2.688029669380466,0.029566915319598763,4.403208569980777e-06,1.0,0,True,True,False,True,True,False
A_transfer_surrogate,A: EW transfer surrogate,beta_plus,3120,3120,1468,3.5035922700365485,0.28346700547904197,0.00075807237539101,0.9993589743589744,2,2.739654034997918,0.08023531582358162,3.900895218927891e-06,1.0,0,True,True,False,True,True,False
B_pmodel_proxy,B: P-model proxy,all,6265,6265,1075,266904208.7793963,9882.906139481549,179.12590149467962,0.016280925778132484,6163,22.970779368185596,8.654075813037176,2.9818905655828365,0.5041860465116279,533,False,False,False,False,False,False
B_pmodel_proxy,B: P-model proxy,beta_minus,3145,3145,870,266904208.7793963,9782.514790143245,178.04913321238752,0.014308426073131956,3100,22.970779368185596,8.566717312357778,2.9077310997159485,0.5137931034482759,423,False,False,False,False,False,False
B_pmodel_proxy,B: P-model proxy,beta_plus,3120,3120,205,266904207.1127247,9882.906139481549,181.09235826381627,0.01826923076923077,3063,13.580170157437287,9.294090088020559,3.375924009529654,0.4634146341463415,110,False,False,False,False,False,False
