window_ns,offset_ns,pairs_total,N00,N01,N10,N11,E00,E01,E10,E11,S_canonical,S_fixed,S_fixed_abs,S_best,S_best_abs,S_best_swap_a,S_best_swap_b,S_best_sign00,S_best_sign01,S_best_sign10,S_best_sign11
0.25,-4.408291266875854,4357,1413,675,1241,1028,-0.9023354564755839,0.35703703703703704,-0.8082191780821918,-0.8326848249027238,-0.520832772618015,2.9002764964975367,2.9002764964975367,2.9002764964975367,2.9002764964975367,False,False,-1,1,-1,-1
0.5,-4.408291266875854,7998,2565,1367,2189,1877,-0.8869395711500975,0.42209217264081933,-0.7816354499771585,-0.7932871603622802,-0.45319568812415634,2.8839543541303554,2.8839543541303554,2.8839543541303554,2.8839543541303554,False,False,-1,1,-1,-1
0.75,-4.408291266875854,10931,3390,2137,2882,2522,-0.8696165191740413,0.48713149274684137,-0.7376821651630812,-0.7494052339413164,-0.3707619576489647,2.84383541102528,2.84383541102528,2.84383541102528,2.84383541102528,False,False,-1,1,-1,-1
1.0,-4.408291266875854,13197,3930,2933,3333,3001,-0.8427480916030534,0.5519945448346403,-0.6831683168316832,-0.7047650783072309,-0.26915678529286546,2.782676031576608,2.782676031576608,2.782676031576608,2.782676031576608,False,False,-1,1,-1,-1
1.5,-4.408291266875854,15862,4489,3987,3858,3528,-0.8017375807529517,0.6217707549535992,-0.6127527216174183,-0.6377551020408163,-0.15496444537595444,2.6740161593647853,2.6740161593647853,2.6740161593647858,2.6740161593647858,False,True,1,-1,-1,-1
2.0,-4.408291266875854,16849,4644,4389,4067,3749,-0.7898363479758829,0.6400091136933242,-0.5903614457831325,-0.6158975726860496,-0.12429110737964155,2.6361044801383895,2.6361044801383895,2.6361044801383895,2.6361044801383895,False,False,-1,1,-1,-1
3.0,-4.408291266875854,17647,4748,4619,4249,4031,-0.7889637742207245,0.6423468283178178,-0.5886090844904683,-0.6134954105680972,-0.12173061982527789,2.6334150975971076,2.6334150975971076,2.633415097597108,2.633415097597108,False,True,1,-1,-1,-1
4.0,-4.408291266875854,18110,4780,4741,4388,4201,-0.7891213389121339,0.6418477114532799,-0.5920692798541477,-0.6081885265412997,-0.13115438077170194,2.631226856760861,2.631226856760861,2.631226856760861,2.631226856760861,False,False,-1,1,-1,-1
6.0,-4.408291266875854,18598,4797,4847,4518,4436,-0.7882009589326663,0.6377140499277903,-0.5896414342629482,-0.6082055906221822,-0.13192275264564202,2.623762033745587,2.623762033745587,2.623762033745587,2.623762033745587,False,False,-1,1,-1,-1
8.0,-4.408291266875854,18885,4805,4899,4589,4592,-0.7864724245577523,0.6350275566442131,-0.5881455654826759,-0.610191637630662,-0.12939879576555324,2.6198371843153034,2.6198371843153034,2.6198371843153034,2.6198371843153034,False,False,-1,1,-1,-1
10.0,-4.408291266875854,19145,4818,4962,4651,4714,-0.7841427978414279,0.6316001612253124,-0.585895506342722,-0.6139159949087823,-0.12452214805005524,2.615554460318245,2.615554460318245,2.615554460318245,2.615554460318245,False,False,-1,1,-1,-1
