dataset,Ue1_low_3sigma,Ue1_high_3sigma,Ue2_low_3sigma,Ue2_high_3sigma,Ue3_low_3sigma,Ue3_high_3sigma,first_row_sum_center_proxy,first_row_sigma_uncorrelated_proxy,delta_pmns_center_proxy,abs_z_center_proxy,first_row_sum_low_3sigma_corner,first_row_sum_high_3sigma_corner,hard_z_threshold,watch_z_threshold,hard_pass,watch_pass,status
without_sk_atm,0.803,0.845,0.514,0.578,0.142,0.155,0.9991442500000002,0.016406379620440316,-0.0008557499999998219,0.05215958790406529,0.929169,1.072134,3.0,2.0,False,False,reference_only
with_sk_atm,0.803,0.845,0.514,0.578,0.143,0.155,0.9992930000000002,0.016404585212677562,-0.0007069999999997911,0.04309770657617221,0.929454,1.072134,3.0,2.0,True,True,pass
