window_ns,offset_ns,pairs_total,N00,N01,N10,N11,E00,E01,E10,E11,S_canonical,S_fixed,S_fixed_abs,S_best,S_best_abs,S_best_swap_a,S_best_swap_b,S_best_sign00,S_best_sign01,S_best_sign10,S_best_sign11
0.25,-14.572132813049413,6931,2313,1509,1539,1570,-0.9472546476437527,-0.02584493041749503,-0.49057829759584143,-0.9337579617834395,-0.5299199138736497,2.3457459766055386,2.3457459766055386,2.3457459766055386,2.3457459766055386,False,False,-1,1,-1,-1
0.5,-14.572132813049413,13014,4294,2880,2963,2877,-0.936655798789008,0.022916666666666665,-0.4343570705366183,-0.9277024678484532,-0.42039373481050635,2.321632003840746,2.321632003840746,2.321632003840746,2.321632003840746,False,False,-1,1,-1,-1
0.75,-14.572132813049413,18025,5792,4149,4214,3870,-0.9236878453038674,0.1111111111111111,-0.3787375415282392,-0.9266149870801034,-0.2646992886408922,2.340151485023321,2.340151485023321,2.340151485023321,2.340151485023321,False,False,-1,1,-1,-1
1.0,-14.572132813049413,21713,6761,5262,5124,4566,-0.9133264310013312,0.1740782972253896,-0.3251366120218579,-0.9145860709592641,-0.14979867483853537,2.327127411207843,2.327127411207843,2.327127411207843,2.327127411207843,False,False,-1,1,-1,-1
1.5,-14.572132813049413,25460,7559,6522,6101,5278,-0.8939013096970498,0.25084329960134927,-0.2529093591214555,-0.8969306555513452,0.000963286334189073,2.2945846239711996,2.2945846239711996,2.2945846239712,2.2945846239712,False,True,1,-1,-1,-1
2.0,-14.572132813049413,26957,7777,7023,6491,5666,-0.8886460074578887,0.27552328064929515,-0.23432444923740564,-0.892340275326509,0.044893099280509774,2.2908340126710987,2.2908340126710987,2.2908340126710987,2.2908340126710987,False,False,-1,1,-1,-1
3.0,-14.572132813049413,28250,7926,7348,6839,6137,-0.8861973252586425,0.2773543821448013,-0.23117414826729055,-0.889196675900277,0.04917958451914528,2.2839225315710117,2.2839225315710117,2.2839225315710117,2.2839225315710117,False,False,-1,1,-1,-1
4.0,-14.572132813049413,29000,7996,7525,7028,6451,-0.8849424712356178,0.2778737541528239,-0.23477518497438815,-0.8862191908231282,0.04437528876594621,2.283810601185958,2.283810601185958,2.283810601185958,2.283810601185958,False,False,-1,1,-1,-1
6.0,-14.572132813049413,29708,8046,7688,7208,6766,-0.8799403430275914,0.2744536940686785,-0.23390677025527193,-0.8832397280520248,0.04384630883783991,2.2715405354035667,2.2715405354035667,2.2715405354035667,2.2715405354035667,False,False,-1,1,-1,-1
8.0,-14.572132813049413,30239,8079,7802,7335,7023,-0.8762223047406857,0.27428864393745195,-0.2359918200408998,-0.880677773031468,0.04275229218733445,2.2671805417505055,2.2671805417505055,2.2671805417505055,2.2671805417505055,False,False,-1,1,-1,-1
10.0,-14.572132813049413,30656,8101,7888,7441,7226,-0.8740896185656092,0.2733265720081136,-0.23316758500201587,-0.8765568779407694,0.042626246381258004,2.257140653516508,2.257140653516508,2.257140653516508,2.257140653516508,False,False,-1,1,-1,-1
