key,label,A,Z,N,in_domain,magic_any,A_bin,radii_used,R_sharp_fm,rho_fm3,B_over_A_obs_MeV,sigma_B_over_A_obs_MeV,sigma_set_MeV,B_over_A_pred_mean_MeV,B_over_A_residual_mean_MeV,C3_inf_eq19,C_surf_eq19_MeV_fm,x_eq19_fm5,C3_eff_eq19,E3_vol_eq19_MeV,E3_surf_equiv_eq19_MeV,B_over_A_pred_eq19_MeV,residual_eq19_MeV,sigma_total_eq19_MeV,sigma_final_eq19_MeV,z_final_eq19,pass_3sigma_eq19
Z18_N15,Ar-33,33,18,15,1,0,16<=A<40,published,4.31682723768,0.0979335112747,7.9289559,1.21e-05,0,14.6170724312,6.68811653119,1551.70342727,195.655721197,4.02551481872,2339.31843231,14.8823451017,7.55399395685,14.6170724312,6.68811653119,0.327169987016,0.327169987016,20.4423290541,0
Z16_N18,S-34,34,16,18,1,0,16<=A<40,published,4.24052946576,0.106446172937,8.5834986,1.3e-06,0,16.3586046567,7.77510605671,1551.70342727,195.655721197,3.4687145387,2230.37727196,17.5820221589,7.68990927418,16.3586046567,7.77510605671,0.377988378504,0.377988378504,20.5696960512,0
Z18_N16,Ar-34,34,18,16,1,0,16<=A<40,published,4.34471271778,0.0989708071491,8.1976724,2.3e-06,0,14.9870261212,6.78935372125,1551.70342727,195.655721197,3.91627752379,2317.94553059,15.1992774809,7.50551048699,14.9870261212,6.78935372125,0.329717827469,0.329717827469,20.5914062135,0
Z17_N18,Cl-35,35,17,18,1,0,16<=A<40,published,4.34471271778,0.101881713242,8.520279,1e-06,0,15.7606294068,7.24035040685,1551.70342727,195.655721197,3.69568719796,2274.7857713,16.1065007908,7.50551048699,15.7606294068,7.24035040685,0.416312545524,0.416312545524,17.3916219549,0
Z18_N17,Ar-35,35,18,17,1,0,16<=A<40,published,4.34238892777,0.102045364008,8.3274621,1.94e-05,0,15.5892309065,7.2617688065,1551.70342727,195.655721197,3.68581448625,2272.85411877,16.1582855138,7.50952699278,15.5892309065,7.2617688065,0.350313559304,0.350313559304,20.7293397975,0
Z16_N20,S-36,36,16,20,1,1,16<=A<40,published,4.25834518916,0.11129901012,8.57539,5.2e-06,0,17.0267684218,8.45137842182,1551.70342727,195.655721197,3.15955036615,2169.88753281,19.2216791169,7.65773684793,17.0267684218,8.45137842182,0.413210571002,0.413210571002,20.4529579225,0
Z18_N18,Ar-36,36,18,18,1,0,16<=A<40,published,4.37711667844,0.102482455089,8.5199096,8e-07,0,15.7951133629,7.27520376293,1551.70342727,195.655721197,3.62544719772,2261.0429134,16.2970035881,7.44994690839,15.7951133629,7.27520376293,0.350675702852,0.350675702852,20.7462441901,0
Z17_N20,Cl-37,37,17,20,1,1,16<=A<40,published,4.36872521452,0.10593730665,8.5702816,1.4e-06,0,16.4383260815,7.86804448155,1551.70342727,195.655721197,3.39935222095,2216.80613766,17.4143221327,7.4642567946,16.4383260815,7.86804448155,0.423216165326,0.423216165326,18.5910773883,0
Z18_N19,Ar-37,37,18,19,1,0,16<=A<40,published,4.37750397677,0.105301235522,8.5271406,5.6e-06,0,16.2758279273,7.74868732728,1551.70342727,195.655721197,3.43364400807,2223.515522,17.2058310117,7.4492877766,16.2758279273,7.74868732728,0.369986655805,0.369986655805,20.9431535049,0
Z19_N18,K-37,37,19,18,1,0,16<=A<40,preliminary,4.41442641801,0.10268104225,8.339848,2.5e-06,0,15.7468214925,7.40697349249,1551.70342727,195.655721197,3.58091432889,2252.32980283,16.360224387,7.38698163213,15.7468214925,7.40697349249,0.493057739546,0.493057739546,15.0225275833,0
Z18_N20,Ar-38,38,18,20,1,1,16<=A<40,published,4.39299591016,0.107007099037,8.6142807,5.1e-06,0,16.5764206591,7.96213995905,1551.70342727,195.655721197,3.31331532851,2199.97252742,17.7678099553,7.42301780678,16.5764206591,7.96213995905,0.381766896828,0.381766896828,20.8560250383,0
Z19_N19,K-38,38,19,19,1,0,16<=A<40,published,4.42346337915,0.104811196478,8.4380593,5.1e-06,0,16.163726726,7.72566742601,1551.70342727,195.655721197,3.42981705812,2222.76675735,17.0460625136,7.37189032014,16.163726726,7.72566742601,0.370468239207,0.370468239207,20.8537915222,0
Z18_N21,Ar-39,39,18,21,1,0,16<=A<40,published,4.40138737407,0.1091961227,8.5625988,0.0001282,0,16.902705388,8.34010658804,1551.70342727,195.655721197,3.17573840142,2173.05481453,18.5021907942,7.40886545417,16.902705388,8.34010658804,0.398420273712,0.398420273712,20.9329372482,0
Z19_N20,K-39,39,19,20,1,1,16<=A<40,published,4.43443683196,0.106772787103,8.5570258,3e-07,0,16.5216517211,7.96462592112,1551.70342727,195.655721197,3.29677355757,2196.7360353,17.690083302,7.35364784795,16.5216517211,7.96462592112,0.380093857139,0.380093857139,20.954366327,0
