Z,N_parent,A_parent,symbol,N_chain_min,N_chain_max,n_chain_isotopes,distance_proton_edge,distance_neutron_edge,edge_class,S_n_obs_MeV,S_n_pred_before_MeV,S_n_pred_after_MeV,resid_before_MeV,resid_after_MeV,abs_resid_before_MeV,abs_resid_after_MeV
8,4,12,O,3,20,18,1,16,proton_rich_edge,23.796896799999992,2.6881241167718883,5.612748350275041,-21.108772683228104,-18.18414844972495,21.108772683228104,18.18414844972495
8,5,13,O,3,20,18,2,15,proton_rich_edge,16.969220800000002,2.4083642610425073,1.3168548343620614,-14.560856538957495,-15.65236596563794,14.560856538957495,15.65236596563794
8,6,14,O,3,20,18,3,14,interior,23.178969400000014,2.1651430723287746,2.398582148788421,-21.01382632767124,-20.780387251211593,21.01382632767124,20.780387251211593
8,7,15,O,3,20,18,4,13,interior,13.223476299999987,1.9519601063037726,-5.333738275867248,-11.271516193696215,-18.557214575867235,11.271516193696215,18.557214575867235
8,8,16,O,3,20,18,5,12,interior,15.663942700000007,-17.515304198909405,-14.124415122211111,-33.17924689890941,-29.78835782221112,33.17924689890941,29.78835782221112
8,9,17,O,3,20,18,6,11,interior,4.143079499999985,4.356865678274218,1.7347498098255159,0.2137861782742334,-2.408329690174469,0.2137861782742334,2.408329690174469
8,10,18,O,3,20,18,7,10,interior,8.045371100000011,-0.7617032510681696,-0.420174514689414,-8.80707435106818,-8.465545614689425,8.80707435106818,8.465545614689425
8,11,19,O,3,20,18,8,9,interior,3.955643000000009,20.04159651386783,21.080573269433117,16.08595351386782,17.124930269433108,16.08595351386782,17.124930269433108
8,12,20,O,3,20,18,9,8,interior,7.608005200000008,1.1929166815177865,-0.29876413508543465,-6.4150885184822215,-7.906769335085443,6.4150885184822215,7.906769335085443
8,13,21,O,3,20,18,10,7,interior,3.8054546999999843,1.083794510523859,0.3269440965510171,-2.7216601894761254,-3.4785106034489672,2.7216601894761254,3.4785106034489672
8,14,22,O,3,20,18,11,6,interior,6.8503197,0.9847474155738922,0.4177723816481773,-5.865572284426108,-6.432547318351823,5.865572284426108,6.432547318351823
8,15,23,O,3,20,18,12,5,interior,2.7329804000000024,0.8945619397826761,-1.17328811781438,-1.8384184602173264,-3.9062685178143823,1.8384184602173264,3.9062685178143823
8,16,24,O,3,20,18,13,4,interior,4.192283199999991,0.8122097139747098,2.5057804724098105,-3.3800734860252817,-1.686502727590181,3.3800734860252817,1.686502727590181
8,17,25,O,3,20,18,14,3,interior,-0.7573069999999689,0.7368132923519539,-1.7341579646847833,1.4941202923519228,-0.9768509646848145,1.4941202923519228,0.9768509646848145
8,18,26,O,3,20,18,15,2,neutron_rich_edge,0.7393089999999916,0.6676193450455941,0.7973311506044922,-0.0716896549543975,0.058022150604500666,0.0716896549543975,0.058022150604500666
