q_b,eta_baryon,eta10,tnuc_mev,li7h_pred,li7h_obs,li7h_sigma,z,z_abs,status,be7_prod,destruction_scale,lambda_be7,lambda_li7,survival_factor
0.35,5.575e-10,5.575,0.086,3.9481422114452094e-10,1.6e-10,3e-11,7.8271407048173645,7.8271407048173645,reject,6.164584206662833e-10,0.4491108732187838,0.35928869857502704,0.2020998929484527,0.6404555569502905
0.35,5.575e-10,5.575,0.088,3.853178927591254e-10,1.6e-10,3e-11,7.51059642530418,7.51059642530418,reject,6.084130492327952e-10,0.4631918956603113,0.3705535165282491,0.2084363530471401,0.6333162861069609
0.35,5.575e-10,5.575,0.09,3.761753200463264e-10,1.6e-10,3e-11,7.205844001544213,7.205844001544213,reject,6.006499846926743e-10,0.47738307684555953,0.38190646147644763,0.2148223845805018,0.626280412275043
0.35,5.6625e-10,5.6625,0.05,6.815672432569043e-10,1.6e-10,3e-11,17.385574775230143,17.385574775230143,reject,8.669981281992743e-10,0.2176523438025325,0.17412187504202603,0.09794355471113964,0.7861230850319093
0.35,5.6625e-10,5.6625,0.052000000000000005,6.588415827502647e-10,1.6e-10,3e-11,16.628052758342157,16.628052758342157,reject,8.477832330830922e-10,0.22942286009830842,0.18353828807864675,0.1032402870442388,0.7771344808911677
0.35,5.6625e-10,5.6625,0.054,6.374003267176115e-10,1.6e-10,3e-11,15.913344223920383,15.913344223920383,reject,8.296957605559574e-10,0.2413496520512942,0.19307972164103537,0.10860734342308238,0.7682337996888235
0.35,5.6625e-10,5.6625,0.056,6.171323857670033e-10,1.6e-10,3e-11,15.237746192233445,15.237746192233445,reject,8.126313552131196e-10,0.2534288900792529,0.20274311206340234,0.11404300053566381,0.7594247770628478
0.35,5.6625e-10,5.6625,0.058,5.979399615625011e-10,1.6e-10,3e-11,14.597998718750038,14.597998718750038,reject,7.964986116955333e-10,0.2656569728026481,0.21252557824211848,0.11954563776119165,0.7507106136564962
0.35,5.6625e-10,5.6625,0.06,5.797365342271191e-10,1.6e-10,3e-11,13.991217807570639,13.991217807570639,reject,7.812170866687069e-10,0.2780305059920963,0.22242440479367703,0.12511372769644333,0.7420940275375336
0.35,5.6625e-10,5.6625,0.062,5.62445212539592e-10,1.6e-10,3e-11,13.414840417986403,13.414840417986403,reject,7.667156706809648e-10,0.2905462840997955,0.2324370272798364,0.13074582784490799,0.7335773012700415
0.35,5.6625e-10,5.6625,0.064,5.459973719991431e-10,1.6e-10,3e-11,12.866579066638105,12.866579066638105,reject,7.529312454767723e-10,0.3032012739840863,0.24256101918726905,0.13644057329283885,0.7251623242881968
0.35,5.6625e-10,5.6625,0.066,5.303315231289607e-10,1.6e-10,3e-11,12.344384104298692,12.344384104298692,reject,7.398075695336589e-10,0.31599260050586847,0.2527940804046948,0.14219667022764082,0.7168506311218978
0.35,5.6625e-10,5.6625,0.068,5.153923652985692e-10,1.6e-10,3e-11,11.846412176618974,11.846412176618974,reject,7.272943474208301e-10,0.3289175337310322,0.2631340269848258,0.1480128901789645,0.7086434359434816
0.35,5.6625e-10,5.6625,0.07,5.011299910746203e-10,1.6e-10,3e-11,11.370999702487344,11.370999702487344,reject,7.15346448244795e-10,0.3419734775175761,0.2735787820140609,0.15388806488290926,0.7005416638388496
0.35,5.6625e-10,5.6625,0.072,4.874992135092342e-10,1.6e-10,3e-11,10.916640450307806,10.916640450307806,reject,7.039232457983669e-10,0.3551579593020751,0.2841263674416601,0.1598210816859338,0.6925459791519292
0.35,5.6625e-10,5.6625,0.074,4.744589944509228e-10,1.6e-10,3e-11,10.481966481697427,10.481966481697427,reject,6.929880586670593e-10,0.36846862092945865,0.29477489674356694,0.1658108794182564,0.6846568112061407
0.35,5.6625e-10,5.6625,0.076,4.619719563518714e-10,1.6e-10,3e-11,10.065731878395713,10.065731878395713,reject,6.825076729053719e-10,0.38190321039405156,0.30552256831524127,0.1718564446773232,0.6768743776686049
0.35,5.6625e-10,5.6625,0.078,4.500039634644713e-10,1.6e-10,3e-11,9.666798782149044,9.666798782149044,reject,6.724519332904619e-10,0.395459574379599,0.31636765950367923,0.17795680847081954,0.6691987057907596
0.35,5.6625e-10,5.6625,0.08,4.38523761002726e-10,1.6e-10,3e-11,9.284125366757534,9.284125366757534,reject,6.627933918241253e-10,0.4091356515023689,0.32730852120189513,0.18411104317606602,0.6616296517317872
0.35,5.6625e-10,5.6625,0.08199999999999999,4.275026629632325e-10,1.6e-10,3e-11,8.91675543210775,8.91675543210775,reject,6.535070042575533e-10,0.42292946617506016,0.33834357294004813,0.1903182597787771,0.6541669181479035
0.35,5.6625e-10,5.6625,0.08399999999999999,4.169142809849689e-10,1.6e-10,3e-11,8.563809366165628,8.563809366165628,reject,6.445698670852949e-10,0.43683912302065514,0.34947129841652413,0.1965776053592948,0.6468100702104327
0.35,5.6625e-10,5.6625,0.086,4.067342879742687e-10,1.6e-10,3e-11,8.224476265808958,8.224476265808958,reject,6.359609887917881e-10,0.4508628017749435,0.3606902414199548,0.20288826079872457,0.639558550198167
0.35,5.6625e-10,5.6625,0.088,3.969402113048798e-10,1.6e-10,3e-11,7.898007043495994,7.898007043495994,reject,6.27661090208996e-10,0.4649987526245464,0.3719990020996371,0.20924943868104587,0.6324116907943238
0.35,5.6625e-10,5.6625,0.09,3.8751125127920625e-10,1.6e-10,3e-11,7.583708375973542,7.583708375973542,reject,6.196524297130397e-10,0.47924529193413895,0.38339623354731117,0.21566038137036253,0.6253687272051242
0.35,5.75e-10,5.75,0.05,7.022170124220194e-10,1.6e-10,3e-11,18.073900414067314,18.073900414067314,reject,8.939997949747157e-10,0.21848833526971106,0.17479066821576886,0.09831975087136999,0.7854778226675987
0.35,5.75e-10,5.75,0.052000000000000005,6.787794062309267e-10,1.6e-10,3e-11,17.292646874364223,17.292646874364223,reject,8.741864738894606e-10,0.2303040615136807,0.1842432492109446,0.10363682768115633,0.776469811081471
0.35,5.75e-10,5.75,0.054,6.566668659178644e-10,1.6e-10,3e-11,16.555562197262148,16.555562197262148,reject,8.555356876825118e-10,0.24227666366162837,0.1938213309293027,0.10902449864773277,0.7675505246270364
0.35,5.75e-10,5.75,0.056,6.357647990470976e-10,1.6e-10,3e-11,15.858826634903256,15.858826634903256,reject,8.379398309191903e-10,0.2544022974220886,0.20352183793767087,0.11448103383993986,0.7587236882506065
0.35,5.75e-10,5.75,0.058,6.159723206917704e-10,1.6e-10,3e-11,15.199077356392348,15.199077356392348,reject,8.213046515249081e-10,0.2666773475828112,0.21334187806624896,0.12000480641226505,0.7499924900560356
0.35,5.75e-10,5.75,0.06,5.972001780118848e-10,1.6e-10,3e-11,14.573339267062828,14.573339267062828,reject,8.055472008493701e-10,0.2790984068773521,0.2232787255018817,0.12559428309480844,0.7413596340254129
0.35,5.75e-10,5.75,0.062,5.793690489350953e-10,1.6e-10,3e-11,13.978968297836511,13.978968297836511,reject,7.905941548182202e-10,0.29166225744556484,0.2333298059564519,0.1312480158505042,0.7328273873569284
0.35,5.75e-10,5.75,0.064,5.624081376796907e-10,1.6e-10,3e-11,13.413604589323024,13.413604589323024,reject,7.763804294299227e-10,0.304365854495649,0.2434926835965192,0.13696463452304206,0.7243976230733344
0.35,5.75e-10,5.75,0.066,5.462540076946338e-10,1.6e-10,3e-11,12.875133589821129,12.875133589821129,reject,7.628480315840057e-10,0.3172063118452425,0.253765049476194,0.14274284033035914,0.7160718584543921
0.35,5.75e-10,5.75,0.068,5.30849605903284e-10,1.6e-10,3e-11,12.361653530109468,12.361653530109468,reject,7.49945099455909e-10,0.3301808890746991,0.2641447112597593,0.14858140008361462,0.7078512897656369
0.35,5.75e-10,5.75,0.07,5.161434421699394e-10,1.6e-10,3e-11,11.871448072331317,11.871448072331317,reject,7.376250966019943e-10,0.34328698007036945,0.27462958405629556,0.15447914103166627,0.6997368236894991
0.35,5.75e-10,5.75,0.072,5.020888955385121e-10,1.6e-10,3e-11,11.40296318461707,11.40296318461707,reject,7.258461315582378e-10,0.3565221027718392,0.2852176822174714,0.16043494624732765,0.6917291058101165
0.35,5.75e-10,5.75,0.074,4.886436246454186e-10,1.6e-10,3e-11,10.95478748818062,10.95478748818062,reject,7.145703805093819e-10,0.36988388996648564,0.29590711197318853,0.16644775048491853,0.6838285464576472
0.35,5.75e-10,5.75,0.076,4.757690642342565e-10,1.6e-10,3e-11,10.52563547447522,10.52563547447522,reject,7.037635950995166e-10,0.3833700809987954,0.3066960647990363,0.1725165364494579,0.6760353441797168
0.35,5.75e-10,5.75,0.078,4.634299932254978e-10,1.6e-10,3e-11,10.114333107516595,10.114333107516595,reject,6.933946809558145e-10,0.39697851428173647,0.3175828114253892,0.17864033142678143,0.6683495070753639
0.35,5.75e-10,5.75,0.08,4.515941625607424e-10,1.6e-10,3e-11,9.719805418691411,9.719805418691411,reject,6.834353352435075e-10,0.4107071205139079,0.3285656964111263,0.18481820423125855,0.6607708721994009
0.35,5.75e-10,5.75,0.08199999999999999,4.4023197322618707e-10,1.6e-10,3e-11,9.341065774206236,9.341065774206236,reject,6.738597337392526e-10,0.4245539165198794,0.33964313321590356,0.19104926243394574,0.6532991232215889
0.35,5.75e-10,5.75,0.08399999999999999,4.293161965969794e-10,1.6e-10,3e-11,8.977206553232646,8.977206553232646,reject,6.646442596340726e-10,0.43851699964258745,0.35081359971407,0.19733264983916435,0.6459338065047673
0.35,5.75e-10,5.75,0.086,4.1882173063324513e-10,1.6e-10,3e-11,8.62739102110817,8.62739102110817,reject,6.557672676556212e-10,0.4525945426262804,0.36207563410102434,0.2036675441818262,0.6386743457485149
0.35,5.75e-10,5.75,0.088,4.087253865758621e-10,1.6e-10,3e-11,8.290846219195405,8.290846219195405,reject,6.472088782081856e-10,0.4667847889366362,0.373427831149309,0.2100531550214863,0.6315200553296315
0.35,5.75e-10,5.75,0.09,3.990057016935479e-10,1.6e-10,3e-11,7.966856723118265,7.966856723118265,reject,6.389507971252683e-10,0.48108604847157344,0.38486883877725875,0.21648872181220805,0.6244701524573285
0.35,5.8375e-10,5.8374999999999995,0.05,7.231645976498114e-10,1.6e-10,3e-11,18.772153254993714,18.772153254993714,reject,9.214155070238221e-10,0.21931483926984227,0.17545187141587382,0.09869167767142903,0.7848409237062197
0.35,5.8375e-10,5.8374999999999995,0.052000000000000005,6.990040328032326e-10,1.6e-10,3e-11,17.966801093441088,17.966801093441088,reject,9.00994583667668e-10,0.23117526238512562,0.1849402099081005,0.10402886807330652,0.7758138011860239
0.35,5.8375e-10,5.8374999999999995,0.054,6.762098403754636e-10,1.6e-10,3e-11,17.20699467918212,17.20699467918212,reject,8.817718458931536e-10,0.24319315483909829,0.19455452387127864,0.10943691967759422,0.7668761976523817
0.35,5.8375e-10,5.8374999999999995,0.056,6.546638696061465e-10,1.6e-10,3e-11,16.48879565353822,16.48879565353822,reject,8.63636388399505e-10,0.2553646577979977,0.2042917262383982,0.11491409600909898,0.7580318272825126
0.35,5.8375e-10,5.8374999999999995,0.058,6.342621001807338e-10,1.6e-10,3e-11,15.808736672691127,15.808736672691127,reject,8.464910687448755e-10,0.26768614237384425,0.21414891389907542,0.12045876406822992,0.749283865594918
0.35,5.8375e-10,5.8374999999999995,0.06,6.149125030142574e-10,1.6e-10,3e-11,15.163750100475248,15.163750100475248,reject,8.302503945464945e-10,0.28015418841108763,0.22412335072887013,0.12606938478498944,0.7406350024683089
0.35,5.8375e-10,5.8374999999999995,0.062,5.965332866207115e-10,1.6e-10,3e-11,14.551109554023718,14.551109554023718,reject,8.148387931481607e-10,0.2927655658769668,0.23421245270157343,0.13174450464463505,0.7320874897425813
0.35,5.8375e-10,5.8374999999999995,0.064,5.790514494367565e-10,1.6e-10,3e-11,13.968381647891885,13.968381647891885,reject,8.001891846594632e-10,0.30551721846175484,0.24441377476940387,0.13748274830778967,0.7236431840592593
0.35,5.8375e-10,5.8374999999999995,0.066,5.62401576851215e-10,1.6e-10,3e-11,13.413385895040502,13.413385895040502,reject,7.862417975431201e-10,0.31840624906515547,0.2547249992521244,0.14328281207931998,0.7153035854982908
0.35,5.8375e-10,5.8374999999999995,0.068,5.465248354120219e-10,1.6e-10,3e-11,12.884161180400731,12.884161180400731,reject,7.729431795616244e-10,0.33142990690098373,0.26514392552078697,0.1491434581054427,0.7070698724865961
0.35,5.8375e-10,5.8374999999999995,0.07,5.313681270226426e-10,1.6e-10,3e-11,12.378937567421422,12.378937567421422,reject,7.602453671683947e-10,0.34458557599710793,0.27566846079768637,0.15506350919869857,0.6989429333871158
0.35,5.8375e-10,5.8374999999999995,0.072,5.168833738042469e-10,1.6e-10,3e-11,11.896112460141563,11.896112460141563,reject,7.481051842410422e-10,0.35787076490390385,0.2862966119231231,0.16104184420675674,0.6909233951220757
0.35,5.8375e-10,5.8374999999999995,0.074,5.030269103322887e-10,1.6e-10,3e-11,11.434230344409626,11.434230344409626,reject,7.364836470458912e-10,0.3712830974539884,0.29702647796319076,0.1670773938542948,0.6830116491384154
0.35,5.8375e-10,5.8374999999999995,0.076,4.897589646204666e-10,1.6e-10,3e-11,10.991965487348887,10.991965487348887,reject,7.253454569549076e-10,0.3848203044401749,0.3078562435521399,0.1731691369980787,0.6752078749848892
0.35,5.8375e-10,5.8374999999999995,0.078,4.770432128588748e-10,1.6e-10,3e-11,10.56810709529583,10.56810709529583,reject,7.146585660442941e-10,0.39848021609851747,0.318784172878814,0.17931609724433287,0.6675120617378956
0.35,5.8375e-10,5.8374999999999995,0.08,4.6484639576434846e-10,1.6e-10,3e-11,10.161546525478283,10.161546525478283,reject,7.043938035345996e-10,0.412260755299802,0.3298086042398416,0.1855173398849109,0.659924027485451
0.35,5.8375e-10,5.8374999999999995,0.08199999999999999,4.5313798665314694e-10,1.6e-10,3e-11,9.771266221771564,9.771266221771564,reject,6.945245532677686e-10,0.4261599313665845,0.3409279450932676,0.19177196911496303,0.6524434370550511
