A_band,n,rms_radius_resid_a13_fm,rms_radius_resid_a13_i_fm,median_abs_radius_resid_a13_fm,median_abs_radius_resid_a13_i_fm,median_neutron_skin_proxy_fm
A_2_16,24,0.4535730240496408,0.6061054100685618,0.3282859372290825,0.5839083918128958,0.17634380208270167
A_17_40,63,0.26133784378533087,0.23461665209983296,0.21609582734990518,0.17007253131113442,0.08729018203093734
A_41_100,217,0.08887658558097711,0.0937784188621146,0.04992905904752121,0.06144170352740863,0.20783376674032697
A_101_plus,651,0.06543969493789394,0.0611173323785681,0.04756356127678618,0.044053137526223196,0.29645722199186264
