dataset,eq_label,lambda_pi_pm_fm,R1_fm,R2_fm,Rb_fm,R3_fm,L3_total_fm,Lb_fm,Lt_fm,tail_factor,barrier_len_fraction,k_t,q_t,k_s,q_s,V1_t_MeV,V2_t_MeV,V3_mean_t_MeV,V3_barrier_t_MeV,V3_tail_t_MeV,V1_s_MeV,V2_s_MeV,Vb_s_MeV,Vt_s_MeV,v2s_pred_fm3,v2s_obs_fm3,v2s_within_envelope,v2t_fit_fm3,v2t_obs_fm3,v2t_within_envelope,r_s_fit_fm,r_s_obs_fm,r_s_within_envelope
eq18 (GWU/SAID),18,1.41381693065,1.06036269799,2.89832470784,3.60523317317,4.3121416385,1.41381693065,0.706908465327,0.706908465327,0.632120558829,0.5,3.5,1.3,0.5,1,107.578080799,2,1.26424111766,4.4248439118,1.64351345295,86.9552123552,0.19713117824,0.0623053352758,0.124610670552,-0.0610679743978,-0.005,1,0.0471652579509,0.163,1,1.16924441335,2.626,0
eq19 (Nijmegen),19,1.41381693065,1.06036269799,2.89832470784,3.60523317317,4.3121416385,1.41381693065,0.706908465327,0.706908465327,0.632120558829,0.5,3.5,1.3,0.5,1,103.481882813,4.6112,2.91483432087,10.201920123,3.78928461713,86.9552123552,0.197731556925,0.0624950911306,0.124990182261,-0.0613496218507,-0.48,1,0.0412387393476,0.04,1,1.16948597784,2.678,0
