T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,Cv_einstein1_J_per_molK,Cv_einstein2_J_per_molK,alpha_debye_1e-8_per_K,alpha_einstein1_1e-8_per_K,alpha_einstein2_1e-8_per_K,residual_1e-8_per_K,z
40.0,-16.602307452314196,-16.116854310679667,0.03,0.5163254620620373,0.01350207286730548,1.2606087076879569e-05,-16.63084225333088,0.5138413559686462,0.00014658668256729013,0.48545314163452996,16.181771387817665
41.0,-17.92497397171395,-17.24143071293221,0.03,0.5559295083054664,0.017469496367777,1.9803185646459604e-05,-17.9064885153565,0.6648275261085349,0.00023027631575723271,0.6835432587817387,22.78477529272462
42.0,-19.25393178381967,-18.395696268230758,0.03,0.597477702701718,0.02230121904366619,3.0411977155022693e-05,-19.2447557860722,0.8487058798874699,0.00035363795397251005,0.8582355155889115,28.607850519630386
43.0,-20.57982681768017,-19.57628457849288,0.03,0.6410070992422561,0.02811666368768094,4.573068414156499e-05,-20.646837574479907,1.0700212283386652,0.00053176764835611,1.0035422391872877,33.45140797290959
44.0,-21.892734715054942,-20.7795677096998,0.03,0.686552560192158,0.035040156309021034,6.743086803402394e-05,-22.11385679407836,1.3335049816520388,0.0007841027265208324,1.1131670053551426,37.10556684517142
45.0,-23.183094549565123,-22.001693053411888,0.03,0.7341465317105685,0.04319974598628195,9.76282449164665e-05,-23.646858535598334,1.6440302369307296,0.0011352452557161128,1.1814014961532346,39.38004987177449
46.0,-24.44350210782511,-23.23862233598921,0.03,0.783818826971343,0.052725973128660536,0.00013895842675847543,-25.246803081318916,2.006564902549224,0.0016158427804813167,1.2048797718359017,40.16265906119672
47.0,-25.671034412641923,-24.48617178540755,0.03,0.8355964204436911,0.06375061561997035,0.0001946564095938593,-26.914559278847385,2.4261239808090864,0.0022635126307477956,1.1848626272343732,39.495420907812445
48.0,-26.869114083595484,-25.740052542273617,0.03,0.8895032566576118,0.07640544007739292,0.000268638444443443,-28.650898381454226,2.9077220452435344,0.0031237939370754504,1.1290615413218668,37.63538471072889
49.0,-28.047550735151784,-26.995910498676118,0.03,0.9455600763710013,0.09082098260423821,0.00036558478831603443,-30.45648844891593,3.45632684036016,0.004251109879654885,1.0516402364756674,35.05467454918892
50.0,-29.219839113498725,-28.249364858096918,0.5,1.003784262596567,0.10712538017468162,0.0004910217456907916,-32.331889388042185,4.0768148082584155,0.005709721686852691,0.9704742554018082,1.9409485108036164
51.0,-30.398143944106238,-29.496044825091808,0.5,1.0641897084589143,0.12544327035143277,0.0006514013768360774,-34.277548696352866,4.773929215757902,0.007574655503157291,0.9020991190144291,1.8041982380288581
52.0,-31.587983876191615,-30.731623949319285,0.5,1.1267867083540068,0.14589477356564873,0.000854177266841986,-36.293797956324426,5.552241423555003,0.009932583450133967,0.8563599268723264,1.7127198537446529
53.0,-32.785282943173925,-31.951851760460258,0.5,1.1915818733921801,0.16859456881073787,0.001107874814768121,-38.380850111809494,6.4161157103833,0.012882640965931618,0.8334311827136663,1.6668623654273327
54.0,-33.97744650673043,-33.15258243538694,0.5,1.2585780716347905,0.1936510704157094,0.00142215461049525,-40.53879754305948,7.369677943905636,0.016537163766909217,0.8248640713434915,1.649728142686983
55.0,-35.147901529178526,-34.329800334422984,0.5,1.3277743931954757,0.2211657106389992,0.0018078676111175664,-42.76761094263621,8.41678827876092,0.021022329452302542,0.8181011947555402,1.6362023895110804
56.0,-36.28160563772687,-35.47964232829185,0.5,1.3991661398770863,0.2512323302053036,0.0022771010016530845,-45.0671389816175,9.561017962541795,0.0264786907838498,0.8019633094350186,1.6039266188700372
