T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cp_proxy_J_per_molK,Cp_proxy_kind,B_GPa,gamma_model_dimensionless,residual_1e-8_per_K,z
25.0,-1.9989624023433001,-1.507457334083651,0.03,0.14889900583331672,debye_scaled,98.0,-0.11964224425970393,0.4915050682596493,16.383502275321643
26.0,-2.522504697236022,-1.6840410163468142,0.03,0.167491074808784,debye_scaled,98.0,-0.11882075714013281,0.8384636808892078,27.948789362973592
27.0,-3.116569133524793,-1.8727430784113166,0.03,0.1875696754721924,debye_scaled,98.0,-0.11799045981289613,1.2438260551134763,41.46086850378255
28.0,-3.7823555521281924,-2.0737707776176815,0.03,0.2091919087893128,debye_scaled,98.0,-0.1171513203467812,1.7085847745105112,56.952825817017036
29.0,-4.520162148372184,-2.287307527542059,0.03,0.23241481597643437,debye_scaled,98.0,-0.11630330846893765,2.2328546208301248,74.42848736100416
30.0,-5.329362933914205,-2.513512124549752,0.03,0.25729534337668003,debye_scaled,98.0,-0.11544639561288371,2.815850809364453,93.86169364548176
31.0,-6.208404819558522,-2.7525178548429543,0.03,0.2838902932272138,debye_scaled,98.0,-0.11458055496660571,3.455886964715567,115.19623215718558
32.0,-7.154824948830198,-3.0044314623543684,0.03,0.3122562574119678,debye_scaled,98.0,-0.11370576152071007,4.15039348647583,138.34644954919432
33.0,-8.165288610226703,-3.2693319622864063,0.03,0.342449531545287,debye_scaled,98.0,-0.11282199211658489,4.895956647940297,163.19855493134324
34.0,-9.235647568070469,-3.5472692915772104,0.03,0.3745260072068314,debye_scaled,98.0,-0.1119292254945272,5.688378276493258,189.61260921644194
35.0,-10.361017643945683,-3.838262795660169,0.03,0.4085410408205829,debye_scaled,98.0,-0.1110274423417906,6.522754848285514,217.42516160951712
36.0,-11.53587213840112,-4.142299559977235,0.03,0.44454929849507185,debye_scaled,98.0,-0.11011662534050622,7.393572578423886,246.45241928079622
37.0,-12.754143016313503,-4.45933260412886,0.03,0.4826045770597844,debye_scaled,98.0,-0.10919675921542919,8.294810412184644,276.49368040615485
