T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_basis_low_J_per_molK,contrib_basis_low_1e-8_per_K,Cv_basis_mid_J_per_molK,contrib_basis_mid_1e-8_per_K,Cv_basis_high_J_per_molK,contrib_basis_high_1e-8_per_K
23.0,-1.1544019759301651,-2.753381795817734,0.03,-1.5989798198875687,-53.29932732958562,0.10769738070461683,-3.48508527462681,0.024859811143526298,0.6718971902791059,0.0013051595777167743,0.059806288529969914
24.0,-1.5438820451316155,-3.306170719975014,0.03,-1.7622886748433984,-58.742955828113274,0.1307341602994472,-4.230555042001802,0.03134285492034864,0.847117302489721,0.0016862071375637541,0.07726701953706734
25.0,-1.9989624023433001,-3.921830908896304,0.03,-1.9228685065530038,-64.09561688510013,0.1566818597536385,-5.070222122915011,0.03886440381215914,1.0504055550744724,0.0021383524106477468,0.09798565894423367
26.0,-2.522504697236022,-4.599591734085274,0.03,-2.0770870368492513,-69.23623456164172,0.18556140352914935,-6.004763632573645,0.04746932506158007,1.2829745949870897,0.0026667259406331304,0.122197303501281
27.0,-3.116569133524793,-5.337902938495046,0.03,-2.2213338049702527,-74.04446016567509,0.21735898839110002,-7.0337328985488385,0.057190797673924154,1.5457211659846823,0.0032758416396402594,0.15010879406911098
28.0,-3.7823555521281924,-6.134530816442358,0.03,-2.352175264314165,-78.40584214380551,0.25202931035101317,-8.155663884600054,0.0680506403166345,1.8392349709119742,0.003969583293398042,0.1818980972457222
29.0,-4.520162148372184,-6.986660323613929,0.03,-2.4664981752417448,-82.2166058413915,0.2894992678474682,-9.36819102553348,0.08005994480267357,2.1638157931390634,0.004751217729623781,0.21771490878048855
30.0,-5.329362933914205,-7.890997647206259,0.03,-2.5616347132920545,-85.38782377640182,0.329671897739161,-10.668176595865642,0.09321993290652957,2.5194966541093153,0.005623430629230979,0.2576822945500696
31.0,-6.208404819558522,-8.84386910546146,0.03,-2.635464285902938,-87.84880953009794,0.37243034908467604,-12.051839301264318,0.1075229626907626,2.9060710117752264,0.006588380941597679,0.3018991840276341
32.0,-7.154824948830198,-9.841313462361214,0.03,-2.6864885135310153,-89.54961711770052,0.41764174620274935,-13.514879287108169,0.12295362086832383,3.323122284361445,0.007647770066084634,0.3504435403855109
33.0,-8.165288610226703,-10.87916578365776,0.03,-2.7138771734310563,-90.46257244770187,0.46516083423338145,-15.05259610877783,0.13948984863980363,3.770054278869613,0.008802922286700463,0.4033760462504585
34.0,-9.235647568070469,-11.953131807445853,0.03,-2.717484239375385,-90.5828079791795,0.5148333359792756,-16.659997358983624,0.15710405904274907,4.246121390176127,0.010054873322842725,0.4607441613616416
