T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv1_J_per_molK,Cv2_J_per_molK,alpha1_1e-8_per_K,alpha2_1e-8_per_K,residual_1e-8_per_K,z
13.0,0.10555386774141656,-0.33944425925767446,0.03,0.017733714014697356,0.022232796002818665,2.8327371566799364,-3.1721814159376107,-0.444998126999091,-14.833270899969701
14.0,0.13309041480754097,-0.4239576911250711,0.03,0.02214898099969471,0.027768225867876726,3.5380203722939023,-3.9619780634189734,-0.557048105932612,-18.568270197753733
15.0,0.14906469638765094,-0.5214494196522789,0.03,0.027242278015291947,0.03415370346352965,4.351610333998016,-4.873059753650295,-0.6705141160399298,-22.35047053466433
16.0,0.11030769097369961,-0.6328464659660151,0.03,0.03306203577792829,0.04144994648434046,5.28124323793643,-5.914089703902445,-0.7431541569397148,-24.771805231323825
17.0,0.04474672330195559,-0.7590758508122916,0.03,0.03965668500380012,0.04971767262193204,6.334655280214508,-7.093731131026799,-0.8038225741142471,-26.794085803808237
18.0,-0.045386038282090646,-0.9010645929598684,0.03,0.04707465640758844,0.05901759955237283,7.519582656695549,-8.420647249655417,-0.8556785546777778,-28.52261848925926
19.0,-0.17180920211933742,-1.059739702879938,0.03,0.055364380696443664,0.06941044488514544,8.843761562039937,-9.903501264919875,-0.8879305007606008,-29.59768335868669
20.0,-0.3406056923499412,-1.2360281619752687,0.03,0.06457428854665759,0.08095692599145358,10.314928185978777,-11.550956347954045,-0.8954224696253275,-29.84741565417758
21.0,-0.5572548031493234,-1.4308568643501565,0.03,0.07475281052729686,0.09371775951061044,11.940818701115314,-13.37167556546547,-0.873602061200833,-29.120068706694433
22.0,-0.8269343037943666,-1.6451524743823478,0.03,0.08594837688405413,0.10775366010981734,13.729169228397875,-15.374321702780223,-0.8182181705879813,-27.27393901959938
23.0,-1.1544019759301651,-1.8798411170444431,0.03,0.09820941699958792,0.12312533770955092,15.687715750915965,-17.56755686796041,-0.725439141114278,-24.181304703809268
24.0,-1.5438820451316155,-2.135847769957987,0.03,0.11158435818508765,0.13989349186976588,17.82419392086803,-19.960041690826017,-0.5919657248263714,-19.73219082754572
25.0,-1.9989624023433001,-2.4140951716635466,0.03,0.12612162321897627,0.15811880138277196,20.146338666400236,-22.560433838063783,-0.41513276932024634,-13.837758977341545
26.0,-2.522504697236022,-2.715502008554334,0.03,0.14186962573290865,0.17786190640044142,22.661883454577907,-25.377385463132242,-0.19299731131831194,-6.433243710610398
27.0,-3.116569133524793,-3.0409801045292264,0.03,0.15887676217053862,0.199183379734849,25.378559006899987,-28.419539111429213,0.07558902899556649,2.5196342998522168
28.0,-3.7823555521281924,-3.3914303234415106,0.03,0.1771913986472079,0.22214368342865082,28.304091200300036,-31.695521523741544,0.39092522868668184,13.030840956222729
29.0,-4.520162148372184,-3.767736912555595,0.03,0.19686185066877573,0.24680310640445785,31.446197827485097,-35.21393474004069,0.7524252358165893,25.080841193886307
30.0,-5.329362933914205,-4.170760068332107,0.03,0.21793635338087552,0.2732216790534426,34.81258384462963,-38.983343912961736,1.1586028655820988,38.62009551940329
31.0,-6.208404819558522,-4.6013265912978545,0.03,0.24046301986736243,0.3014590610514562,38.41093471007845,-43.012261301376306,1.6070782282606668,53.56927427535556
32.0,-7.154824948830198,-5.060218607009487,0.03,0.2644897850370196,0.3315743994863871,42.248907420955774,-47.30912602796526,2.094606341820711,69.8202113940237
33.0,-8.165288610226703,-5.548160454310398,0.03,0.2900643328500023,0.36362615548870886,46.33411888850747,-51.88227934281787,2.6171281559163044,87.23760519721016
34.0,-9.235647568070469,-6.065803967882665,0.03,0.31723400503778504,0.397671898889252,50.674131357263796,-56.73993532514646,3.169843600187803,105.66145333959345
35.0,-10.361017643945683,-6.613712497620397,0.03,0.3460456900400127,0.43376807187564326,55.27643466410221,-61.89014716172261,3.747305146325286,124.91017154417621
36.0,-11.53587213840112,-7.1923441026689705,0.03,0.37654569157983186,0.47196972406854854,60.14842524481394,-67.34076934748292,4.34352803573215,144.78426785773834
37.0,-12.754143016313503,-7.802034426022095,0.03,0.4087795770767217,0.5123302227861662,65.2973819199656,-73.09941634598769,4.9521085902914095,165.07028634304697
38.0,-14.009313478001562,-8.442979792605643,0.03,0.4427920068989229,0.554900943424081,70.73043862012815,-79.1734184127338,5.56633368539592,185.544456179864
39.0,-15.29447420902185,-9.115221079204245,0.03,0.478626546234206,0.5997309457851142,76.45455433460486,-85.56977541380911,6.179253129817606,205.97510432725352
40.0,-16.602307452314196,-9.81862888050093,0.03,0.5163254620620373,0.6468666428135145,82.4764806802954,-92.29510956079632,6.783678571813265,226.1226190604422
41.0,-17.92497397171395,-10.552890446066714,0.03,0.5559295083054664,0.6963514685077987,88.80272758241938,-99.35561802848609,7.372083525647235,245.7361175215745
42.0,-19.25393178381967,-11.3174987937732,0.03,0.597477702701718,0.7482255518161335,95.43952763240775,-106.75702642618094,7.9364329900464705,264.54776633488234
43.0,-20.57982681768017,-12.111744321842465,0.03,0.6410070992422561,0.8025254030836704,102.39279973807287,-114.50454405991533,8.468082495837706,282.2694165279235
44.0,-21.892734715054942,-12.934709150642089,0.03,0.686552560192158,0.8592836191608022,109.66811270657875,-122.60282185722085,8.958025564412853,298.60085214709517
45.0,-23.183094549565123,-13.785264331927449,0.03,0.7341465317105685,0.918528612640014,117.27064940263864,-131.05591373456608,9.397830217637672,313.26100725458906
46.0,-24.44350210782511,-14.662069972370771,0.03,0.783818826971343,0.9802843699148476,125.20517210477287,-139.86724207714366,9.781432135454338,326.04773784847794
47.0,-25.671034412641923,-15.56357823372659,0.03,0.8355964204436911,1.0445702418944398,133.47598964423642,-149.039567877963,10.107456178915335,336.9152059638445
48.0,-26.869114083595484,-16.488039096801266,0.03,0.8895032566576118,1.1114007703050848,142.0869268577087,-158.57496595450996,10.381074986794216,346.03583289314054
49.0,-28.047550735151784,-17.433508712319973,0.03,0.9455600763710013,1.180785551604533,151.04129681968175,-168.47480553200174,10.61404202283181,353.8014007610604
50.0,-29.219839113498725,-18.397860109975174,0.5,1.003784262596567,1.252729139658025,160.34187624720147,-178.73973635717664,10.821979003523554,21.643958007047107
51.0,-30.398143944106238,-19.378795997523603,0.5,1.0641897084589143,1.3272309875027235,169.9908843917038,-189.3696803892274,11.019347946582633,22.038695893165265
52.0,-31.587983876191615,-20.373863354552427,0.5,1.1267867083540068,1.4042854277785224,179.98996565311123,-200.36382900766364,11.214120521639185,22.42824104327837
53.0,-32.785282943173925,-21.38046950955798,0.5,1.1915818733921801,1.4838816907415164,190.3401760729207,-211.72064558247868,11.404813433615947,22.809626867231895
