T_K,k_RRR50_W_mK,k_RRR100_W_mK,k_RRR150_W_mK,k_RRR300_W_mK,k_RRR500_W_mK
4.0,320.38313292525186,642.2969607429585,961.762514716873,1888.3793110693216,3181.6852535067287
4.028935461889828,322.3921667524311,646.2416541298004,967.6882604626005,1902.1216345013609,3202.096533696632
4.05808023901835,324.4196349897569,650.2235661301613,973.6695320025127,1915.9556588575163,3222.679501784077
4.087435845543846,326.46569895560367,654.2430306702228,979.7068089882528,1929.8817161098489,3243.435007319744
4.117003806577808,328.53052080049406,658.300383130749,985.8005723035728,1943.900132210173,3264.363880043437
4.146785658264185,330.61426349349165,662.3959602976211,991.9513039563046,1958.0112268587607,3285.4669289369103
4.1767829478591825,332.71709080797064,666.5301003102642,998.1594869661454,1972.2153132673445,3306.7449412533247
4.206997233811648,334.8391673067698,670.7031426078291,1004.4256052480672,1986.5126979165138,3328.1986815230784
4.23743008584404,336.9806583267026,674.9154278731588,1010.7501434914336,2000.903680307249,3349.8288905355416
4.268083085033977,339.14172996242587,679.1672979744404,1017.1335870344591,2015.388552706571,3371.6362842967196
4.298957823896383,341.3225490496387,683.4590959044841,1023.5764217341607,2029.9675998870819,3393.6215529624183
4.330055906466216,343.5232831476059,687.7911657176053,1030.079133831556,2044.6410988604327,3415.785359747033
4.36137894838181,345.7441005209887,692.1638524640243,1036.642209811996,2059.4093186044233,3438.128339807081
4.39292857696881,347.985170120975,696.577502121744,1043.2661362606343,2074.2725197837617,3460.651099100083
4.424706431324714,350.246661565684,701.0324615258506,1049.9513997127906,2089.2309544642976,3483.354213218253
4.456714162404032,352.5287451198451,705.5290782951571,1056.6984864992116,2104.2848658205908,3506.238226196583
4.488953433104058,354.83159167371866,710.0677007561587,1063.5078825860505,2119.434487836694,3529.3036492957344
4.521425918351255,357.1553727212677,714.6486778642427,1070.3800734094773,2134.6800450001,3552.550959759315
4.554133305188289,359.50026033753886,719.2723591220448,1077.3155437048463,2150.0217519886432,3575.9805995452543
4.5870772928616566,361.8664271552635,723.9390944949714,1084.3147773302255,2165.4598133501854,3599.5929740316597
4.620259592909981,364.2540463406452,728.6492343237603,1091.3782570842404,2180.9944231751183,3623.3884506969384
4.653681929252921,366.66329156832995,733.4031292340487,1098.5064645181542,2196.625764761416,3647.3673577735885
4.68734603828074,369.09433699553387,738.2011300428794,1105.6998797419433,2212.3540102720917,3671.5299828768507
4.7212536689445175,371.547357235329,743.0435876620946,1112.9589812243985,2228.1793203851057,3695.8765716069574
4.755406582847006,374.0225273290515,747.930852998548,1120.284245587025,2244.101843935295,3720.4073261258764
4.789806554334158,376.52002271783834,752.8632768510621,1127.6761473917645,2260.1217175485094,3745.122403708311
4.8244553705873034,379.04001921325215,757.841209804083,1135.1351589222118,2276.239065267605,3770.0219152671134
4.859354831716004,381.5826929670088,762.8650021179753,1142.661749958455,2292.4539981701528,3795.105923853211
4.894506750851573,384.14822043976017,767.9350036158671,1150.2563875452652,2308.766613977947,3820.3744431302675
4.9299129542412645,386.73677836894603,773.0515635670158,1157.9195357535793,2325.1769966578663,3845.82743582418
4.9655752813431695,389.3485437356703,778.2150305665901,1165.6516554351292,2341.6852160142025,3871.4648121478835
5.001495584921764,391.9836937306162,783.4257524118592,1173.4532039701837,2358.2913272721953,3897.2864282014552
5.037675731144175,394.6424057189547,788.6840759746636,1181.324635008212,2374.995370652596,3923.2920843479988
5.074117599677134,397.3248572042459,793.9903470701624,1189.2663982013646,2391.797370937325,3949.481523565531
5.110823083784625,400.03122579132634,799.3449103217401,1197.278938930719,2408.6973370257856,3975.854429775581
5.14779409042625,402.76168914814167,804.7481090220488,1205.3626980251556,2425.695261481944,4002.4104261483794
5.185032540356303,405.5164249665222,810.2002849901103,1213.518111472694,2442.791120071928,4029.1490733857445
5.222540368223552,408.2956109218964,815.7017784243973,1221.7456101243206,2459.984871292021,4056.0698679816664
5.260319522671757,411.09942463189117,821.2529277518577,1230.0456193900284,2477.276455886876,4083.1722404615734
5.298371966440904,413.9280436138466,826.8540694727948,1238.4185589271603,2494.6657963579214,4110.455553600465
5.336699676469174,416.781645241191,832.5055380015775,1246.8648423207658,2512.152796461699,4137.919100621058
5.375304643995658,419.66040669868283,838.2076655030472,1255.384876756026,2529.7373406980487,4165.562103372348
5.414188874663795,422.56450493649044,843.960781724651,1263.979062682559,2547.4192937880443,4193.383710489386
5.453354388625587,425.49411662309706,849.7652138241649,1272.6477934705376,2565.198500141487,4221.382995535222
5.492803220646538,428.44941809701584,855.6212861929832,1281.391455058559,2583.074783313834,4249.558955125838
5.532537420211373,431.4305853172962,861.5293202749061,1290.2104255931208,2601.047945452465,4277.910507038915
5.572559051630517,434.4377938127995,867.489634380374,1299.105075059663,2619.1177667321726,4306.436488307757
5.612870194147333,437.471218630244,873.5025434960519,1308.0757649050752,2637.2840047796576,4335.135653300906
5.653472942046159,440.5310342809692,879.568359089768,1317.1228476516278,2655.546394087013,4364.006671789075
5.694369404761096,443.617414686453,885.6873889107108,1326.2466665021204,2673.9046454140134,4393.048127000354
5.735561706985613,446.7305331224997,891.8599367848129,1335.4475549364229,2692.3584451791407,4422.258513664859
5.777051988782923,449.8705621621464,898.0863024053123,1344.7258362990815,2710.9074548391804,4451.63623605039
5.818842405697168,453.0376736172278,904.3667811183942,1354.0818233781058,2729.5513102572963,4481.179605990194
5.86093512886541,456.23203847859315,910.7016637039227,1363.5158179747323,2748.2896210595413,4510.886840904565
5.903332345130421,459.4538268549632,917.0912361510894,1373.0281104643552,2767.1219699795793,4540.756061817591
