group_type,group,n,rms_resid_before_MeV,rms_resid_after_MeV,median_abs_resid_before_MeV,median_abs_resid_after_MeV,delta_rms_after_minus_before_MeV
all,all,3556,1169.7157938997332,1170.102431264609,1072.0417364628788,1072.682738355928,0.3866373648759236
parity,ee,886,1170.8176024203656,1171.5047845430825,1073.7813626402362,1074.9017369541639,0.6871821227168766
parity,eo,893,1169.4939443663773,1170.1473836328428,1073.1480757151685,1073.891574739491,0.6534392664655115
parity,oe,889,1167.0842978681562,1167.2048169032817,1069.648780615168,1070.1232753467648,0.12051903512542594
parity,oo,888,1171.4692085856377,1171.5535773953545,1069.7880706136953,1070.2241455024578,0.08436880971680694
magic,magic_any,298,881.2319961618621,881.8746710815474,592.0710998594471,591.8447467379896,0.6426749196853052
magic,nonmagic,3258,1192.624405825937,1192.9948614586476,1104.1498003727647,1105.0749341163416,0.37045563271067294
