dataset,eq_label,lambda_pi_pm_fm,R1_t_fm,R2_t_fm,Rb_t_fm,R3_t_fm,R1_s_fm,R2_s_fm,R1_s_over_lambda_pi_pm,R2_s_over_lambda_pi_pm,L3_total_fm,Lb_fm,Lt_fm,tail_factor,barrier_len_fraction,k_t,q_t,k_s,q_s,V1_t_MeV,V2_t_MeV,V3_mean_t_MeV,V3_barrier_t_MeV,V3_tail_t_MeV,V1_s_MeV,V2_s_MeV,Vb_s_MeV,Vt_s_MeV,v2s_pred_fm3,v2s_obs_fm3,v2s_within_envelope,v2t_fit_fm3,v2t_obs_fm3,v2t_within_envelope,r_s_fit_fm,r_s_obs_fm,r_s_within_envelope
eq18 (GWU/SAID),18,1.41381693065,1.06036269799,2.89832470784,3.60523317317,4.3121416385,0.636217618794,2.12072539598,0.45,1.5,1.41381693065,0.706908465327,0.706908465327,0.632120558829,0.5,3.5,1.3,0.5,1,107.578080799,2,1.26424111766,4.4248439118,1.64351345295,161.264671815,9.5716634421,3.02522262197,6.05044524394,-0.102818690317,-0.005,1,0.0471652579509,0.163,1,2.6263383462,2.626,1
eq19 (Nijmegen),19,1.41381693065,1.06036269799,2.89832470784,3.60523317317,4.3121416385,0.636217618794,2.12072539598,0.45,1.5,1.41381693065,0.706908465327,0.706908465327,0.632120558829,0.5,3.5,1.3,0.5,1,103.481882813,4.6112,2.91483432087,10.201920123,3.78928461713,156.921911197,9.8782698286,3.12212872216,6.24425744432,-0.0584052300674,-0.48,1,0.0412387393476,0.04,1,2.67602605322,2.678,1
