trajectory_id,collapse_time_s,collapse_state,final_expect_z,final_p0,final_p1,final_coherence_abs,final_pointer,final_pointer_mean,final_env,pointer_majority_sign,final_pointer_ch0,final_pointer_ch1,final_pointer_ch2
261,0.041600000000000005,1,0.9988046982290022,0.9994023491145012,0.0005976508854988167,0.024439592854994113,1.9303031542270521,1.9255335043639885,-0.15976184589641598,1,1.9303031542270521,1.920427859251998,1.925869499612915
262,0.0344,-1,-0.9797298913160835,0.010135054341958272,0.9898649456580417,0.10016154459393972,-2.290981275566003,-2.067492410136794,0.06023484147057571,-1,-2.290981275566003,-1.9688316428128994,-1.9426643120314806
263,0.0216,1,0.8230024121686432,0.9115012060843215,0.08849879391567853,0.2840189384374725,1.9049131025182335,1.965193809910394,-0.2054394248216602,1,1.9049131025182335,2.119765571055379,1.8709027561575693
264,0.0376,-1,-0.9999329173459947,3.354132700250645e-05,0.9999664586729975,0.005791390332395641,-2.2522506030928486,-2.1640816067351176,0.08549439493253347,-1,-2.2522506030928486,-2.1110338506758133,-2.128960366436691
265,0.13240000000000002,-1,-0.9996138050040211,0.0001930974979894584,0.9998069025020105,0.013894610874207639,-1.9177379510899242,-1.946635670699049,-0.158383004389931,-1,-1.9177379510899242,-1.8547175840131722,-2.067451476994051
266,0.019200000000000002,-1,-0.9999324047336485,3.379763317579165e-05,0.9999662023668242,0.005813474941526006,-2.110874325613175,-2.198013362672907,-0.1407421993341081,-1,-2.110874325613175,-2.242030082687657,-2.241135679717889
267,0.040400000000000005,1,0.9996818273564739,0.9998409136782368,0.00015908632176316677,0.012611939315798926,1.9773592442069297,2.009736752509413,-0.11243369709819387,1,1.9773592442069297,2.127157047650846,1.9246939656704645
268,0.015600000000000001,-1,-0.9885481890956731,0.005725905452163338,0.9942740945478367,0.07545276309663096,-1.9519422111756053,-1.9262941730328151,-0.008820301626769542,-1,-1.9519422111756053,-1.8826432110960387,-1.944297096826801
269,0.018000000000000002,1,0.9994031570908258,0.999701578545413,0.00029842145458703956,0.017272301503345803,2.0355547237716007,2.100169373707858,-0.2715388286232431,1,2.0355547237716007,2.282124053588822,1.9828293437631528
270,0.037200000000000004,1,0.9998979769569545,0.9999489884784774,5.1011521522691416e-05,0.007142052880465347,2.1163415975465196,2.093298743178954,0.3085626875007073,1,2.1163415975465196,2.0541861445306537,2.1093684874596885
271,0.1884,1,0.999961035086526,0.999980517543263,1.9482456736983728e-05,0.004413850605861419,1.776295805618477,1.9803221015493957,-0.04257949273684984,1,1.776295805618477,2.3739211496954304,1.7907493493342799
272,0.09040000000000001,-1,-0.9999687771286746,1.5611435662865603e-05,0.9999843885643371,0.0039511000930993745,-1.946441091800996,-1.9304228708978233,-0.010180644470583209,-1,-1.946441091800996,-2.099441355663294,-1.7453861652291798
