T_K,B_1e11_dyn_cm2,B_GPa,model
264,9.8,98.0,const
265,9.8,98.0,const
266,9.8,98.0,const
267,9.8,98.0,const
268,9.8,98.0,const
269,9.8,98.0,const
270,9.8,98.0,const
271,9.8,98.0,const
272,9.8,98.0,const
273,9.8,98.0,const
274,9.8,98.0,const
275,9.8,98.0,const
276,9.8,98.0,const
277,9.8,98.0,const
278,9.8,98.0,const
279,9.8,98.0,const
280,9.8,98.0,const
281,9.8,98.0,const
282,9.8,98.0,const
283,9.8,98.0,const
284,9.8,98.0,const
285,9.8,98.0,const
286,9.8,98.0,const
287,9.8,98.0,const
288,9.8,98.0,const
289,9.8,98.0,const
290,9.8,98.0,const
291,9.8,98.0,const
292,9.8,98.0,const
293,9.8,98.0,const
294,9.8,98.0,const
295,9.8,98.0,const
296,9.8,98.0,const
297,9.8,98.0,const
298,9.8,98.0,const
299,9.8,98.0,const
300,9.8,98.0,const
301,9.8,98.0,const
302,9.8,98.0,const
303,9.8,98.0,const
304,9.8,98.0,const
305,9.8,98.0,const
306,9.8,98.0,const
307,9.8,98.0,const
308,9.8,98.0,const
309,9.8,98.0,const
310,9.8,98.0,const
311,9.8,98.0,const
312,9.8,98.0,const
313,9.8,98.0,const
314,9.8,98.0,const
315,9.8,98.0,const
316,9.8,98.0,const
317,9.8,98.0,const
318,9.8,98.0,const
319,9.8,98.0,const
320,9.8,98.0,const
321,9.8,98.0,const
322,9.8,98.0,const
323,9.8,98.0,const
324,9.8,98.0,const
325,9.8,98.0,const
326,9.8,98.0,const
327,9.8,98.0,const
328,9.8,98.0,const
329,9.8,98.0,const
330,9.8,98.0,const
331,9.8,98.0,const
332,9.8,98.0,const
333,9.8,98.0,const
334,9.8,98.0,const
335,9.8,98.0,const
336,9.8,98.0,const
337,9.8,98.0,const
338,9.8,98.0,const
339,9.8,98.0,const
340,9.8,98.0,const
341,9.8,98.0,const
342,9.8,98.0,const
343,9.8,98.0,const
344,9.8,98.0,const
345,9.8,98.0,const
346,9.8,98.0,const
347,9.8,98.0,const
348,9.8,98.0,const
349,9.8,98.0,const
350,9.8,98.0,const
351,9.8,98.0,const
352,9.8,98.0,const
353,9.8,98.0,const
354,9.8,98.0,const
355,9.8,98.0,const
356,9.8,98.0,const
357,9.8,98.0,const
358,9.8,98.0,const
359,9.8,98.0,const
360,9.8,98.0,const
361,9.8,98.0,const
362,9.8,98.0,const
363,9.8,98.0,const
364,9.8,98.0,const
365,9.8,98.0,const
366,9.8,98.0,const
367,9.8,98.0,const
368,9.8,98.0,const
369,9.8,98.0,const
370,9.8,98.0,const
371,9.8,98.0,const
372,9.8,98.0,const
373,9.8,98.0,const
374,9.8,98.0,const
375,9.8,98.0,const
376,9.8,98.0,const
377,9.8,98.0,const
378,9.8,98.0,const
379,9.8,98.0,const
380,9.8,98.0,const
381,9.8,98.0,const
382,9.8,98.0,const
383,9.8,98.0,const
384,9.8,98.0,const
385,9.8,98.0,const
386,9.8,98.0,const
387,9.8,98.0,const
388,9.8,98.0,const
389,9.8,98.0,const
390,9.8,98.0,const
391,9.8,98.0,const
392,9.8,98.0,const
393,9.8,98.0,const
394,9.8,98.0,const
395,9.8,98.0,const
396,9.8,98.0,const
397,9.8,98.0,const
398,9.8,98.0,const
399,9.8,98.0,const
400,9.8,98.0,linear_Cij_shifted
401,9.799253333333334,97.99253333333334,linear_Cij_shifted
402,9.798506666666668,97.98506666666668,linear_Cij_shifted
403,9.79776,97.9776,linear_Cij_shifted
404,9.797013333333334,97.97013333333334,linear_Cij_shifted
405,9.796266666666668,97.96266666666668,linear_Cij_shifted
406,9.795520000000002,97.95520000000002,linear_Cij_shifted
407,9.794773333333335,97.94773333333336,linear_Cij_shifted
408,9.794026666666667,97.94026666666667,linear_Cij_shifted
409,9.793280000000003,97.93280000000003,linear_Cij_shifted
410,9.792533333333335,97.92533333333336,linear_Cij_shifted
411,9.791786666666669,97.91786666666668,linear_Cij_shifted
412,9.791040000000002,97.91040000000002,linear_Cij_shifted
413,9.790293333333334,97.90293333333335,linear_Cij_shifted
414,9.789546666666668,97.89546666666668,linear_Cij_shifted
415,9.788800000000002,97.88800000000002,linear_Cij_shifted
416,9.788053333333334,97.88053333333335,linear_Cij_shifted
417,9.787306666666668,97.87306666666667,linear_Cij_shifted
418,9.786560000000001,97.86560000000001,linear_Cij_shifted
419,9.785813333333333,97.85813333333334,linear_Cij_shifted
420,9.785066666666669,97.85066666666668,linear_Cij_shifted
421,9.784320000000001,97.84320000000001,linear_Cij_shifted
422,9.783573333333335,97.83573333333335,linear_Cij_shifted
423,9.782826666666669,97.82826666666668,linear_Cij_shifted
424,9.782080000000002,97.82080000000002,linear_Cij_shifted
425,9.781333333333336,97.81333333333336,linear_Cij_shifted
426,9.780586666666668,97.80586666666667,linear_Cij_shifted
427,9.779840000000002,97.79840000000002,linear_Cij_shifted
428,9.779093333333336,97.79093333333336,linear_Cij_shifted
429,9.778346666666668,97.78346666666667,linear_Cij_shifted
430,9.777600000000001,97.77600000000001,linear_Cij_shifted
431,9.776853333333335,97.76853333333335,linear_Cij_shifted
432,9.776106666666667,97.76106666666666,linear_Cij_shifted
433,9.775360000000001,97.7536,linear_Cij_shifted
434,9.774613333333335,97.74613333333335,linear_Cij_shifted
435,9.773866666666667,97.73866666666666,linear_Cij_shifted
436,9.773120000000002,97.73120000000003,linear_Cij_shifted
437,9.772373333333334,97.72373333333334,linear_Cij_shifted
438,9.77162666666667,97.7162666666667,linear_Cij_shifted
439,9.770880000000002,97.70880000000002,linear_Cij_shifted
440,9.770133333333336,97.70133333333335,linear_Cij_shifted
441,9.76938666666667,97.6938666666667,linear_Cij_shifted
442,9.768640000000001,97.68640000000002,linear_Cij_shifted
443,9.767893333333335,97.67893333333335,linear_Cij_shifted
444,9.767146666666669,97.67146666666669,linear_Cij_shifted
445,9.7664,97.66400000000002,linear_Cij_shifted
446,9.765653333333335,97.65653333333334,linear_Cij_shifted
447,9.764906666666668,97.64906666666668,linear_Cij_shifted
448,9.76416,97.64160000000001,linear_Cij_shifted
449,9.763413333333336,97.63413333333335,linear_Cij_shifted
450,9.762666666666668,97.62666666666668,linear_Cij_shifted
451,9.761920000000002,97.61920000000002,linear_Cij_shifted
