window_ns,offset_ns,pairs_total,N00,N01,N10,N11,E00,E01,E10,E11,S_canonical,S_fixed,S_fixed_abs,S_best,S_best_abs,S_best_swap_a,S_best_swap_b,S_best_sign00,S_best_sign01,S_best_sign10,S_best_sign11
0.25,-17.012569151910178,7050,2365,1495,1352,1838,-0.9856236786469345,-0.5157190635451505,-0.3905325443786982,-0.9804134929270947,-0.9114617936436884,2.091223690740481,2.091223690740481,2.0912236907404815,2.0912236907404815,True,True,-1,1,-1,-1
0.5,-17.012569151910178,13373,4341,2959,2596,3477,-0.981110343238885,-0.4058803649881717,-0.32280431432973805,-0.9746908254242163,-0.7351041971325786,2.038877219321535,2.038877219321535,2.038877219321535,2.038877219321535,False,False,-1,-1,1,-1
0.75,-17.012569151910178,18284,5784,4230,3696,4574,-0.9747579529737206,-0.3040189125295508,-0.22294372294372294,-0.9663314385658067,-0.5353891498811877,2.022164581125355,2.022164581125355,2.0221645811253555,2.0221645811253555,True,True,-1,1,-1,-1
1.0,-17.012569151910178,21815,6678,5216,4641,5280,-0.9673554956573824,-0.2089723926380368,-0.129928894634777,-0.9583333333333334,-0.3479234495968627,2.0047323269939756,2.0047323269939756,2.0047323269939756,2.0047323269939756,False,False,-1,-1,1,-1
1.5,-17.012569151910178,25232,7300,6364,5709,5859,-0.9567123287671233,-0.08893777498428661,-0.013837799964967595,-0.9481140126301416,-0.11137389108623597,1.979926316416584,1.979926316416584,1.979926316416584,1.979926316416584,False,False,-1,-1,1,-1
2.0,-17.012569151910178,26532,7480,6830,6127,6095,-0.953475935828877,-0.058272327964860905,0.022360045699363472,-0.9442165709598032,-0.045171647134571224,1.9783248804529046,1.9783248804529046,1.9783248804529046,1.9783248804529046,False,False,-1,-1,1,-1
3.0,-17.012569151910178,27648,7613,7145,6505,6385,-0.9519243399448312,-0.05024492652204339,0.03766333589546503,-0.9389193422083008,-0.025586588363108898,1.9787519445706403,1.9787519445706403,1.9787519445706405,1.9787519445706405,True,False,1,-1,-1,-1
4.0,-17.012569151910178,28234,7672,7300,6686,6576,-0.9504692387904067,-0.04547945205479452,0.03469937182171702,-0.9367396593673966,-0.024509659656087646,1.967387722034315,1.967387722034315,1.967387722034315,1.967387722034315,False,False,-1,-1,1,-1
6.0,-17.012569151910178,28863,7705,7463,6911,6784,-0.9491239454899416,-0.05051587833311001,0.04094921140211257,-0.9354363207547169,-0.02325429166622206,1.976025355979881,1.976025355979881,1.9760253559798813,1.9760253559798813,True,False,1,-1,-1,-1
8.0,-17.012569151910178,29359,7733,7557,7068,7001,-0.9454286822707876,-0.051475453222178114,0.043859649122807015,-0.9305813455220683,-0.022463140848090424,1.9713451301378409,1.9713451301378409,1.971345130137841,1.971345130137841,True,False,1,-1,-1,-1
10.0,-17.012569151910178,29830,7751,7667,7200,7212,-0.9427170687653206,-0.052302073822877264,0.04555555555555556,-0.9270660011092623,-0.022397585923379926,1.9676406992530158,1.9676406992530158,1.9676406992530158,1.9676406992530158,False,False,-1,-1,1,-1
