key,label,A,Z,N,in_domain,magic_Z,magic_N,doubly_magic,magic_any,A_bin,radii_used,r_charge_fm,sigma_r_charge_fm,R_sharp_fm,sigma_R_sharp_fm,rho_fm3,B_over_A_obs_MeV,sigma_B_over_A_obs_MeV,B_over_A_pred_mean_MeV,B_over_A_residual_mean_MeV,sigma_set_MeV,B_over_A_pred_eq19_MeV,residual_eq19_MeV,C3_frozen_eq19,C3_est_from_radii_eq19,sigma_total_eq19_MeV,sigma_final_eq19_MeV,z_final_eq19
Z6_N8,C-14,14,6,8,0,0,1,0,1,2<=A<16,published,2.5025,0.0087,3.23071360796,0.011231651704,0.0991160631016,7.5203198,4e-07,18.9705284452,11.4502086452,0,18.9705284452,11.4502086452,2008.63140164,2390.63039868,1.94401589229,1.94401589229,5.88997687239
Z7_N7,N-14,14,7,7,0,0,0,0,0,2<=A<16,published,2.5582,0.007,3.30262199876,0.00903696114115,0.0927818052171,7.4756148,2e-07,18.5152617732,11.0396469732,0,18.5152617732,11.0396469732,2008.63140164,2539.24168165,1.70375092106,1.70375092106,6.47961320914
Z7_N8,N-15,15,7,8,0,0,1,0,1,2<=A<16,published,2.6058,0.008,3.36407333452,0.0103279555899,0.0940602840858,7.6994603,2e-07,18.6382832736,10.9388229736,0,18.6382832736,10.9388229736,2008.63140164,2508.03889527,1.75122306392,1.75122306392,6.24639042217
Z8_N8,O-16,16,8,8,1,1,1,1,1,16<=A<40,published,2.6991,0.0052,3.48452311658,0.00671317113343,0.0902820315933,7.9762072,2e-07,18.1686586872,10.1924514872,0,18.1686586872,10.1924514872,2008.63140164,2597.92876436,1.61257380661,1.61257380661,6.320610843
Z8_N9,O-17,17,8,9,1,1,0,0,1,16<=A<40,published,2.6932,0.0075,3.47690624934,0.00968245836552,0.0965564678256,7.7507291,2e-07,18.784887673,11.034158573,0,18.784887673,11.034158573,2008.63140164,2450.76596483,1.84469692212,1.84469692212,5.9815563417
Z10_N7,Ne-17,17,10,7,1,0,0,0,0,16<=A<40,published,3.0413,0.0088,3.92630141694,0.0113607511489,0.0670516395665,6.6404991,2.08e-05,14.0666810573,7.42618195732,0,14.0666810573,7.42618195732,2008.63140164,3304.04088916,0.894683440838,0.894683440838,8.30034581881
Z8_N10,O-18,18,8,10,1,1,0,0,1,16<=A<40,published,2.7726,0.0056,3.57941120856,0.00722956891292,0.0937020547996,7.7670981,2e-07,18.4485048585,10.6814067585,0,18.4485048585,10.6814067585,2008.63140164,2510.93092358,1.73685400023,1.73685400023,6.14985874293
Z10_N8,Ne-18,18,10,8,1,0,1,0,1,16<=A<40,published,2.9714,0.0076,3.83606090497,0.00981155781039,0.0761250190491,7.3412577,2.02e-05,15.86399781,8.52274010995,0,15.86399781,8.52274010995,2008.63140164,2987.69071572,1.1491175471,1.1491175471,7.41676961723
Z9_N10,F-19,19,9,10,1,0,0,0,0,16<=A<40,published,2.8976,0.0025,3.74078551466,0.00322748612184,0.0866515964193,7.7790192,2e-07,17.700606907,9.92158770695,0,17.700606907,9.92158770695,2008.63140164,2688.97935302,1.48484597723,1.48484597723,6.68189688297
Z10_N9,Ne-19,19,10,9,1,0,0,0,0,16<=A<40,published,3.0082,0.004,3.88356950069,0.00516397779494,0.0774411415912,7.5673431,8.4e-06,16.2674105721,8.70006747206,0,16.2674105721,8.70006747206,2008.63140164,2954.20968723,1.18663935827,1.18663935827,7.33168625446
Z10_N10,Ne-20,20,10,10,1,0,0,0,0,16<=A<40,published,3.0055,0.0021,3.88008381568,0.00271108834235,0.0817368816751,8.0322412,2e-07,16.9777366663,8.94549546635,0,16.9777366663,8.94549546635,2008.63140164,2825.27327703,1.32117579491,1.32117579491,6.77085933667
Z11_N9,Na-20,20,11,9,1,0,0,0,0,16<=A<40,published,2.9718,0.042,3.83657730275,0.0542217668469,0.0845492047029,7.2985028,5.54e-05,16.9699785203,9.67147572031,0,16.9699785203,9.67147572031,2008.63140164,2732.58848689,1.47999961965,1.47999961965,6.53478257151
Z10_N11,Ne-21,21,10,11,1,0,0,0,0,16<=A<40,published,2.9695,0.0033,3.83360801552,0.00426028168083,0.0889831082997,7.9717136,1.8e-06,17.8913269882,9.9196133882,0,17.8913269882,9.9196133882,2008.63140164,2626.92220252,1.5659176103,1.5659176103,6.33469687229
Z11_N10,Na-21,21,11,10,1,0,0,0,0,16<=A<40,published,3.0136,0.0284,3.89054087071,0.0366642423441,0.0851335492009,7.7655581,2e-06,17.2320649108,9.4665068108,0,17.2320649108,9.4665068108,2008.63140164,2723.65333169,1.46269853208,1.46269853208,6.47194661318
Z12_N9,Mg-21,21,12,9,1,0,0,0,0,16<=A<40,preliminary,3.0626,0.0067,3.9537995987,0.00864966280653,0.081112301892,7.1050317,3.59e-05,16.2311660341,9.12613433414,0,16.2311660341,9.12613433414,2008.63140164,2819.49860587,1.30275013649,1.30275013649,7.00528372902
Z10_N12,Ne-22,22,10,12,1,0,0,0,0,16<=A<40,published,2.9525,0.004,3.81166110989,0.00516397779494,0.0948399307597,8.0804656,8e-07,18.4443033119,10.3638377119,0,18.4443033119,10.3638377119,2008.63140164,2484.11695453,1.77879048417,1.77879048417,5.82633975398
Z11_N11,Na-22,22,11,11,1,0,0,0,0,16<=A<40,published,2.9852,0.0169,3.85387662837,0.0218178061836,0.0917573047496,7.9156624,6e-06,18.0736376581,10.1579752581,0,18.0736376581,10.1579752581,2008.63140164,2556.98054218,1.67208765663,1.67208765663,6.07502556329
Z12_N10,Mg-22,22,12,10,1,0,0,0,0,16<=A<40,preliminary,3.0688,0.0052,3.96180376428,0.00671317113343,0.0844607999889,7.6627645,7.2e-06,16.9140354788,9.25127097882,0,16.9140354788,9.25127097882,2008.63140164,2734.58452802,1.41147149394,1.41147149394,6.55434489362
Z10_N13,Ne-23,23,10,13,1,0,0,0,0,16<=A<40,published,2.9104,0.0071,3.7573102436,0.00916606058602,0.103516137106,7.9552561,4.5e-06,19.0091863796,11.0539302796,0,19.0091863796,11.0539302796,2008.63140164,2299.04300945,2.11921895265,2.11921895265,5.21603974227
Z11_N12,Na-23,23,11,12,1,0,0,0,0,16<=A<40,published,2.9936,0.0021,3.86472098174,0.00271108834235,0.0951228364223,8.1114936,2e-07,18.4290594669,10.3175658669,0,18.4290594669,10.3175658669,2008.63140164,2478.9143267,1.7891663873,1.7891663873,5.76668885582
Z12_N11,Mg-23,23,12,11,1,0,0,0,0,16<=A<40,preliminary,3.0425,0.0039,3.92785061028,0.00503487835007,0.0906096267862,7.9011229,1.4e-06,17.7810256159,9.87990271593,0,17.7810256159,9.87990271593,2008.63140164,2580.65746643,1.62373646553,1.62373646553,6.08467132794
Z10_N14,Ne-24,24,10,14,1,0,0,0,0,16<=A<40,published,2.9007,0.0078,3.74478759745,0.0100697567001,0.109104097984,7.9933252,2.14e-05,19.1559004786,11.1625752786,0,19.1559004786,11.1625752786,2008.63140164,2191.70019134,2.35391054565,2.35391054565,4.74214081722
Z11_N13,Na-24,24,11,13,1,0,0,0,0,16<=A<40,published,2.9735,0.0169,3.83877199332,0.0218178061836,0.101285127581,8.0634882,7e-07,18.8938379338,10.8303497338,0,18.8938379338,10.8303497338,2008.63140164,2346.13964069,2.03181983138,2.03181983138,5.33036914321
Z12_N12,Mg-24,24,12,12,1,0,0,0,0,16<=A<40,published,3.057,0.0016,3.94657002979,0.00206559111798,0.0932101467668,8.2607103,6e-07,18.1390949752,9.87838467522,0,18.1390949752,9.87838467522,2008.63140164,2521.14299401,1.71790900902,1.71790900902,5.75023742432
Z10_N15,Ne-25,25,10,15,1,0,0,0,0,16<=A<40,published,2.9316,0.0088,3.78467932591,0.0113607511489,0.110094122905,7.8397994,0.0011618,19.0266835655,11.1868841655,0,19.0266835655,11.1868841655,2008.63140164,2169.16768687,2.39681287403,2.39681287403,4.66739989871
Z11_N14,Na-25,25,11,14,1,0,0,0,0,16<=A<40,published,2.9769,0.0252,3.84316137444,0.0325330601081,0.10514425223,8.1013979,4.8e-05,19.0619531899,10.9605552899,0,19.0619531899,10.9605552899,2008.63140164,2268.18747912,2.19075346144,2.19075346144,5.00309846946
Z12_N13,Mg-25,25,12,13,1,0,0,0,0,16<=A<40,published,3.0284,0.0022,3.90964758855,0.00284018778722,0.0998708077422,8.2235028,1.9e-06,18.7406553509,10.5171525509,0,18.7406553509,10.5171525509,2008.63140164,2375.52185749,1.97219891185,1.97219891185,5.33270375909
Z10_N16,Ne-26,26,10,16,1,0,0,0,0,16<=A<40,published,2.9251,0.01,3.776287862,0.0129099444874,0.115262878383,7.751911,0.0007088,18.967015577,11.215104577,0,18.967015577,11.215104577,2008.63140164,2078.58802461,2.62693759085,2.62693759085,4.26926951598
Z11_N15,Na-26,26,11,15,1,0,0,0,0,16<=A<40,published,2.9928,0.0331,3.86368818618,0.0427319162532,0.107616417049,8.0042013,0.0001347,19.0783091169,11.0741078169,0,19.0783091169,11.0741078169,2008.63140164,2218.88115763,2.29559240751,2.29559240751,4.82407407374
Z12_N14,Mg-26,26,12,14,1,0,0,0,0,16<=A<40,published,3.0337,0.0018,3.91648985913,0.00232379000772,0.103322217768,8.3338711,1.1e-06,18.9616261554,10.6277550554,0,18.9616261554,10.6277550554,2008.63140164,2305.24470856,2.11082883782,2.11082883782,5.03487296789
Z11_N16,Na-27,27,11,16,1,0,0,0,0,16<=A<40,published,3.0136,0.0467,3.89054087071,0.060289440756,0.109457420401,7.9569467,0.000138,19.0180742586,11.0611275586,0,19.0180742586,11.0611275586,2008.63140164,2181.7827149,2.37675479684,2.37675479684,4.65387829375
Z12_N15,Mg-27,27,12,15,1,0,0,0,0,16<=A<40,preliminary,3.0324,0.0022,3.91481156635,0.00284018778722,0.10743420304,8.2638525,1.8e-06,19.1304554058,10.8666029058,0,19.1304554058,10.8666029058,2008.63140164,2225.95719407,2.28217787309,2.28217787309,4.76150568015
Z13_N14,Al-27,27,13,14,1,0,0,0,0,16<=A<40,published,3.061,0.0031,3.95173400758,0.00400208279108,0.104450865178,8.3315533,1.8e-06,18.9657182939,10.6341649939,0,18.9657182939,10.6341649939,2008.63140164,2283.86999736,2.15724268214,2.15724268214,4.92951724066
Z10_N18,Ne-28,28,10,18,1,0,0,0,0,16<=A<40,published,2.9642,0.0134,3.82676574494,0.0172993256131,0.119281691418,7.3883463,0.0045024,18.5551705973,11.1668242973,0,18.5551705973,11.1668242973,2008.63140164,2005.65908219,2.81324501295,2.81324501295,3.96937495522
