dataset,eq_label,lambda_pi_pm_fm,R1_t_fm,R2_t_fm,Rb_t_fm,R3_t_fm,R1_s_fm,R2_s_fm,R1_s_over_lambda_pi_pm,R2_s_over_lambda_pi_pm,L3_total_fm,Lb_fm,Lt_fm,tail_factor,barrier_len_fraction,k_t,q_t,k_s,q_s,V1_t_MeV,V2_t_MeV,V3_mean_t_MeV,V3_barrier_t_MeV,V3_tail_t_MeV,V1_s_MeV,V2_s_MeV,Vb_s_MeV,Vt_s_MeV,v2s_pred_fm3,v2s_obs_fm3,v2s_within_envelope,v2t_fit_fm3,v2t_obs_fm3,v2t_within_envelope,r_s_fit_fm,r_s_obs_fm,r_s_within_envelope
eq18 (GWU/SAID),18,1.41381693065,1.03036269799,1.41381693065,1.55519862372,2.82763386131,0.636217618794,2.12072539598,0.45,1.5,1.41381693065,0.141381693065,1.27243523759,0.632120558829,0.1,0,1.3,0.5,1,83.7621589421,14,8.8496878236,0,11.5045941707,161.264671815,9.5716634421,3.02522262197,6.05044524394,-0.102818690317,-0.005,1,0.0520326766899,0.163,1,2.6263383462,2.626,1
eq19 (Nijmegen),19,1.41381693065,1.04066091891,1.41381693065,1.55519862372,2.82763386131,0.636217618794,2.12072539598,0.45,1.5,1.41381693065,0.141381693065,1.27243523759,0.632120558829,0.1,0,1.3,0.5,1,82.283838378,14,8.8496878236,0,11.5045941707,156.921911197,9.8782698286,3.12212872216,6.24425744432,-0.0584052300674,-0.48,1,0.0546543758044,0.04,1,2.67602605322,2.678,1
