sigma_case_id,sigma_z_m,sigma_z_mm,t_half_s,gamma_pik_s_inv,pmodel_case_id,pmodel_case_label,omega_star_s_inv,tau_free_s,tobs_s,naive_tau_corr_over_tau_carrier,coarse_grained_tau_corr_over_tobs,gamma_path_times_tobs,required_thermal_ratio_for_parity,log10_required_thermal_ratio_for_parity,required_chi_over_kbt_for_parity,gamma_p_over_gamma_pik_at_1e-24,gamma_p_tobs_at_1e-24,phase_mixing_expected_at_1e-24,gamma_p_over_gamma_pik_at_1e-21,gamma_p_tobs_at_1e-21,phase_mixing_expected_at_1e-21,gamma_p_over_gamma_pik_at_1e-18,gamma_p_tobs_at_1e-18,phase_mixing_expected_at_1e-18
sigma_z_1.0e-04_m,0.0001,0.1,40011.10460141086,2.9427081162711946e-05,optical_fast_bin,optical fast-bin readout,3000000000000000.0,1e-13,1e-09,300.0,9.999999999999999e-05,10000.0,3.2696756847457717e-23,-22.485495322358176,3.0584073052424262e+22,0.03058407305242426,9e-16,False,30.584073052424255,8.999999999999999e-13,False,30584.07305242426,9.000000000000001e-10,False
sigma_z_1.0e-04_m,0.0001,0.1,40011.10460141086,2.9427081162711946e-05,optical_ns_readout,optical ns readout,3000000000000000.0,1e-12,1e-07,3000.0,1e-05,100000.0,3.2696756847457716e-24,-23.485495322358176,3.058407305242426e+23,0.30584073052424254,8.999999999999998e-13,False,305.8407305242426,8.999999999999999e-10,False,305840.7305242426,9e-07,False
sigma_z_1.0e-04_m,0.0001,0.1,40011.10460141086,2.9427081162711946e-05,optical_us_integration,optical us integration,3000000000000000.0,1e-10,1e-05,300000.0,9.999999999999999e-06,100000.00000000001,3.269675684745772e-26,-25.485495322358176,3.058407305242426e+25,30.58407305242426,9.000000000000001e-09,False,30584.073052424257,9e-06,False,30584073.052424263,0.009000000000000001,False
sigma_z_1.0e-03_m,0.001,1.0,4001.1104601410852,0.0002942708116271195,optical_fast_bin,optical fast-bin readout,3000000000000000.0,1e-13,1e-09,300.0,9.999999999999999e-05,10000.0,3.269675684745772e-22,-21.485495322358176,3.0584073052424257e+21,0.003058407305242426,9e-16,False,3.0584073052424254,8.999999999999999e-13,False,3058.407305242426,9.000000000000001e-10,False
sigma_z_1.0e-03_m,0.001,1.0,4001.1104601410852,0.0002942708116271195,optical_ns_readout,optical ns readout,3000000000000000.0,1e-12,1e-07,3000.0,1e-05,100000.0,3.2696756847457717e-23,-22.485495322358176,3.0584073052424262e+22,0.030584073052424252,8.999999999999998e-13,False,30.584073052424255,8.999999999999999e-10,False,30584.073052424257,9e-07,False
sigma_z_1.0e-03_m,0.001,1.0,4001.1104601410852,0.0002942708116271195,optical_us_integration,optical us integration,3000000000000000.0,1e-10,1e-05,300000.0,9.999999999999999e-06,100000.00000000001,3.269675684745772e-25,-24.485495322358176,3.0584073052424256e+24,3.058407305242426,9.000000000000001e-09,False,3058.4073052424255,9e-06,False,3058407.305242426,0.009000000000000001,False
sigma_z_1.0e-02_m,0.01,10.0,400.1110460141086,0.0029427081162711945,optical_fast_bin,optical fast-bin readout,3000000000000000.0,1e-13,1e-09,300.0,9.999999999999999e-05,10000.0,3.2696756847457717e-21,-20.485495322358176,3.058407305242426e+20,0.0003058407305242426,9e-16,False,0.30584073052424254,8.999999999999999e-13,False,305.84073052424264,9.000000000000001e-10,False
sigma_z_1.0e-02_m,0.01,10.0,400.1110460141086,0.0029427081162711945,optical_ns_readout,optical ns readout,3000000000000000.0,1e-12,1e-07,3000.0,1e-05,100000.0,3.2696756847457716e-22,-21.485495322358176,3.058407305242426e+21,0.0030584073052424255,8.999999999999998e-13,False,3.058407305242426,8.999999999999999e-10,False,3058.407305242426,9e-07,False
sigma_z_1.0e-02_m,0.01,10.0,400.1110460141086,0.0029427081162711945,optical_us_integration,optical us integration,3000000000000000.0,1e-10,1e-05,300000.0,9.999999999999999e-06,100000.00000000001,3.2696756847457716e-24,-23.485495322358176,3.058407305242426e+23,0.3058407305242426,9.000000000000001e-09,False,305.8407305242426,9e-06,False,305840.7305242426,0.009000000000000001,False
