T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
23.0,-1.1544019759301651,-1.8178187456325807,0.03,-0.6634167697024155,-22.11389232341385,0.13138763682376692,2.6036723880602276e-05,1.191372386367847e-08,-1.8182280873644048,0.00040888633960444067,4.5539221954375344e-07
24.0,-1.5438820451316155,-2.2250194720622933,0.03,-0.6811374269306777,-22.704580897689258,0.16083532423250108,4.608712357948232e-05,3.190648245049615e-08,-2.225744453811466,0.0007237621503276521,1.2195988447627997e-06
25.0,-1.9989624023433001,-2.687141310136167,0.03,-0.688178907792867,-22.9392969264289,0.19426516698634905,7.795122317680692e-05,7.896880598502149e-08,-2.688368491511082,0.001224162857762585,3.01851715246449e-06
26.0,-2.522504697236022,-3.2050861397738766,0.03,-0.6825814425378545,-22.752714751261816,0.23174812234995204,0.00012665680942062384,1.8228869291055496e-07,-3.207082153519812,0.001989045911746181,6.967834189555938e-06
27.0,-3.116569133524793,-3.779066656391946,0.03,-0.6624975228671529,-22.083250762238432,0.2733069552541145,0.00019859003464116473,3.9552524933121235e-07,-3.782200475845581,0.00311870082882588,1.511862480946607e-05
28.0,-3.7823555521281924,-4.40864791830527,0.03,-0.6262923661770774,-20.876412205902582,0.3189194420937704,0.00030163587026362643,8.120644470138715e-07,-4.41341591370023,0.004736954904583073,3.104049037645197e-05
29.0,-4.520162148372184,-5.092801032038992,0.03,-0.5726388836668075,-19.087962788893584,0.36852243491526054,0.00044528819679789933,1.5866989640462855e-06,-5.0998545843823235,0.00699290209062751,6.0650252704590737e-05
30.0,-5.329362933914205,-5.8299645231305695,0.03,-0.5006015892163643,-16.68671964054548,0.42201646189907466,0.0006407241903883797,2.96507305676914e-06,-5.840139931767504,0.010062071177054061,0.0001133374598808749
31.0,-6.208404819558522,-6.618109648898358,0.03,-0.4097048293398358,-13.656827644661194,0.479270592934324,0.0009008395314229596,5.322069552820071e-06,-6.632460059311662,0.014146978716048551,0.00020343169725579375
32.0,-7.154824948830198,-7.454806639412622,0.03,-0.29998169058242413,-9.999389686080805,0.540127353112783,0.0012402428180335967,9.210022959468457e-06,-7.474635726196461,0.019477041290293207,0.00035204549354615316
33.0,-8.165288610226703,-8.337289543401473,0.03,-0.17200093317477042,-5.733364439159014,0.604407517724782,0.0016752093140759573,1.541723574619817e-05,-8.364186703619948,0.026307849161241688,0.0005893110572333442
34.0,-9.235647568070469,-9.262517973574257,0.03,-0.026870405503788372,-0.8956801834596124,0.6719146673890226,0.002223595722004386,2.5036782156668913e-05,-9.298394811663426,0.034919827843925944,0.0009570102452448959
35.0,-10.361017643945683,-10.227234575905259,0.03,0.13378306804042425,4.459435601347475,0.7424394202570443,0.0029047189946508497,3.9545042204946706e-05,-10.27436248730606,0.04561633494093816,0.0015115764598644808
36.0,-11.53587213840112,-11.228017486909755,0.03,0.30785465149136493,10.261821716378831,0.8157632896708805,0.003739203256189085,6.08888585949496e-05,-11.289066169215655,0.05872125615616408,0.0023274261497343855
37.0,-12.754143016313503,-12.261327396256691,0.03,0.4928156200568124,16.427187335227078,0.8916621406347971,0.00474879967998817,9.157969133187113e-05,-12.339404130666185,0.07457617661766233,0.0035005577918335216
38.0,-14.009313478001562,-13.323549107509349,0.03,0.685764370492215,22.8588123497405,0.9699092376926483,0.005956184673892504,0.0001347926943618432,-13.422238658058932,0.09353721153567957,0.005152339013905082
39.0,-15.29447420902185,-14.411027697402675,0.03,0.8834465116191749,29.448217053972495,1.0502778911035875,0.007384741968788785,0.00019446828381397882,-14.534432670433402,0.11597158407440507,0.007433388956319902
40.0,-16.602307452314196,-15.520099524219935,0.03,1.0822079280942603,36.073597603142005,1.13254371841259,0.009058334220907694,0.00027541352732330374,-15.67288101655999,0.1422540385451487,0.010527453794905111
41.0,-17.92497397171395,-16.64711843843907,0.03,1.2778555332748804,42.59518444249602,1.2164865453987233,0.011001069555485713,0.00038340056783712443,-16.83453678150597,0.17276317415754508,0.014655168909360212
42.0,-19.25393178381967,-17.788477612910626,0.03,1.4654541709090452,48.84847236363484,1.30189197464832,0.013237068136091441,0.0005252593034467278,-18.01643299357743,0.2078777791737985,0.020077601493002584
43.0,-20.57982681768017,-18.94062744338649,0.03,1.6391993742936812,54.63997914312271,1.3885526522405605,0.015790233377975877,0.0007089616694029167,-19.21570015354312,0.24797323799368381,0.02709947216295094
44.0,-21.892734715054942,-20.100089980131507,0.03,1.7926447349234362,59.75482449744788,1.4762692637502974,0.01868403187191345,0.0009436950955804084,-20.429580017973297,0.2934180750309773,0.03607196281081398
45.0,-23.183094549565123,-21.263470343454905,0.03,1.9196242061102164,63.98747353700721,1.5648512903766862,0.021941285480986186,0.0012399230239029868,-21.655436063042426,0.344570689756417,0.047395029831104586
46.0,-24.44350210782511,-22.427465555183907,0.03,2.0160365526412014,67.20121842137338,1.6541175548259937,0.02558397844649736,0.0016094307447917311,-22.890761038812666,0.4017763274472775,0.06151915618148013
47.0,-25.671034412641923,-23.588871188369964,0.03,2.082163224271961,69.40544080906537,1.7438965848708374,0.029633081715922754,0.002065355227930511,-24.133182000404535,0.4653643203955449,0.07894649163902713
48.0,-26.869114083595484,-24.744586202138454,0.03,2.1245278814570283,70.81759604856761,1.8340268204776775,0.03410839610591636,0.0026221980595788515,-25.380463174362635,0.5356456249058585,0.10023134731832191
49.0,-28.047550735151784,-25.891616290149255,0.03,2.1559344450025315,71.86448150008438,1.9243566881908132,0.03902841535249399,0.0032958210370714323,-26.630506988030074,0.6129106706059934,0.12598002727482566
50.0,-29.219839113498725,-27.027076031662148,0.5,2.192763081836577,4.385526163673154,2.0147445641980264,0.044410209589787315,0.0041034243943143325,-27.881353558426703,0.6974275305720268,0.156849996192527
51.0,-30.398143944106238,-28.14819009524006,0.5,2.249953848866174,4.499907697732348,2.105058645261924,0.05026932934535832,0.005063508026281606,-29.131178906112535,0.7894404136500063,0.19354839722246414
52.0,-31.587983876191615,-29.252293707811727,0.5,2.3356901683798847,4.6713803367597695,2.1951767445392103,0.05661972974774981,0.006195816435156561,-30.378292129601274,0.8891684741949399,0.23682994759460882
53.0,-32.785282943173925,-30.3368325669521,0.5,2.448450376221826,4.896900752443652,2.2849860272657425,0.0634737143116215,0.007521268428395548,-31.621131747597154,0.9968049292604231,0.287494251384627
54.0,-33.97744650673043,-31.399362342349136,0.5,2.5780841643812953,5.156168328762591,2.3743826993821853,0.07084189739617011,0.009061872855094046,-32.858261389993004,1.112516469037552,0.3463825786063175
55.0,-35.147901529178526,-32.43754788379902,0.5,2.7103536453795027,5.4207072907590055,2.46327166042564,0.07873318422049443,0.01084063186968286,-34.088364994357505,1.236442943011899,0.4143741675465831
