candidate_id,before_mix,sat_scale_mev,sat_scale_multiplier,branch_pivot_mev,branch_gain,sign_blend,holdout_p95_abs_z_qbeta,holdout_p95_abs_z_logft,holdout_max_abs_z_qbeta,train_p95_abs_z_qbeta,overfit_gap_qbeta,overfit_guard_pass,n_holdout_q_rows,n_holdout_logft_rows,split_rows_holdout,mapping_delta_abs_median_mev,mapping_delta_abs_p95_mev,is_pareto_front,norm_holdout_p95_abs_z_qbeta,norm_overfit_gap_qbeta,score_weighted,rank_weighted
cand_0000,0.6,7.65601947180433,0.85,1.0,1.2,0.0,6941.063154952059,10.866414772862774,291713.5629976362,3795.110509146849,3145.9526458052105,False,1269,35,1269,0.5262019195694478,3.4988720518498724,False,0.4379407775738963,0.43325743052245724,0.4365357734584646,94
cand_0001,0.6,7.65601947180433,0.85,1.0,1.2,0.05,6948.541614961802,11.16667459218492,293037.0506184003,3801.5065637595903,3147.035051202212,False,1269,38,1269,0.5300236331122586,3.6197676244098402,False,0.4429586262991063,0.43388109744266423,0.44023536764217364,98
cand_0002,0.6,7.65601947180433,0.85,1.0,1.6,0.0,6941.046291834707,10.867526061566789,291714.31808016903,3794.93609246494,3146.1101993697666,False,1269,35,1269,0.5888325780275074,3.482098174050487,False,0.43792946286848883,0.43334821069285046,0.4365550872157973,95
cand_0003,0.6,7.65601947180433,0.85,1.0,1.6,0.05,6948.524348630519,11.17419810370616,293037.8169565552,3800.8638346362904,3147.6605139942285,False,1269,38,1269,0.5971784087215408,3.6117027678551628,False,0.44294704104782384,0.4342414803955595,0.4403353728521445,101
cand_0004,0.6,7.65601947180433,0.85,1.0,2.0,0.0,6941.029061670514,10.868839429916175,291714.991387403,3792.469436505672,3148.559625164842,False,1269,35,1269,0.6917423898270014,3.482098174050487,False,0.4379179018843671,0.4347595357343944,0.43697039203937527,96
cand_0005,0.6,7.65601947180433,0.85,1.0,2.0,0.05,6948.506656564399,11.182926060185281,293038.49075830216,3800.845266182058,3147.6613903823413,False,1269,38,1269,0.6988255966086157,3.6117027678551628,False,0.44293517013973455,0.43424198535818875,0.4403272147052708,100
cand_0006,0.6,7.65601947180433,0.85,2.0,1.2,0.0,6954.526398490572,10.866384382107094,291713.58629587875,3801.5055723612413,3153.020826129331,False,1269,35,1269,0.5671636105067827,3.4554334824110775,False,0.44697425764050197,0.437330017620068,0.44408098563437176,105
cand_0007,0.6,7.65601947180433,0.85,2.0,1.2,0.05,6963.5008641681125,11.166492060756141,293037.0784950732,3801.506696027172,3161.9941681409405,False,1269,38,1269,0.5603074195081863,3.588764108720275,False,0.4529958865722364,0.4425003323578258,0.4498472203079132,111
cand_0008,0.6,7.65601947180433,0.85,2.0,1.6,0.0,6981.43689779045,10.867440580808365,291714.38565051835,3801.4243064776647,3180.012591312785,False,1269,35,1269,0.7688390322443017,3.431289010777358,False,0.4650304903984142,0.4528822969320073,0.4613860323584921,121
cand_0009,0.6,7.65601947180433,0.85,2.0,1.6,0.05,6993.4029913315135,11.173687261825723,293037.89754887205,3800.863890583448,3192.5391007480653,False,1269,38,1269,0.770432132192187,3.574954005918184,False,0.47305942244358756,0.4600998972711117,0.46917156489184475,126
