channel,observable,phase_ref_rad,characteristic_scale_m,delta_z,delta_z_over_z_gr,delta_observable,required_precision_3sigma,current_precision,detectable_under_current
cow_neutron,phase_fractional,70.08951280265708,0.03,-4.5484399154262836e-27,-1.390697010329958e-09,-9.747327591013852e-08,4.6356567010998605e-10,0.01,False
atom_gravimeter,phase_fractional,23142534.90803857,0.0028191262616496385,-4.27420976997378e-28,-1.3906970132932338e-09,-0.03218425417664365,4.635656710977446e-10,1e-09,False
atom_gyroscope_proxy,phase_fractional,1720.853163610541,0.0028191262616496385,-4.27420976997378e-28,-1.3906970132932338e-09,-2.393185354949392e-06,4.635656710977446e-10,1e-06,False
optical_clock_leveling,delta_f_over_f_abs,,399.308632407601,-6.053535895941459e-23,-1.390653483447598e-09,-6.053535895941459e-23,2.017845298647153e-23,2.892890145739408e-17,False
