kind,Z,N_magic,obs_MeV,pred_uncorrected_MeV,pred_corrected_MeV,resid_uncorrected_MeV,resid_corrected_MeV
gap_Sn,10,8,7.6172736,25.9287233049,19.4436875716,18.3114497049,11.8264139716
gap_Sn,18,20,5.2397778,-1.60317335477,-6.77635656633,-6.84295115477,-12.0161343663
gap_Sn,19,20,5.278131,-1.57513817097,-6.70295441643,-6.85326917097,-11.9810854164
gap_Sn,20,20,7.2721876,-7.28034218226,-12.3642434086,-14.5525297823,-19.6364310086
gap_Sn,19,28,3.725549,7.66064507483,2.74312467539,3.93509607483,-0.982424324613
gap_Sn,25,28,3.1110592,11.251109806,6.52628205446,8.140050606,3.41522285446
gap_Sn,31,50,3.1015204,8.86867073315,4.55605412139,5.76715033315,1.45453372139
gap_Sn,36,50,4.3414855,8.9728845994,4.74524203858,4.6313990994,0.403756538579
gap_Sn,37,50,3.8395926,12.1529927399,7.94159810155,8.31340013989,4.10200550155
gap_Sn,38,50,4.7541557,10.2225040331,6.02712221457,5.46834833311,1.27296651457
gap_Sn,39,50,4.6264712,9.15492256129,4.97532402977,4.52845136129,0.348852829771
gap_Sn,40,50,4.7715276,9.96823030538,5.80419092468,5.19670270538,1.03266332468
gap_Sn,41,50,4.1612354,9.9855676282,5.83686849155,5.8243322282,1.67563309155
gap_Sn,55,82,3.865656,3.58180099176,-0.0804314313214,-0.283855008237,-3.94608743132
gap_Sn,56,82,3.888285,4.56615931967,0.912768621049,0.677874319666,-2.97551637895
gap_Sn,60,82,3.7062907,4.6713446672,1.05251639414,0.965053967196,-2.65377430586
gap_Sn,62,82,3.762727,6.16124207236,2.55922932571,2.39851507236,-1.20349767429
gap_Sn,63,82,3.2462882,5.71455206996,2.12083474085,2.46826386996,-1.12545345915
gap_Sn,82,126,3.430504,1.4185412583,-1.79061524549,-2.0119627417,-5.22111924549
gap_Sn,83,126,2.855113,1.90329049802,-1.30075571536,-0.951822501983,-4.15586871536
gap_Sn,84,126,3.107604,1.59282398844,-1.60614342943,-1.51478001156,-4.71374742943
gap_S2n,18,20,4.1582116,8.57300306149,-0.584424245185,4.41479146149,-4.74263584518
gap_S2n,19,20,7.2546393,3.80840759583,-5.26676363329,-3.44623170417,-12.5214029333
gap_S2n,19,28,5.1968218,20.5895937307,11.6764716189,15.3927719307,6.47964981886
gap_S2n,20,28,5.7208978,26.4448952774,17.595971886,20.7239974774,11.875074086
gap_S2n,24,28,3.6422696,30.535854816,21.9160935289,26.893585216,18.2738239289
gap_S2n,25,28,3.4249301,40.653795758,32.0888293378,37.228865658,28.6638992378
gap_S2n,36,50,4.4007096,22.5602819994,14.4408139244,18.1595723994,10.0401043244
gap_S2n,37,50,5.3158667,26.2371870942,18.148903553,20.9213203942,12.833036853
gap_S2n,38,50,5.3692062,26.4649238034,18.4073983882,21.0957176034,13.0381921882
gap_S2n,40,50,5.4571952,28.8198835925,20.8226300531,23.3626883925,15.3654348531
gap_S2n,42,50,5.0305704,32.3233740027,24.3847893459,27.2928036027,19.3542189459
gap_S2n,52,82,5.4540132,10.2703968852,3.09633123589,4.81638368516,-2.35768196411
gap_S2n,54,82,4.7602618,15.2473321878,8.1083284973,10.4870703878,3.3480666973
gap_S2n,55,82,4.8084956,14.6195332181,7.49782556479,9.81103761814,2.68932996479
gap_S2n,56,82,4.3686296,17.1947518181,10.0901864944,12.8261222181,5.72155689443
gap_S2n,58,82,4.0496896,18.001371215,10.9306379735,13.951681615,6.88094837346
gap_S2n,60,82,3.8948312,20.074450557,13.0369598474,16.179619357,9.14212864743
gap_S2n,62,82,3.952978,21.3042202265,14.2993986768,17.3512422265,10.3464206768
gap_S2n,63,82,4.1971326,19.2743387274,12.2856416503,15.0772061274,8.08850905033
gap_S2n,66,82,3.8542342,20.1830265216,13.2418851984,16.3287923216,9.38765099845
gap_S2n,82,126,4.9831,6.38444535933,0.0970036506815,1.40134535933,-4.88609634932
