T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,A_eff_pred_mol_per_J,residual_1e-8_per_K,z
38.0,-14.009313478001562,-6.1002309642275865,0.03,0.4427920068989229,-1.3776741380112806e-07,7.909082513773978,263.6360837924659
39.0,-15.29447420902185,-6.497023182530808,0.03,0.478626546234206,-1.3574305967040167e-07,8.797451026491041,293.2483675497014
40.0,-16.602307452314196,-6.904736310204925,0.03,0.5163254620620373,-1.3372837129956047e-07,9.69757114210927,323.25237140364237
41.0,-17.92497397171395,-7.322888337389086,0.03,0.5559295083054664,-1.3172332513361355e-07,10.602085634324862,353.40285447749545
42.0,-19.25393178381967,-7.750952624486941,0.03,0.597477702701718,-1.2972789761757003e-07,11.50297915933273,383.43263864442434
43.0,-20.57982681768017,-8.188357066278453,0.03,0.6410070992422561,-1.2774206519643901e-07,12.391469751401717,413.0489917133906
44.0,-21.892734715054942,-8.634483493724682,0.03,0.686552560192158,-1.2576580431522958e-07,13.25825122133026,441.94170737767536
45.0,-23.183094549565123,-9.088667359414234,0.03,0.7341465317105685,-1.237990914189508e-07,14.094427190150888,469.8142396716963
46.0,-24.44350210782511,-9.550197744827242,0.03,0.783818826971343,-1.2184190295261185e-07,14.893304362997865,496.44347876659555
47.0,-25.671034412641923,-10.018317718774188,0.03,0.8355964204436911,-1.1989421536122174e-07,15.652716693867736,521.7572231289246
48.0,-26.869114083595484,-10.49222506696897,0.03,0.8895032566576118,-1.1795600508978963e-07,16.376889016626514,545.8963005542172
49.0,-28.047550735151784,-10.971073403156554,0.03,0.9455600763710013,-1.1602724858332459e-07,17.076477331995232,569.2159110665077
50.0,-29.219839113498725,-11.453973662911777,0.5,1.003784262596567,-1.1410792228683572e-07,17.76586545058695,35.5317309011739
51.0,-30.398143944106238,-11.939995972480851,0.5,1.0641897084589143,-1.1219800264533216e-07,18.458147971625387,36.91629594325077
52.0,-31.587983876191615,-12.428171877091426,0.5,1.1267867083540068,-1.1029746610382291e-07,19.159811999100185,38.31962399820037
53.0,-32.785282943173925,-12.917496906199128,0.5,1.1915818733921801,-1.0840628910731717e-07,19.8677860369748,39.7355720739496
54.0,-33.97744650673043,-13.40693344726954,0.5,1.2585780716347905,-1.0652444810082399e-07,20.570513059460893,41.141026118921786
55.0,-35.147901529178526,-13.895413894982775,0.5,1.3277743931954757,-1.0465191952935249e-07,21.25248763419575,42.5049752683915
56.0,-36.28160563772687,-14.381844039187262,0.5,1.3991661398770863,-1.0278867983791172e-07,21.899761598539605,43.79952319707921
57.0,-37.3687325204642,-14.86510665249115,0.5,1.4727448386607593,-1.0093470547151084e-07,22.503625867973046,45.00725173594609
58.0,-38.40518380186532,-15.344065236991783,0.5,1.5484982780571956,-9.908997287515893e-08,23.061118564873535,46.12223712974707
59.0,-39.39057708632551,-15.817567889216882,0.5,1.6264105660733972,-9.725445849386507e-08,23.573009197108625,47.14601839421725
60.0,-40.325512945819106,-16.284451242776036,0.5,1.706462208340293,-9.542813877263836e-08,24.04106170304307,48.08212340608614
61.0,-41.20970843881951,-16.743544449383634,0.5,1.7886302047861835,-9.361099015648789e-08,24.466163989435884,48.93232797887177
62.0,-42.04154377632751,-17.19367316069458,0.5,1.8728881631249936,-9.180298909042281e-08,24.84787061563292,49.69574123126584
63.0,-42.81861843428044,-17.6336634756735,0.5,1.9592064273532765,-9.000411201945218e-08,25.18495495860694,50.36990991721388
64.0,-43.538579731641384,-18.062345820884115,0.5,2.047552219411878,-8.821433538858508e-08,25.47623391075727,50.95246782151454
65.0,-44.19969727735163,-18.47855873403507,0.5,2.1378897921630813,-8.643363564283063e-08,25.721138543316567,51.44227708663313
66.0,-44.80103857773052,-18.881152524250293,0.5,2.230180591856996,-8.466198922719795e-08,25.91988605348023,51.83977210696046
67.0,-45.34235992474759,-19.268992785768553,0.5,2.3243834283084652,-8.289937258669612e-08,26.073367138979034,52.14673427795807
68.0,-45.82389059404059,-19.64096374503456,0.5,2.4204546510727356,-8.114576216633419e-08,26.182926849006034,52.36585369801207
69.0,-46.24613360616911,-19.995971424368744,0.5,2.518348329991619,-7.940113441112132e-08,26.250162181800366,52.50032436360073
70.0,-46.60972930414598,-20.332946608534453,0.5,2.6180164385775524,-7.766546576606661e-08,26.27678269561153,52.55356539122306
71.0,-46.91537870663838,-20.650847603520468,0.5,2.71940903880772,-7.593873267617913e-08,26.26453110311791,52.52906220623582
72.0,-47.163806689398015,-20.948662779692196,0.5,2.822474466011756,-7.422091158646798e-08,26.215143909705816,52.43028781941163
73.0,-47.355746534351695,-21.225412894106228,0.5,2.9271595126510968,-7.251197894194226e-08,26.130333640245464,52.26066728049093
