scope,rank,group_key,n_rows,n_qbeta_gt3,n_logft_gt3,frac_qbeta_gt3,frac_logft_gt3,share_fail_qbeta,share_fail_logft,p95_abs_z_qbeta,max_abs_z_qbeta,p95_abs_z_logft,max_abs_z_logft,priority_score
transition_class,1,beta_minus|sigma_low|mode_inconsistent,109,109,8,1.0,0.8888888888888888,0.08762057877813505,0.18181818181818182,48563.435691311606,222561.7675845092,9.653383140189257,9.910448680563237,1418.590216309098
transition_class,2,beta_plus|sigma_low|mode_inconsistent,107,107,19,1.0,0.8636363636363636,0.0860128617363344,0.4318181818181818,40506.18067861331,221516.3421247481,7.752866711175553,7.889045923693237,1161.7414194196772
transition_class,3,beta_minus|sigma_low|mode_consistent,99,99,0,1.0,nan,0.07958199356913183,0.0,10735.754027770745,296804.57603503496,nan,nan,284.79090266594415
transition_class,4,beta_plus|sigma_low|mode_consistent,104,104,1,1.0,1.0,0.08360128617363344,0.022727272727272728,8154.124025444264,128594.38901975319,4.4855655509667205,4.4855655509667205,227.2436455938434
transition_class,5,beta_minus|sigma_mid|mode_inconsistent,123,123,3,1.0,1.0,0.09887459807073955,0.06818181818181818,900.2234028449906,1752.1234359096063,9.82423394685142,9.844902504598606,29.747889692210286
transition_class,6,beta_plus|sigma_mid|mode_inconsistent,111,111,7,1.0,1.0,0.08922829581993569,0.1590909090909091,736.9051472251487,1575.883785583391,12.004343295160034,13.275574788980219,22.140404709530685
transition_class,7,beta_minus|sigma_mid|mode_consistent,94,93,0,0.9893617021276596,nan,0.0747588424437299,0.0,795.6606530552557,1797.2354591089909,nan,nan,19.827556466811036
transition_class,8,beta_plus|sigma_mid|mode_consistent,103,102,1,0.9902912621359223,1.0,0.0819935691318328,0.022727272727272728,717.0729402621332,1791.0242137870907,6.1483821601582616,6.1483821601582616,19.61475909510491
transition_class,9,beta_plus|sigma_high|mode_consistent,144,133,0,0.9236111111111112,nan,0.10691318327974277,0.0,85.50344065999126,150.61051827380967,nan,nan,3.0471483407767517
transition_class,10,beta_minus|sigma_high|mode_inconsistent,131,122,1,0.9312977099236641,1.0,0.09807073954983923,0.022727272727272728,86.15703685001196,165.8834603636386,10.044649762433085,10.044649762433085,2.8431283148045625
transition_class,11,beta_minus|sigma_high|mode_consistent,87,85,0,0.9770114942528736,nan,0.06832797427652733,0.0,121.0925530549663,238.82161517902932,nan,nan,2.7580029500729193
transition_class,12,beta_plus|sigma_high|mode_inconsistent,57,56,4,0.9824561403508771,1.0,0.04501607717041801,0.09090909090909091,109.8848997807486,239.1893734625048,10.207107520333937,10.827803929651855,1.7571195771045147
channel_sigma,1,beta_minus|sigma_low,208,208,8,1.0,0.8888888888888888,0.16720257234726688,0.18181818181818182,27926.468200092622,296804.57603503496,9.653383140189257,9.910448680563237,1556.6638752764884
channel_sigma,2,beta_plus|sigma_low,211,211,20,1.0,0.8695652173913043,0.16961414790996784,0.45454545454545453,20485.35404360248,221516.3421247481,7.7450615500107975,7.889045923693237,1158.6126798742016
channel_sigma,3,beta_minus|sigma_mid,217,216,3,0.9953917050691244,1.0,0.17363344051446947,0.06818181818181818,845.4774105695413,1797.2354591089909,9.82423394685142,9.844902504598606,49.01253120697103
channel_sigma,4,beta_plus|sigma_mid,214,213,8,0.9953271028037384,1.0,0.1712218649517685,0.18181818181818182,733.3362814026452,1791.0242137870907,11.792471379523336,13.275574788980219,42.10454524514486
channel_sigma,5,beta_minus|sigma_high,218,207,1,0.9495412844036697,1.0,0.16639871382636656,0.022727272727272728,99.8547648185301,238.82161517902932,10.044649762433085,10.044649762433085,5.565201686115997
channel_sigma,6,beta_plus|sigma_high,201,189,4,0.9402985074626866,1.0,0.15192926045016078,0.09090909090909091,97.053201425683,239.1893734625048,10.207107520333937,10.827803929651855,5.023330906614742
channel,1,beta_minus,643,631,12,0.9813374805598756,0.9230769230769231,0.5072347266881029,0.2727272727272727,6752.501822534363,296804.57603503496,9.964129113311175,10.044649762433085,1142.0181792764986
channel,2,beta_plus,626,613,32,0.9792332268370607,0.9142857142857143,0.4927652733118971,0.7272727272727273,6789.621112012301,221516.3421247481,9.575036712267945,13.275574788980219,1116.042261672394
sigma_band,1,sigma_low,419,419,28,1.0,0.875,0.33681672025723475,0.6363636363636364,24102.28729736154,296804.57603503496,8.743967375971938,9.910448680563237,2706.666959400464
sigma_band,2,sigma_mid,431,429,11,0.9953596287703016,1.0,0.34485530546623794,0.25,794.701918617347,1797.2354591089909,11.560238646789411,13.275574788980219,91.68956459366154
sigma_band,3,sigma_high,419,396,5,0.9451073985680191,1.0,0.3183279742765273,0.11363636363636363,99.57223847575823,239.1893734625048,10.6711730962081,10.827803929651855,10.707016875134318
mode_tag,1,mode_inconsistent,638,628,42,0.9843260188087775,0.9130434782608695,0.5048231511254019,0.9545454545454546,11765.703396533774,222561.7675845092,10.011099491965624,13.275574788980219,1980.9813603917646
mode_tag,2,mode_consistent,631,616,2,0.9762282091917591,1.0,0.49517684887459806,0.045454545454545456,3317.7825995929934,296804.57603503496,6.065241329698685,6.1483821601582616,547.6618751310435
nuclide,1,8li,2,2,0,1.0,nan,0.001607717041800643,0.0,287065.52881740173,296804.57603503496,nan,nan,153.84004759775013
nuclide,2,20f,2,2,1,1.0,1.0,0.001607717041800643,0.022727272727272728,211691.8196498322,222561.7675845092,6.14605046838631,6.14605046838631,113.46314503288006
nuclide,3,20ne,2,2,0,1.0,nan,0.001607717041800643,0.0,211018.90783744486,221516.3421247481,nan,nan,113.0862314241398
