T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_low_J_per_molK,Cv_high_J_per_molK,contrib_low_1e-8_per_K,contrib_high_1e-8_per_K
58.0,-38.40518380186532,-25.993116083560185,0.5,12.412067718305133,24.824135436610266,2.8433601664108172,0.01819148404217053,-26.799458497498627,0.8063424139384415
59.0,-39.39057708632551,-26.76408335201686,0.5,12.626493734308644,25.252987468617288,2.9393482336229764,0.021208880277995043,-27.70417266417226,0.9400893121553944
60.0,-40.325512945819106,-27.51561832512116,0.5,12.809894620697946,25.619789241395893,3.034996818063628,0.024592491465225227,-28.605687111530308,1.0900687864091492
61.0,-41.20970843881951,-28.2460724767422,0.5,12.963635962077316,25.92727192415463,3.1302545978199734,0.028368596133086534,-29.503518116304676,1.257445639562478
62.0,-42.04154377632751,-28.9538354241308,0.5,13.087708352196703,26.175416704393406,3.225074669592437,0.032563551846399,-30.397223601882907,1.4433881777521023
63.0,-42.81861843428044,-29.63733788196836,0.5,13.18128055231208,26.36256110462416,3.319414233237749,0.037203661482352324,-31.286400165039204,1.649062283070846
64.0,-43.538579731641384,-30.2950546561477,0.5,13.243525075493686,26.487050150987372,3.413234293654356,0.042315042298560084,-32.170680266121686,1.8756256099739899
65.0,-44.19969727735163,-30.92550762624259,0.5,13.274189651109042,26.548379302218084,3.5064993802777273,0.047923499000856504,-33.049729585217875,2.1242219589752853
66.0,-44.80103857773052,-31.527268669183197,0.5,13.273769908547322,26.547539817094645,3.5991772841427627,0.05405440187296247,-33.92324454389488,2.395975874711684
67.0,-45.34235992474759,-32.09896248093476,0.5,13.243397443812832,26.486794887625663,3.6912388122268567,0.060732570881790855,-34.790949989814635,2.6919875088798806
68.0,-45.82389059404059,-32.63926925773561,0.5,13.184621336304984,26.369242672609968,3.7826575586000173,0.06798216652499692,-35.652597039760295,3.0133277820246827
69.0,-46.24613360616911,-33.14692720348142,0.5,13.099206402687694,26.198412805375387,3.8734096917682588,0.0758265880440761,-36.50796107528866,3.3610338718072437
70.0,-46.60972930414598,-33.62073483498339,0.5,12.988994469162597,25.977988938325193,3.9634737574963137,0.08428837948903035,-37.356839884279566,3.736105049296178
